,Region ID,Division ID,State ID,1980-81,1989-90,1999-2000,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14 (PR),2014-15 (PR),2015-16 (PR),2016-17 (PR),2017-18 (PR),2018-19 (PR),2019-20 (PR),2020-21 (PR),2021-22 (PR),2022-23 (PR),2023-24 (PR),2024-25 (PR),2025-26 (PR),2026-27 (PR),2027-28 (PR),"Percent
change,
2012-13 to 
2027-28"
United States ,US_National,US_National,,"2,725,285",2320337 (ES),"2,553,844",3039015 (ES),"3,128,022","3,144,100","3,149,185","3,169,257","3,168,450","3,187,000","3,224,140","3,251,220","3,295,920","3,285,250","3,251,990","3,270,760","3,290,730","3,304,870","3,366,150","3,424,900","3,412,030","3,327,430","3,337,020",53
  Northeast ,1,2,,"593,727","446,045","453,814","552,973","556,400","556,611","554,705","555,202","546,910","543,080","545,820","543,170","540,610","533,930","524,900","527,400","525,660","521,000","524,400","531,230","526,250","514,400","513,890",-74
  Midwest ,2,3,,"784,071","616,700","648,020","717,536","726,844","718,779","716,072","713,662","705,550","708,240","714,040","711,810","715,940","712,710","703,920","704,900","711,830","706,050","716,940","728,810","722,070","701,560","696,640",-24
  South ,3,6,,"868,068","796,385","861,498","1,068,270","1,104,770","1,119,414","1,121,400","1,138,965","1,145,570","1,162,950","1,189,220","1,218,230","1,249,590","1,255,480","1,242,520","1,246,810","1,254,840","1,270,910","1,300,130","1,341,510","1,344,230","1,322,590","1,331,360",169
  West ,4,8,,"479,419","461,207","590,512","700,236","740,008","749,296","757,008","761,428","770,420","772,720","775,060","778,010","789,770","783,130","780,660","791,650","798,400","806,910","824,680","823,360","819,490","788,880","795,130",44
  Alabama ,3,6,1,"44,894","40,485","37,819","42,082","43,166","46,035","45,394","44,233","44,540","45,420","46,070","47,000","45,950","44,480","43,270","42,250","42,200","42,390","42,480","43,920","44,100","43,120","43,030",-27
  Alaska ,4,9,2,"5,343","5,386","6,615","8,008","8,245","8,064","7,989","7,860","7,720","7,860","7,840","8,010","8,140","8,090","7,860","7,880","8,020","8,130","8,490","8,800","8,880","8,880","9,040",15
  Arizona ,3,7,4,"28,416","32,103","38,304","62,374","61,145","64,472","63,208","62,208","66,700","67,200","67,120","68,240","68,750","67,620","67,180","67,540","68,400","69,890","71,830","74,350","74,700","71,990","72,010",158
  Arkansas ,4,8,5,"29,577","26,475","27,335","28,057","28,276","28,205","28,419","28,928","29,610","30,350","30,290","30,910","31,120","30,960","30,990","30,420","30,400","30,120","30,030","32,090","31,950","30,980","30,940",7
  California ,4,9,6,"242,172","236,291","309,866",372310 (2),"404,987","410,467","418,664","422,125","424,080","422,830","419,190","417,010","424,290","417,760","415,300","421,270","423,190","427,220","435,660","421,830","416,210","397,230","398,310",-56
  Colorado ,8,4,8,"35,897","32,967","38,924","47,459","49,321","50,122","50,087","50,968","51,310","51,450","53,310","54,280","56,060","57,040","57,650","59,200","59,280","59,700","60,770","61,920","61,980","60,800","60,860",194
  Connecticut ,1,1,9,"38,369","27,878","31,562","34,968","34,495","38,854","38,681","38,722","37,860","37,160","37,420","37,060","36,800","35,970","35,200","35,790","34,960","34,640","34,040","34,420","33,390","32,530","31,970",-174
  Delaware ,3,5,10,"7,349","5,550","6,108","7,839","8,133","8,043","8,247","8,070","8,240","8,390","8,480","8,620","9,070","8,720","8,870","9,050","9,070","9,340","9,610","9,640","9,890","9,740","9,810",216
  District of Columbia,3,5,11,"4,848","3,626","2,695","3,517","3,602","3,477","3,860","3,961","3,880","3,990","4,510","4,100","3,970","4,130","3,990","4,030","4,100","4,420","4,740","5,170","5,240","5,280","5,680",433
  Florida ,3,5,12,"88,755","88,934","106,708","153,461","156,130","155,493","151,964","158,029","158,440","163,740","166,540","172,310","176,230","178,560","175,100","176,700","180,470","183,840","195,120","199,060","200,790","196,890","200,000",266
  Georgia ,3,5,13,"62,963","56,605","62,563","88,003","91,561","92,338","90,582","92,416","94,380","97,420","100,070","104,800","108,060","108,290","106,750","106,110","107,370","108,640","110,840","113,780","114,340","111,620","111,910",211
  Hawaii ,4,9,15,"11,472","10,325","10,437","11,508","10,998","10,716","11,360","10,790","11,050","10,760","10,860","10,630","11,020","10,370","10,840","10,950","11,110","11,360","11,370","11,660","11,650","8,650","11,540",7
  Idaho ,4,8,16,"12,679","11,971","16,170","16,807","17,793","17,525","17,568","17,198","19,120","18,050","18,230","18,680","18,770","19,070","19,060","19,110","19,500","19,930","19,780","20,330","20,210","19,450","19,540",136
  Illinois ,2,3,17,"136,795","108,119","111,835","131,670","139,035","134,956","139,575","139,228","137,640","140,520","140,850","139,180","139,880","138,100","139,650","141,240","142,220","142,650","144,630","146,670","145,230","137,770","135,500",-27
  Indiana ,2,3,18,"73,381","60,012","57,012","63,663","64,551","66,133","65,667","66,595","67,560","66,750","66,720","69,170","69,160","70,820","67,700","66,190","67,630","66,350","67,980","68,330","68,210","66,380","66,290",-5
  Iowa ,2,4,19,"42,635","31,796","33,926","33,926","34,462","33,853","33,230","32,548","32,590","32,450","32,700","33,110","33,710","33,380","33,410","33,930","33,940","34,420","35,190","35,830","35,960","34,990","34,950",74
  Kansas ,2,4,20,"29,397","25,367","29,102","30,368","31,642","31,370","31,898","31,922","32,150","31,900","32,790","33,070","33,390","33,310","32,820","33,230","33,200","33,130","33,690","34,380","34,190","33,280","33,240",41
  Kentucky ,3,6,21,"41,714","38,005","36,830","41,851","42,664","43,031","42,642","42,888","42,400","42,530","43,280","43,740","44,390","44,530","43,340","43,700","43,710","43,990","44,870","45,840","45,100","44,330","44,300",33
