Categories,1993,1995,1997,1999,2001,2003,2005,2007,2009,2011,2013,2015,Nation_ID
Total number of physical fights anywhere,41.8,38.7,36.6,35.7,33.2,33,35.9,35.5,31.5,32.8,24.7,22.6,US_National
Total number of males having physical fights anywhere,51.2,46.1,45.5,44,43.1,40.5,43.4,44.4,39.3,40.7,30.2,28.4,US_National
Total number of females having physical fights anywhere,31.7,30.6,26,27.3,23.9,25.1,28.1,26.5,22.9,24.4,19.2,16.5,US_National
Total number of whites having physical fights anywhere,40.3,36,33.7,33.1,32.2,30.5,33.1,31.7,27.8,29.4,20.9,20.1,US_National
Total number of blacks having physical fights anywhere,49.5,41.6,43,41.4,36.5,39.7,43.1,44.7,41.1,39.1,34.7,32.4,US_National
Total number of Hispanics having physical fights anywhere,43.2,47.9,40.7,39.9,35.8,36.1,41,40.4,36.2,36.8,28.4,23,US_National
Total number of Asians having physical fights anywhere,N/V,N/V,N/V,22.7,22.3,25.9,21.6,24.3,18.9,18.4,16.1,14.7,US_National
Total number of Pacific Islanders having physical fights anywhere,N/V,N/V,N/V,50.7,51.7,30,34.4,42.6,32.6,43,22,29.2,US_National
 Total number of  American Indian/Alaska Native having physical fights anywhere,49.8,47.2,54.7,48.7,49.2,46.6,44.2,36,42.4,42.4,32.1,29.9,US_National
Total number of students of two or more races having physical fights anywhere,N/V,N/V,N/V,40.2,39.6,38.2,46.9,47.8,34.2,45,28.5,27.6,US_National
Total number of 9th graders having physical fights anywhere,50.4,47.3,44.8,41.1,39.5,38.6,43.5,40.9,37,37.7,28.3,27.9,US_National
Total number of 10th graders having physical fights anywhere,42.2,40.4,40.2,37.7,34.7,33.5,36.6,36.2,33.5,35.3,26.4,23.4,US_National
Total number of 11th graders having physical fights anywhere,40.5,36.9,34.2,31.3,29.1,30.9,31.6,34.8,28.6,29.7,24,20.5,US_National
Total number of 12th graders having physical fights anywhere,34.8,31,28.8,30.4,26.5,26.5,29.1,28,24.9,26.9,18.8,17.4,US_National
Total number of physical fights anywhere in urban places,N/V,N/V,38.2,37,36.8,35.5,N/V,N/V,N/V,N/V,N/V,N/V,US_National
Total number of physical fights anywhere in suburban places,N/V,N/V,36.7,35,31.3,33.1,N/V,N/V,N/V,N/V,N/V,N/V,US_National
Total number of physical fights anywhere in rural places,N/V,N/V,32.9,36.6,33.8,29.7,N/V,N/V,N/V,N/V,N/V,N/V,US_National
Total number of physical fights on school property,16.2,15.5,14.8,14.2,12.5,12.8,13.6,12.4,11.1,12,8.1,7.8,US_National
Total number of males having physical fights on school property ,23.5,21,20,18.5,18,17.1,18.2,16.3,15.1,16,10.7,10.3,US_National
Total number of females having physical fights on school property ,86,95,86,9.8,7.2,8,8.8,8.5,6.7,7.8,5.6,5,US_National
Total number of whites having physical fights on school property ,15,12.9,13.3,12.3,11.2,10,11.6,10.2,8.6,9.9,6.4,5.6,US_National
Total number of blacks having physical fights on school property ,22,20.3,20.7,18.7,16.8,17.1,16.9,17.6,17.4,16.4,12.8,12.6,US_National
Total number of Hispanics having physical fights on school property ,17.9,21.1,19,15.7,14.1,16.7,18.3,15.5,13.5,14.4,9.4,8.9,US_National
Total number of Asians having physical fights on school property ,N/V,N/V,N/V,10.4,10.8,13.1,5.9,8.5,7.7,6.2,5.5,6.3,US_National
Total number of Pacific Islanders having physical fights on school property ,N/V,N/V,N/V,25.3,29.1,22.2,24.5,9.6,14.8,20.9,7.1,20.9,US_National
Total number of American Indian/Alaska Natives having physical fights on school property ,18.6,31.4,18.9,16.2,18.2,24.2,22,15,20.7,12,10.7,13.2,US_National
Total number of students of two or more races having physical fights on school property ,N/V,N/V,N/V,16.9,14.7,20.2,15.8,19.6,12.4,16.6,10,9.3,US_National
Total number of 9th graders having physical fights on school property ,23.1,21.6,21.3,18.6,17.3,18,18.9,17,14.9,16.2,10.9,11.6,US_National
Total number of 10th graders having physical fights on school property ,17.2,16.5,17,17.2,13.5,12.8,14.4,11.7,12.1,12.8,8.3,7.3,US_National
Total number of 11th graders having physical fights on school property ,13.8,13.6,12.5,10.8,9.4,10.4,10.4,11,9.5,9.2,7.5,6.5,US_National
Total number of 12th graders having physical fights on school property ,11.4,10.6,9.5,8.1,7.5,7.3,8.5,8.6,6.6,8.8,4.9,4.5,US_National
Total number of physical fights  on school property in urban places,N/V,N/V,15.8,14.4,14.8,14.8,N/V,N/V,N/V,N/V,N/V,N/V,US_National
Total number of physical fights on school property in suburban places,N/V,N/V,14.2,13.7,11,12.8,N/V,N/V,N/V,N/V,N/V,N/V,US_National
Total number of physical fights on school property in rural places,N/V,N/V,14.7,16.3,13.8,10,N/V,N/V,N/V,N/V,N/V,N/V,US_National
