Types of crimes,2001,2002,2003,2004,2005,2006,2007,State_ID,Region_ID,Division_ID
Total Arrests,"11,927","12,388","11,743","11,092","10,627","11,884","13,430",15,4,9
Violent Crime Index,265,340,263,288,261,281,295,15,4,9
Murder/nonneg. mans.,5,0,2,3,4,3,3,15,4,9
Rape,27,13,16,8,8,16,15,15,4,9
Robbery,129,180,135,109,116,107,143,15,4,9
Aggravated assault,104,147,110,168,133,155,134,15,4,9
Property Crime Index,"2,327","2,159","1,850","1,871","1,599","1,655","1,886",15,4,9
Burglary,262,241,237,186,130,226,241,15,4,9
Larceny-theft,"1,808","1,636","1,408","1,514","1,267","1,173","1,430",15,4,9
Motor vehicle theft,249,269,199,154,184,232,198,15,4,9
Arson,8,13,6,17,18,24,17,15,4,9
Other assaults,"1,001","1,066","1,086","1,146",996,898,"1,103",15,4,9
Forgery and counterfeiting,17,17,13,15,10,12,15,15,4,9
Fraud,25,24,24,24,8,9,35,15,4,9
Embezzlement,2,3,3,3,1,5,3,15,4,9
Stolen property,23,15,28,36,20,19,23,15,4,9
Vandalism,316,338,286,379,374,540,540,15,4,9
Weapons,42,42,48,44,38,45,38,15,4,9
Prostitution/<br>commercialized vice,8,5,11,5,4,5,9,15,4,9
Sex offenses (other),121,104,96,84,55,58,58,15,4,9
Drug abuse violations,719,725,565,548,523,552,608,15,4,9
Gambling,6,30,19,11,13,0,5,15,4,9
Offenses against family,117,107,72,5,5,0,2,15,4,9
Driving under influence,83,59,72,85,70,91,79,15,4,9
Liquor laws,260,215,235,268,151,307,303,15,4,9
Drunkenness,0,0,0,0,0,0,0,15,4,9
Disorderly conduct,53,69,85,91,136,106,147,15,4,9
Vagrancy,0,0,0,14,6,0,0,15,4,9
All other offenses,"1,993","2,213","2,081","1,922","2,191","2,301","3,067",15,4,9
Curfew and loitering,356,420,613,548,373,322,378,15,4,9
Runaways,"4,193","4,437","4,293","3,705","3,793","4,678","4,836",15,4,9
Population Ages 10 to 17,"133,800","135,200","136,900","137,400","136,900","136,200","134,300",15,4,9
