Types of crimes,2001,2002,2003,2004,2005,2006,2007,State_ID,Region_ID,Division_ID
Total Arrests,"49,225","47,177","44,800","41,540","47,003","47,948","43,787",26,2,3
Violent Crime Index,"2,007","2,012","1,970","1,767","2,438","2,633","2,506",26,2,3
Murder/nonneg. mans.,35,21,17,15,16,31,26,26,2,3
Rape,211,163,178,160,147,141,111,26,2,3
Robbery,413,365,361,336,549,819,796,26,2,3
Aggravated assault,"1,348","1,463","1,414","1,256","1,726","1,642","1,573",26,2,3
Property Crime Index,"12,170","11,422","11,239","10,650","11,754","12,541","11,857",26,2,3
Burglary,"1,709","1,771","1,699","1,512","1,693","2,002","1,803",26,2,3
Larceny-theft,"9,328","8,674","8,602","8,311","8,482","8,936","8,762",26,2,3
Motor vehicle theft,943,844,782,684,"1,436","1,421","1,121",26,2,3
Arson,190,133,156,143,143,182,171,26,2,3
Other assaults,"3,591","3,934","3,889","3,756","4,477","4,414","4,534",26,2,3
Forgery and counterfeiting,82,64,58,66,52,61,35,26,2,3
Fraud,440,456,409,422,359,440,483,26,2,3
Embezzlement,140,119,94,76,66,57,48,26,2,3
Stolen property,"1,091",996,986,901,666,667,529,26,2,3
Vandalism,"1,720","1,579","1,740","1,477","1,616","1,843","1,532",26,2,3
Weapons,735,638,626,695,963,"1,075",985,26,2,3
Prostitution/<br>commercialized vice,22,26,18,13,15,13,11,26,2,3
Sex offenses (other),375,386,350,374,373,355,313,26,2,3
Drug abuse violations,"4,206","3,837","3,876","3,747","3,892","4,200","3,848",26,2,3
Gambling,9,14,11,5,19,14,22,26,2,3
Offenses against family,13,18,7,14,18,5,19,26,2,3
Driving under influence,636,975,870,853,843,808,710,26,2,3
Liquor laws,"6,708","6,540","5,863","5,274","5,501","5,823","5,266",26,2,3
Drunkenness,47,41,41,18,15,21,10,26,2,3
Disorderly conduct,"1,492","1,356","1,373","1,257","1,590","1,797","1,589",26,2,3
Vagrancy,21,20,28,4,0,0,0,26,2,3
All other offenses,"9,657","9,216","8,222","7,581","8,634","7,859","7,025",26,2,3
Curfew and loitering,"1,653","1,369","1,264",840,"2,046","1,756","1,014",26,2,3
Runaways,"2,410","2,159","1,866","1,750","1,666","1,566","1,451",26,2,3
Population Ages 10 to 17,"1,199,600","1,216,900","1,219,600","1,220,400","1,218,500","1,205,300","1,190,200",26,2,3
