Types of crimes,2001,2002,2003,2004,2005,2006,2007,State_ID,Region_ID,Division_ID
Total Arrests,"43,609","44,952","48,534","45,394","48,172","50,433","46,787",29,2,4
Violent Crime Index,"1,697","1,869","1,908","1,785","2,113","2,226","1,852",29,2,4
Murder/nonneg. mans.,23,33,13,46,55,33,36,29,2,4
Rape,80,106,100,107,85,97,82,29,2,4
Robbery,497,386,410,374,482,633,579,29,2,4
Aggravated assault,"1,097","1,344","1,385","1,258","1,491","1,463","1,155",29,2,4
Property Crime Index,"10,721","10,917","11,138","10,696","10,064","10,737","10,793",29,2,4
Burglary,"1,558","1,757","1,758","1,660","1,706","2,093","1,889",29,2,4
Larceny-theft,"7,697","7,756","7,934","7,725","7,071","7,354","7,779",29,2,4
Motor vehicle theft,"1,313","1,143","1,236","1,123","1,088","1,072",960,29,2,4
Arson,153,261,210,188,199,218,165,29,2,4
Other assaults,"5,564","6,156","7,151","7,160","8,181","7,840","7,123",29,2,4
Forgery and counterfeiting,128,118,148,129,116,119,64,29,2,4
Fraud,113,91,98,86,73,93,215,29,2,4
Embezzlement,19,13,17,10,20,22,18,29,2,4
Stolen property,406,419,387,384,399,548,511,29,2,4
Vandalism,"2,346","2,594","3,218","2,888","2,771","2,665","2,600",29,2,4
Weapons,709,620,556,662,763,838,717,29,2,4
Prostitution/<br>commercialized vice,11,12,20,8,5,11,5,29,2,4
Sex offenses (other),407,490,524,541,648,543,508,29,2,4
Drug abuse violations,"3,765","3,606","4,383","3,916","4,118","4,579","4,169",29,2,4
Gambling,12,3,11,8,7,35,8,29,2,4
Offenses against family,309,292,184,205,159,107,115,29,2,4
Driving under influence,429,710,704,620,549,664,518,29,2,4
Liquor laws,"1,723","2,179","1,985","1,564","2,055","2,868","2,879",29,2,4
Drunkenness,46,64,44,32,14,11,37,29,2,4
Disorderly conduct,"2,106","2,234","2,548","2,757","2,977","3,046","2,510",29,2,4
Vagrancy,192,62,76,91,46,98,91,29,2,4
All other offenses,"7,209","7,087","7,737","6,733","7,602","8,028","7,679",29,2,4
Curfew and loitering,"2,356","2,023","2,190","1,648","2,072","1,935","1,439",29,2,4
Runaways,"3,341","3,393","3,507","3,471","3,420","3,420","2,936",29,2,4
Population Ages 10 to 17,"664,200","668,200","668,500","668,400","667,600","665,900","660,000",29,2,4
