Types of crimes,2001,2002,2003,2004,2005,2006,2007,State_ID,Region_ID,Division_ID
Total Arrests,"21,358","25,334","25,281","26,216","28,533","25,708","25,704",45,3,5
Violent Crime Index,"1,265","1,499","1,507","1,608","1,692","1,585","1,408",45,3,5
Murder/nonneg. mans.,22,26,25,22,25,27,32,45,3,5
Rape,72,102,66,93,101,79,59,45,3,5
Robbery,183,254,243,272,321,354,306,45,3,5
Aggravated assault,988,"1,117","1,173","1,221","1,245","1,125","1,011",45,3,5
Property Crime Index,"4,915","5,899","6,094","6,207","5,991","4,904","5,302",45,3,5
Burglary,978,"1,191","1,230","1,320","1,413","1,375","1,381",45,3,5
Larceny-theft,"3,644","4,345","4,555","4,521","4,262","3,214","3,648",45,3,5
Motor vehicle theft,218,301,234,289,236,232,197,45,3,5
Arson,75,62,75,77,80,83,76,45,3,5
Other assaults,"4,029","4,668","5,089","4,918","4,922","4,791","4,319",45,3,5
Forgery and counterfeiting,92,79,78,88,74,56,75,45,3,5
Fraud,184,219,176,138,169,124,115,45,3,5
Embezzlement,24,18,13,15,27,32,31,45,3,5
Stolen property,288,378,376,308,324,329,310,45,3,5
Vandalism,"1,004",939,"1,011","1,128","1,373","1,210","1,280",45,3,5
Weapons,471,553,614,744,910,938,810,45,3,5
Prostitution/<br>commercialized vice,7,19,8,10,5,5,2,45,3,5
Sex offenses (other),158,204,207,287,215,174,154,45,3,5
Drug abuse violations,"2,313","2,631","3,103","2,941","3,137","3,293","3,399",45,3,5
Gambling,3,2,3,2,5,10,6,45,3,5
Offenses against family,10,121,56,19,36,50,224,45,3,5
Driving under influence,108,142,103,67,79,89,92,45,3,5
Liquor laws,860,939,787,719,833,848,920,45,3,5
Drunkenness,99,157,106,140,189,173,182,45,3,5
Disorderly conduct,"2,515","3,151","2,776","2,886","3,804","3,278","3,198",45,3,5
Vagrancy,0,0,0,0,0,0,0,45,3,5
All other offenses,"2,470","3,056","2,665","3,358","4,003","3,264","3,291",45,3,5
Curfew and loitering,46,52,44,36,47,49,50,45,3,5
Runaways,497,608,465,597,698,506,536,45,3,5
Population Ages 10 to 17,"469,700","475,200","478,600","479,900","482,200","482,600","482,600",45,3,5
