Types of crimes,2001,2002,2003,2004,2005,2006,2007,State_ID,Region_ID,Division_ID
Total Arrests,"30,817","29,771","30,254","29,630","29,041","30,686","30,953",49,4,8
Violent Crime Index,506,532,555,430,400,374,405,49,4,8
Murder/nonneg. mans.,4,8,2,6,2,2,3,49,4,8
Rape,60,45,56,52,81,67,68,49,4,8
Robbery,55,68,39,62,57,70,82,49,4,8
Aggravated assault,387,411,458,310,260,235,252,49,4,8
Property Crime Index,"7,885","7,533","6,975","6,701","6,171","5,901","6,295",49,4,8
Burglary,620,538,488,453,398,479,404,49,4,8
Larceny-theft,"6,775","6,528","6,044","5,900","5,471","5,105","5,494",49,4,8
Motor vehicle theft,381,359,332,266,219,230,295,49,4,8
Arson,109,108,111,82,83,87,102,49,4,8
Other assaults,"2,304","2,174","2,298","2,370","2,466","2,443","2,375",49,4,8
Forgery and counterfeiting,92,83,61,65,82,49,37,49,4,8
Fraud,72,78,69,72,96,84,81,49,4,8
Embezzlement,9,6,2,0,1,7,1,49,4,8
Stolen property,259,244,225,215,173,188,216,49,4,8
Vandalism,"1,687","1,582","1,937","1,715","1,839","2,194","2,102",49,4,8
Weapons,412,324,489,445,415,475,451,49,4,8
Prostitution/<br>commercialized vice,2,4,2,7,3,9,6,49,4,8
Sex offenses (other),389,385,415,537,426,366,377,49,4,8
Drug abuse violations,"1,841","1,707","1,557","1,634","1,463","1,560","1,737",49,4,8
Gambling,0,0,0,1,0,0,2,49,4,8
Offenses against family,35,43,41,47,100,119,136,49,4,8
Driving under influence,219,211,198,204,157,155,140,49,4,8
Liquor laws,"3,055","3,060","2,924","3,068","2,854","3,369","3,225",49,4,8
Drunkenness,193,135,234,179,201,223,244,49,4,8
Disorderly conduct,"1,987","2,301","2,751","2,659","2,547","2,538","2,497",49,4,8
Vagrancy,203,180,2,220,440,283,216,49,4,8
All other offenses,"6,751","6,589","6,948","6,733","6,452","7,349","7,397",49,4,8
Curfew and loitering,"1,945","1,634","1,719","1,585","1,993","2,310","2,302",49,4,8
Runaways,971,966,852,743,762,690,711,49,4,8
Population Ages 10 to 17,"316,400","317,000","316,100","316,000","324,000","331,700","342,300",49,4,8
