Types of crimes,2001,2002,2003,2004,2005,2006,2007,State_ID,Region_ID,Division_ID,
Total Arrests,"35,630","36,235","34,425","37,899","37,466","39,208","41,728",51,3,5,
Violent Crime Index,959,955,875,"1,013","1,227","1,222","1,226",51,3,5,
Murder/nonneg. mans.,22,22,19,14,18,20,23,51,3,5,
Rape,63,59,64,62,39,46,44,51,3,5,
Robbery,303,271,259,330,467,487,543,51,3,5,
Aggravated assault,571,603,533,607,703,669,616,51,3,5,
Property Crime Index,"6,567","6,510","6,289","6,802","6,488","6,073","6,505",51,3,5,
Burglary,"1,134","1,022","1,174","1,033","1,217","1,202","1,318",51,3,5,
Larceny-theft,"4,716","4,746","4,543","5,175","4,718","4,401","4,704",51,3,5,
Motor vehicle theft,509,521,404,431,369,267,257,51,3,5,
Arson,208,221,168,163,184,203,226,51,3,5,
Other assaults,"4,998","4,855","4,748","5,137","5,257","4,977","5,127",51,3,5,
Forgery and counterfeiting,122,102,86,75,90,64,61,51,3,5,
Fraud,188,138,102,91,114,125,112,51,3,5,
Embezzlement,75,57,60,81,77,126,110,51,3,5,
Stolen property,155,149,166,207,167,171,226,51,3,5,
Vandalism,"1,470","1,280","1,306","1,504","1,491","1,677","1,643",51,3,5,
Weapons,605,546,651,690,748,707,724,51,3,5,
Prostitution/<br>commercialized vice,2,4,2,4,2,1,3,51,3,5,
Sex offenses (other),266,270,262,245,215,264,257,51,3,5,
Drug abuse violations,"2,656","2,784","2,848","2,670","2,621","2,808","2,986",51,3,5,
Gambling,7,3,4,3,12,6,10,51,3,5,
Offenses against family,25,22,44,16,20,16,31,51,3,5,
Driving under influence,339,276,282,249,173,180,203,51,3,5,
Liquor laws,"2,011","1,986","1,510","1,648","1,547","1,876","2,052",51,3,5,
Drunkenness,283,303,281,257,223,243,228,51,3,5,
Disorderly conduct,"1,366","1,376","1,440","1,744","1,942","1,888","2,038",51,3,5,
Vagrancy,0,0,0,0,0,0,0,51,3,5,
All other offenses,"8,163","8,049","7,373","8,650","7,827","8,473","9,703",51,3,5,
Curfew and loitering,"2,260","2,553","1,977","2,377","2,726","3,016","2,681",51,3,5,
Runaways,"3,113","4,017","4,119","4,436","4,499","5,295","5,802",51,3,5,
Population Ages 10 to 17,"799,000","815,800","826,000","831,100","838,600","837,900","835,200",51,3,5,
