School characteristic,Percent with one or more security staff,,,,,Percent with any security staff routinely carrying a firearm,,,Percent with sworn law enforcement officers routinely carrying a firearm,Nation_ID
,2005–06,2007–08,2009–10,2013-14,2015-16,2005–06,2007–08,2009–10,2015–16,US_National
All public schools,41.7,46.3,42.8,43,56.5,30.7,34.1,28,42.9,US_National
Primary ,26.2,33.1,27.7,28.6,45.4,15.7,20.1,12.5,30.6,US_National
Middle,63.7,65.5,66.4,63.3,73.4,51.8,54.2,51,60,US_National
High school/combined,62.9,65.5,62.8,64.1,71.3,51.8,54.9,50.1,60.7,US_National
High school,75.2,79.6,76.4,N/A,81,64,67.5,63.3,70.9,US_National
Combined,43.5,39.9,36.6,N/A,51.2,32.4,32.1,24.6,39.7,US_National
Enrollment size less than 300 .,22.7,27.6,25.6,21.7,34.8,16.2,16.1,13.5,26.8,US_National
Enrollment size 300 to 499 ,29.8,36.1,33.5,35.4,49.9,20.5,26.7,19.8,37.8,US_National
Enrollment size 500 to 999 .,50.5,52.7,47.3,50.6,64.6,36.9,39.5,30.3,46,US_National
"Enrollment size 1,000 or more ",86.9,90.6,90,87.2,91.4,70.3,73.5,74.6,80.5,US_National
City,49.1,57.3,50.9,45.5,61.9,30.5,33.1,27.6,36,US_National
Suburban,42.7,45.4,45.4,47.7,57.9,32.2,33.7,29.6,44.6,US_National
Town,44.4,51.1,39,48,62,38.1,45,31.6,56.5,US_National
Rural,33.8,36,35.2,35.5,46.7,27.1,30.5,25.3,41.3,US_National
"Percent combined enrollment of Black, Hispanic, Asian, Pacific Islander, and American Indian/Alaska Native Less than 5 percent ",28.3,35.6,30.4,35.6,44.7,22.9,27.1,21.9,41,US_National
"Percent combined enrollment of Black, Hispanic, Asian, Pacific Islander, and American Indian/Alaska Native 5 percent to less than 20 percent ",38.9,42.9,36.5,34.9,54.3,30.2,37.7,27.6,47.5,US_National
"Percent combined enrollment of Black, Hispanic, Asian, Pacific Islander, and American Indian/Alaska Native  20 percent to less than 50 percent ",41.6,44.7,41.9,46.7,49.9,35.3,38.4,30.5,43,US_National
"Percent combined enrollment of Black, Hispanic, Asian, Pacific Islander, and American Indian/Alaska Native 50 percent or more ",51.3,55.4,52.5,48,63.7,31.3,31.8,29.1,40.4,US_National
 0 to 25 percent of students eligible for free or reduced-price lunch,37.9,46.5,39.2,41.6,52.9,30.3,34.8,27.2,42.5,US_National
26 to 50 percent percent of students eligible for free or reduced-price lunch,42.1,40.8,40,39.6,50.8,33.8,35.2,30.3,41.3,US_National
51 to 75 percent percent of students eligible for free or reduced-price lunch,39.3,46.1,42.3,44.4,58.7,31.8,35.8,27.4,49,US_National
76 to 100 percent percent of students eligible for free or reduced-price lunch,49.8,55,49.8,45.8,62.2,25.6,29.7,26.8,38.9,US_National
