County,2000 Live Births,2000 Low Birthweight,Percentage,2006 Live Births,2006 Low Birthweight,Percentage,2000-2006 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,68,1,1.50%,97,5,5.20%,250.50%,19_001,19,2,4,,
Adams,35,2,5.70%,64,5,7.80%,36.70%,19_002,19,2,4,,
Allamakee,158,7,4.40%,207,11,5.30%,19.90%,19_003,19,2,4,,
Appanoose,142,8,5.60%,154,16,10.40%,84.40%,19_004,19,2,4,,
Audubon,47,3,6.40%,57,4,7.00%,9.90%,19_005,19,2,4,,
Benton,325,26,8.00%,310,13,4.20%,-47.60%,19_006,19,2,4,,
Black Hawk,"1,551",96,6.20%,"1,776",151,8.50%,37.40%,19_007,19,2,4,,
Boone,317,14,4.40%,329,14,4.30%,-3.60%,19_008,19,2,4,,
Bremer,250,13,5.20%,297,16,5.40%,3.60%,19_009,19,2,4,,
Buchanan,301,16,5.30%,340,20,5.90%,10.70%,19_010,19,2,4,,
Buena Vista,233,12,5.20%,260,15,5.80%,12.00%,19_011,19,2,4,,
Butler,170,9,5.30%,170,9,5.30%,0.00%,19_012,19,2,4,,
Calhoun,107,8,7.50%,108,C,NA,NA,19_013,19,2,4,,
Carroll,262,11,4.20%,302,19,6.30%,49.80%,19_014,19,2,4,,
Cass,158,8,5.10%,159,12,7.50%,49.10%,19_015,19,2,4,,
Cedar,206,10,4.90%,203,12,5.90%,21.80%,19_016,19,2,4,,
Cerro Gordo,530,29,5.50%,501,24,4.80%,-12.50%,19_017,19,2,4,,
Cherokee,146,10,6.80%,119,7,5.90%,-14.10%,19_018,19,2,4,,
Chickasaw,169,11,6.50%,156,15,9.60%,47.70%,19_019,19,2,4,,
Clarke,97,7,7.20%,126,9,7.10%,-1.00%,19_020,19,2,4,,
Clay,204,11,5.40%,205,16,7.80%,44.70%,19_021,19,2,4,,
Clayton,194,10,5.20%,226,14,6.20%,20.20%,19_022,19,2,4,,
Clinton,591,39,6.60%,653,53,8.10%,23.00%,19_023,19,2,4,,
Crawford,189,13,6.90%,249,12,4.80%,-29.90%,19_024,19,2,4,,
Dallas,566,34,6.00%,893,55,6.20%,2.50%,19_025,19,2,4,,
