County,2003 4th Gr. Math Proficiency,2006 4th Gr. Math Proficiency,4th Gr. 2003-2006 Change,2003 8th Gr. Math Proficiency,2006 8th Gr. Math Proficiency,8th Gr. 2003-2006 Change,2003 11th Gr. Math Proficiency,2006 11th Gr. Math Proficiency,11th Gr. 2003-2006 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,70.20%,76.00%,8.30%,67.90%,76.50%,12.70%,78.10%,80.00%,2.40%,19_001,19,2,4,,
Adams,80.70%,91.10%,12.90%,76.90%,78.50%,2.10%,81.70%,82.00%,0.40%,19_002,19,2,4,,
Allamakee,74.90%,80.80%,7.90%,72.50%,79.40%,9.50%,75.10%,81.60%,8.70%,19_003,19,2,4,,
Appanoose,74.60%,83.10%,11.40%,64.10%,69.70%,8.70%,72.10%,78.00%,8.20%,19_004,19,2,4,,
Audubon,80.60%,89.10%,10.50%,86.30%,83.90%,-2.80%,80.30%,84.00%,4.60%,19_005,19,2,4,,
Benton,80.40%,81.80%,1.70%,78.20%,75.20%,-3.80%,75.40%,77.70%,3.10%,19_006,19,2,4,,
Black Hawk,63.90%,71.70%,12.20%,60.70%,65.00%,7.10%,72.10%,75.50%,4.70%,19_007,19,2,4,,
Boone,84.80%,81.90%,-3.40%,70.70%,83.20%,17.70%,80.60%,78.90%,-2.10%,19_008,19,2,4,,
Bremer,83.10%,83.10%,0.00%,81.80%,85.20%,4.20%,83.10%,86.90%,4.60%,19_009,19,2,4,,
Buchanan,77.20%,79.00%,2.30%,65.50%,69.30%,5.80%,80.30%,83.20%,3.60%,19_010,19,2,4,,
Buena Vista,71.00%,73.60%,3.70%,67.20%,70.30%,4.60%,75.00%,74.60%,-0.50%,19_011,19,2,4,,
Butler,79.40%,82.30%,3.70%,74.70%,80.00%,7.10%,82.80%,82.00%,-1.00%,19_012,19,2,4,,
Calhoun,76.00%,79.50%,4.60%,77.70%,78.50%,1.00%,78.10%,82.20%,5.20%,19_013,19,2,4,,
Carroll,76.60%,83.50%,9.00%,80.90%,79.00%,-2.30%,79.40%,85.90%,8.20%,19_014,19,2,4,,
Cass,74.60%,79.30%,6.30%,72.70%,76.10%,4.70%,80.10%,81.30%,1.50%,19_015,19,2,4,,
Cedar,84.90%,82.40%,-2.90%,79.80%,81.00%,1.50%,83.80%,83.20%,-0.70%,19_016,19,2,4,,
Cerro Gordo,74.80%,77.90%,4.10%,71.70%,74.80%,4.30%,79.30%,78.50%,-1.00%,19_017,19,2,4,,
Cherokee,77.00%,82.90%,7.70%,78.00%,81.90%,5.00%,87.50%,82.90%,-5.30%,19_018,19,2,4,,
Chickasaw,82.60%,85.70%,3.80%,82.60%,84.90%,2.80%,81.60%,90.50%,10.90%,19_019,19,2,4,,
Clarke,74.20%,81.00%,9.20%,60.20%,67.00%,11.30%,70.90%,67.80%,-4.40%,19_020,19,2,4,,
Clay,78.40%,81.80%,4.30%,77.10%,77.40%,0.40%,81.80%,78.70%,-3.80%,19_021,19,2,4,,
Clayton,75.20%,79.40%,5.60%,69.60%,78.20%,12.40%,83.70%,78.60%,-6.10%,19_022,19,2,4,,
Clinton,73.60%,84.40%,14.70%,69.30%,74.10%,6.90%,79.30%,77.80%,-1.90%,19_023,19,2,4,,
Crawford,86.60%,77.80%,-10.20%,79.50%,75.50%,-5.00%,85.50%,80.30%,-6.10%,19_024,19,2,4,,
Dallas,80.60%,86.30%,7.10%,78.80%,82.00%,4.10%,81.60%,81.90%,0.40%,19_025,19,2,4,,
Davis,74.60%,74.10%,-0.70%,64.70%,86.30%,33.40%,69.00%,74.50%,8.00%,19_026,19,2,4,,
Decatur,63.30%,77.60%,22.60%,76.00%,68.10%,-10.40%,77.10%,76.50%,-0.80%,19_027,19,2,4,,
Delaware,77.30%,80.50%,4.10%,81.50%,82.60%,1.30%,84.20%,82.30%,-2.30%,19_028,19,2,4,,
Des Moines,73.40%,79.40%,8.20%,65.60%,70.00%,6.70%,74.50%,76.40%,2.60%,19_029,19,2,4,,
Dickinson,87.10%,89.10%,2.30%,77.30%,76.30%,-1.30%,84.20%,86.10%,2.30%,19_030,19,2,4,,
Dubuque,67.50%,77.40%,14.70%,70.50%,75.80%,7.50%,78.80%,78.70%,-0.10%,19_031,19,2,4,,
Emmet,75.60%,75.00%,-0.80%,73.30%,72.20%,-1.50%,65.10%,74.40%,14.30%,19_032,19,2,4,,
Fayette,74.40%,81.00%,8.90%,74.90%,76.50%,2.10%,80.60%,78.80%,-2.20%,19_033,19,2,4,,
Floyd,74.40%,82.50%,10.90%,73.10%,76.70%,4.90%,79.80%,84.60%,6.00%,19_034,19,2,4,,
Franklin,69.00%,78.40%,13.60%,72.60%,74.30%,2.30%,77.30%,79.60%,3.00%,19_035,19,2,4,,
Fremont,67.00%,80.20%,19.70%,63.50%,72.30%,13.90%,77.10%,71.20%,-7.70%,19_036,19,2,4,,
Greene,71.50%,77.20%,8.00%,69.40%,69.90%,0.70%,78.10%,75.20%,-3.70%,19_037,19,2,4,,
Grundy,86.60%,85.90%,-0.80%,78.50%,83.10%,5.90%,86.00%,84.80%,-1.40%,19_038,19,2,4,,
Guthrie,78.90%,86.30%,9.40%,69.50%,79.60%,14.50%,77.50%,80.60%,4.00%,19_039,19,2,4,,
Hamilton,83.00%,85.60%,3.10%,74.70%,77.70%,4.00%,77.70%,79.60%,2.40%,19_040,19,2,4,,
Hancock,77.10%,85.70%,11.20%,72.40%,79.00%,9.10%,85.10%,85.40%,0.40%,19_041,19,2,4,,
Hardin,78.50%,83.40%,6.20%,70.90%,75.90%,7.10%,78.00%,76.20%,-2.30%,19_042,19,2,4,,
Harrison,69.60%,76.30%,9.60%,66.50%,75.20%,13.10%,76.20%,72.70%,-4.60%,19_043,19,2,4,,
Henry,73.50%,77.30%,5.20%,71.50%,71.10%,-0.60%,76.20%,76.50%,0.40%,19_044,19,2,4,,
Howard,79.70%,80.90%,1.50%,76.20%,78.10%,2.50%,75.00%,82.10%,9.50%,19_045,19,2,4,,
Humboldt,82.20%,85.50%,4.00%,80.10%,76.90%,-4.00%,79.60%,84.30%,5.90%,19_046,19,2,4,,
Ida,81.30%,85.80%,5.50%,81.50%,79.30%,-2.70%,88.00%,84.00%,-4.50%,19_047,19,2,4,,
Iowa,77.10%,86.60%,12.30%,70.50%,79.00%,12.10%,84.20%,83.20%,-1.20%,19_048,19,2,4,,
Jackson,76.00%,85.50%,12.50%,73.00%,71.90%,-1.50%,75.90%,79.80%,5.10%,19_049,19,2,4,,
Jasper,75.20%,80.60%,7.20%,68.80%,72.00%,4.70%,77.50%,77.80%,0.40%,19_050,19,2,4,,
Jefferson,81.80%,80.70%,-1.30%,78.90%,74.80%,-5.20%,84.60%,78.20%,-7.60%,19_051,19,2,4,,
Johnson,79.20%,77.90%,-1.60%,80.60%,79.10%,-1.90%,87.90%,83.20%,-5.30%,19_052,19,2,4,,
Jones,77.80%,82.80%,6.40%,76.40%,79.10%,3.50%,77.00%,81.00%,5.20%,19_053,19,2,4,,
Keokuk,74.60%,85.70%,14.90%,69.70%,69.30%,-0.60%,70.10%,74.60%,6.40%,19_054,19,2,4,,
Kossuth,79.20%,82.90%,4.70%,73.20%,83.50%,14.10%,82.70%,84.70%,2.40%,19_055,19,2,4,,
Lee,67.70%,83.60%,23.50%,67.50%,70.10%,3.90%,74.60%,73.80%,-1.10%,19_056,19,2,4,,
Linn,74.40%,80.90%,8.70%,74.10%,78.70%,6.20%,82.50%,83.90%,1.70%,19_057,19,2,4,,
Louisa,62.10%,76.90%,23.80%,56.70%,57.10%,0.70%,64.20%,73.20%,14.00%,19_058,19,2,4,,
Lucas,75.40%,75.00%,-0.50%,61.80%,81.20%,31.40%,75.00%,74.60%,-0.50%,19_059,19,2,4,,
Lyon,82.80%,82.80%,0.00%,77.60%,82.00%,5.70%,88.70%,84.60%,-4.60%,19_119,19,2,4,,
Madison,73.50%,81.10%,10.30%,75.20%,76.40%,1.60%,81.80%,76.80%,-6.10%,19_121,19,2,4,,
Mahaska,80.00%,84.50%,5.60%,66.10%,73.70%,11.50%,73.00%,77.30%,5.90%,19_123,19,2,4,,
Marion,78.10%,86.10%,10.20%,72.60%,78.10%,7.60%,80.60%,79.10%,-1.90%,19_125,19,2,4,,
Marshall,68.30%,70.90%,3.80%,68.40%,66.40%,-2.90%,72.20%,73.20%,1.40%,19_127,19,2,4,,
Mills,72.00%,82.30%,14.30%,76.40%,75.30%,-1.40%,82.20%,78.70%,-4.30%,19_129,19,2,4,,
Mitchell,77.60%,84.00%,8.20%,78.30%,71.00%,-9.30%,83.70%,85.60%,2.30%,19_131,19,2,4,,
Monona,75.50%,78.90%,4.50%,78.40%,77.30%,-1.40%,80.90%,80.70%,-0.20%,19_133,19,2,4,,
Monroe,67.60%,77.60%,14.80%,63.30%,65.30%,3.20%,78.70%,71.90%,-8.60%,19_135,19,2,4,,
Montgomery,73.80%,79.70%,8.00%,75.70%,70.20%,-7.30%,80.50%,78.60%,-2.40%,19_137,19,2,4,,
Muscatine,78.10%,86.10%,10.20%,71.10%,78.20%,10.00%,74.30%,82.00%,10.40%,19_139,19,2,4,,
O'Brien,82.10%,85.60%,4.30%,84.60%,82.40%,-2.60%,85.30%,87.40%,2.50%,19_141,19,2,4,,
Osceola,78.90%,89.10%,12.90%,77.60%,91.70%,18.20%,90.40%,82.70%,-8.50%,19_143,19,2,4,,
Page,71.70%,70.20%,-2.10%,69.80%,71.80%,2.90%,83.40%,83.80%,0.50%,19_145,19,2,4,,
Palo Alto,83.60%,91.90%,9.90%,76.00%,79.00%,3.90%,81.10%,79.50%,-2.00%,19_147,19,2,4,,
Plymouth,77.30%,84.10%,8.80%,77.50%,81.10%,4.60%,81.00%,82.80%,2.20%,19_149,19,2,4,,
Pocahontas,80.30%,89.60%,11.60%,80.50%,77.70%,-3.50%,80.00%,82.80%,3.50%,19_151,19,2,4,,
Polk,76.90%,80.50%,4.70%,70.60%,73.00%,3.40%,78.90%,75.90%,-3.80%,19_153,19,2,4,,
Pottawattamie,66.10%,74.60%,12.90%,64.60%,68.00%,5.30%,75.30%,74.80%,-0.70%,19_155,19,2,4,,
Poweshiek,84.50%,82.80%,-2.00%,74.20%,74.60%,0.50%,79.20%,79.70%,0.60%,19_157,19,2,4,,
Ringgold,80.50%,95.70%,18.90%,76.80%,75.00%,-2.30%,70.70%,80.80%,14.30%,19_159,19,2,4,,
Sac,79.70%,75.60%,-5.10%,76.00%,79.70%,4.90%,82.00%,85.50%,4.30%,19_161,19,2,4,,
Scott,68.90%,80.70%,17.10%,62.30%,69.30%,11.20%,73.40%,72.20%,-1.60%,19_163,19,2,4,,
Shelby,81.60%,84.50%,3.60%,82.00%,87.20%,6.30%,83.90%,86.90%,3.60%,19_165,19,2,4,,
Sioux,84.70%,88.50%,4.50%,79.50%,80.10%,0.80%,84.90%,84.30%,-0.70%,19_167,19,2,4,,
Story,82.60%,86.30%,4.50%,81.10%,84.30%,3.90%,83.40%,86.20%,3.40%,19_169,19,2,4,,
Tama,70.90%,73.00%,3.00%,72.10%,79.50%,10.30%,75.50%,73.60%,-2.50%,19_171,19,2,4,,
Taylor,82.60%,80.30%,-2.80%,68.20%,82.40%,20.80%,80.80%,75.70%,-6.30%,19_173,19,2,4,,
Union,77.90%,78.30%,0.50%,71.90%,69.80%,-2.90%,78.40%,73.50%,-6.30%,19_175,19,2,4,,
