County,2000 Live Births,2000 Prenatal Care,Percentage,2006 Live Births,20006 Prenatal Care,Percentage,2000-2006 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,68,64,94.10%,97,86,88.70%,-5.80%,19_001,19,2,4,,
Adams,35,32,91.40%,64,54,84.40%,-7.70%,19_002,19,2,4,,
Allamakee,158,128,81.00%,207,159,76.80%,-5.20%,19_003,19,2,4,,
Appanoose,142,115,81.00%,154,128,83.10%,2.60%,19_004,19,2,4,,
Audubon,47,39,83.00%,57,54,94.70%,14.20%,19_005,19,2,4,,
Benton,325,276,84.90%,310,289,93.20%,9.80%,19_006,19,2,4,,
Black Hawk,"1,551","1,397",90.10%,"1,776","1,585",89.20%,-0.90%,19_007,19,2,4,,
Boone,317,285,89.90%,329,301,91.50%,1.80%,19_008,19,2,4,,
Bremer,250,238,95.20%,297,272,91.60%,-3.80%,19_009,19,2,4,,
Buchanan,301,237,78.70%,340,286,84.10%,6.80%,19_010,19,2,4,,
Buena Vista,233,181,77.70%,260,210,80.80%,4.00%,19_011,19,2,4,,
Butler,170,155,91.20%,170,152,89.40%,-1.90%,19_012,19,2,4,,
Calhoun,107,99,92.50%,108,96,88.90%,-3.90%,19_013,19,2,4,,
Carroll,262,254,96.90%,302,276,91.40%,-5.70%,19_014,19,2,4,,
Cass,158,141,89.20%,159,125,78.60%,-11.90%,19_015,19,2,4,,
Cedar,206,182,88.30%,203,181,89.20%,0.90%,19_016,19,2,4,,
Cerro Gordo,530,426,80.40%,501,316,63.10%,-21.50%,19_017,19,2,4,,
Cherokee,146,131,89.70%,119,106,89.10%,-0.70%,19_018,19,2,4,,
Chickasaw,169,146,86.40%,156,124,79.50%,-8.00%,19_019,19,2,4,,
Clarke,97,83,85.60%,126,107,84.90%,-0.80%,19_020,19,2,4,,
Clay,204,186,91.20%,205,173,84.40%,-7.40%,19_021,19,2,4,,
Clayton,194,166,85.60%,226,181,80.10%,-6.40%,19_022,19,2,4,,
Clinton,591,507,85.80%,653,590,90.40%,5.30%,19_023,19,2,4,,
Crawford,189,148,78.30%,249,195,78.30%,0.00%,19_024,19,2,4,,
Dallas,566,490,86.60%,893,817,91.50%,5.70%,19_025,19,2,4,,
Davis,129,80,62.00%,138,97,70.30%,13.30%,19_026,19,2,4,,
Decatur,101,87,86.10%,97,74,76.30%,-11.40%,19_027,19,2,4,,
Delaware,227,207,91.20%,216,192,88.90%,-2.50%,19_028,19,2,4,,
Des Moines,555,461,83.10%,557,482,86.50%,4.20%,19_029,19,2,4,,
Dickinson,159,148,93.10%,173,155,89.60%,-3.70%,19_030,19,2,4,,
Dubuque,"1,221","1,098",89.90%,"1,208","1,056",87.40%,-2.80%,19_031,19,2,4,,
Emmet,126,111,88.10%,146,104,71.20%,-19.10%,19_032,19,2,4,,
Fayette,233,210,90.10%,230,201,87.40%,-3.00%,19_033,19,2,4,,
Floyd,199,135,67.80%,220,142,64.50%,-4.90%,19_034,19,2,4,,
Franklin,113,94,83.20%,124,84,67.70%,-18.60%,19_035,19,2,4,,
Fremont,82,69,84.10%,81,60,74.10%,-12.00%,19_036,19,2,4,,
Greene,92,79,85.90%,128,106,82.80%,-3.60%,19_037,19,2,4,,
Grundy,133,129,97.00%,138,125,90.60%,-6.60%,19_038,19,2,4,,
Guthrie,134,115,85.80%,122,106,86.90%,1.20%,19_039,19,2,4,,
Hamilton,192,176,91.70%,184,156,84.80%,-7.50%,19_040,19,2,4,,
Hancock,131,104,79.40%,131,79,60.30%,-24.00%,19_041,19,2,4,,
Hardin,208,177,85.10%,196,170,86.70%,1.90%,19_042,19,2,4,,
Harrison,193,169,87.60%,175,148,84.60%,-3.40%,19_043,19,2,4,,
