County,2003 4th Gr. Reading Proficiency,2006 4th Gr. Reading Proficiency,4th Gr. 2003-2006 Change,2003 8th Gr. Reading Proficiency,2006 8th Gr. Reading Proficiency,8th Gr. 2003-2006 Change,2003 11th Gr. Reading Proficiency,2006 11th Gr. Reading Proficiency,11th Gr. 2003-2006 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,71.80%,73.60%,2.50%,70.10%,76.00%,8.40%,75.40%,77.00%,2.10%,19_001,19,2,4,,
Adams,78.30%,87.30%,11.50%,76.90%,75.30%,-2.10%,78.90%,84.00%,6.50%,19_002,19,2,4,,
Allamakee,75.00%,77.90%,3.90%,70.40%,76.30%,8.40%,74.00%,78.80%,6.50%,19_003,19,2,4,,
Appanoose,77.00%,80.60%,4.70%,64.40%,74.70%,16.00%,71.70%,80.10%,11.70%,19_004,19,2,4,,
Audubon,79.60%,83.20%,4.50%,76.80%,67.70%,-11.80%,68.90%,79.90%,16.00%,19_005,19,2,4,,
Benton,76.90%,81.60%,6.10%,72.60%,70.00%,-3.60%,70.20%,75.30%,7.30%,19_006,19,2,4,,
Black Hawk,69.70%,71.50%,2.60%,60.80%,63.40%,4.30%,72.50%,75.20%,3.70%,19_007,19,2,4,,
Boone,80.40%,80.90%,0.60%,66.50%,74.50%,12.00%,75.70%,75.10%,-0.80%,19_008,19,2,4,,
Bremer,79.90%,82.90%,3.80%,73.00%,78.10%,7.00%,78.10%,80.60%,3.20%,19_009,19,2,4,,
Buchanan,76.60%,77.10%,0.70%,68.80%,67.10%,-2.50%,73.00%,76.10%,4.20%,19_010,19,2,4,,
Buena Vista,67.50%,73.10%,8.30%,60.50%,63.60%,5.10%,70.50%,71.50%,1.40%,19_011,19,2,4,,
Butler,79.00%,79.40%,0.50%,70.30%,75.00%,6.70%,78.30%,73.70%,-5.90%,19_012,19,2,4,,
Calhoun,82.30%,81.50%,-1.00%,76.00%,74.50%,-2.00%,73.50%,76.40%,3.90%,19_013,19,2,4,,
Carroll,76.30%,82.30%,7.90%,69.50%,76.90%,10.60%,75.50%,81.00%,7.30%,19_014,19,2,4,,
Cass,75.90%,77.80%,2.50%,71.50%,71.40%,-0.10%,80.40%,81.50%,1.40%,19_015,19,2,4,,
Cedar,82.30%,81.70%,-0.70%,74.50%,77.10%,3.50%,70.40%,81.20%,15.30%,19_016,19,2,4,,
Cerro Gordo,74.00%,76.60%,3.50%,70.10%,71.10%,1.40%,77.80%,79.40%,2.10%,19_017,19,2,4,,
Cherokee,79.90%,82.50%,3.30%,73.40%,76.60%,4.40%,80.60%,80.90%,0.40%,19_018,19,2,4,,
