County,2000 Age 15-19 Population,2000 Deaths,Rate,2006 Age 15-19 Population,2006 Death Rates,Rate,2000-2006 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,602,1,166,602,0,0,-100.00%,19_001,19,2,4,,
Adams,283,0,0,283,0,0,0.00%,19_002,19,2,4,,
Allamakee,"1,043",2,192,"1,043",C,NA,NA,19_003,19,2,4,,
Appanoose,945,0,0,945,C,NA,NA,19_004,19,2,4,,
Audubon,459,0,0,459,0,0,0.00%,19_005,19,2,4,,
Benton,"1,801",0,0,"1,801",C,NA,NA,19_006,19,2,4,,
Black Hawk,"11,096",0,0,"11,096",C,NA,NA,19_007,19,2,4,,
Boone,"1,936",1,52,"1,936",C,NA,NA,19_008,19,2,4,,
Bremer,"2,175",0,0,"2,175",0,0,0.00%,19_009,19,2,4,,
Buchanan,"1,736",1,58,"1,736",0,0,-100.00%,19_010,19,2,4,,
Buena Vista,"1,852",1,54,"1,852",0,0,-100.00%,19_011,19,2,4,,
Butler,"1,098",3,273,"1,098",C,NA,NA,19_012,19,2,4,,
Calhoun,801,0,0,801,0,0,0.00%,19_013,19,2,4,,
Carroll,"1,723",1,58,"1,723",4,232,300.00%,19_014,19,2,4,,
Cass,"1,072",2,187,"1,072",0,0,-100.00%,19_015,19,2,4,,
Cedar,"1,366",0,0,"1,366",0,0,0.00%,19_016,19,2,4,,
Cerro Gordo,"3,526",1,28,"3,526",5,142,400.00%,19_017,19,2,4,,
Cherokee,"1,000",0,0,"1,000",C,NA,NA,19_018,19,2,4,,
Chickasaw,"1,011",0,0,"1,011",C,NA,NA,19_019,19,2,4,,
Clarke,688,0,0,688,C,NA,NA,19_020,19,2,4,,
Clay,"1,224",2,163,"1,224",0,0,-100.00%,19_021,19,2,4,,
Clayton,"1,399",1,71,"1,399",C,NA,NA,19_022,19,2,4,,
Clinton,"3,714",1,27,"3,714",4,108,300.00%,19_023,19,2,4,,
Crawford,"1,421",0,0,"1,421",0,0,0.00%,19_024,19,2,4,,
Dallas,"2,816",3,107,"2,816",0,0,-100.00%,19_025,19,2,4,,
Davis,643,0,0,643,0,0,0.00%,19_026,19,2,4,,
Decatur,886,1,113,886,0,0,-100.00%,19_027,19,2,4,,
Delaware,"1,536",6,391,"1,536",0,0,-100.00%,19_028,19,2,4,,
Des Moines,"3,124",0,0,"3,124",C,NA,NA,19_029,19,2,4,,
Dickinson,"1,020",0,0,"1,020",C,NA,NA,19_030,19,2,4,,
Dubuque,"7,075",3,42,"7,075",C,NA,NA,19_031,19,2,4,,
Emmet,"1,039",0,0,"1,039",C,NA,NA,19_032,19,2,4,,
Fayette,"1,701",2,118,"1,701",C,NA,NA,19_033,19,2,4,,
Floyd,"1,200",0,0,"1,200",C,NA,NA,19_034,19,2,4,,
Franklin,847,0,0,847,C,NA,NA,19_035,19,2,4,,
Fremont,557,0,0,557,0,0,0.00%,19_036,19,2,4,,
Greene,779,1,128,779,C,NA,NA,19_037,19,2,4,,
Grundy,893,0,0,893,0,0,0.00%,19_038,19,2,4,,
Guthrie,761,0,0,761,C,NA,NA,19_039,19,2,4,,
Hamilton,"1,128",1,89,"1,128",0,0,-100.00%,19_040,19,2,4,,
Hancock,961,0,0,961,C,NA,NA,19_041,19,2,4,,
Hardin,"1,737",0,0,"1,737",C,NA,NA,19_042,19,2,4,,
Harrison,"1,119",1,89,"1,119",0,0,-100.00%,19_043,19,2,4,,
Henry,"1,536",2,130,"1,536",C,NA,NA,19_044,19,2,4,,
Howard,741,1,135,741,C,NA,NA,19_045,19,2,4,,
Humboldt,832,0,0,832,0,0,0.00%,19_046,19,2,4,,
Ida,586,0,0,586,0,0,0.00%,19_047,19,2,4,,
Iowa,"1,070",0,0,"1,070",C,NA,NA,19_048,19,2,4,,
Jackson,"1,498",1,67,"1,498",C,NA,NA,19_049,19,2,4,,
Jasper,"2,442",2,82,"2,442",0,0,-100.00%,19_050,19,2,4,,
Jefferson,"1,213",0,0,"1,213",C,NA,NA,19_051,19,2,4,,
Johnson,"10,933",3,27,"10,933",4,37,33.30%,19_052,19,2,4,,
Jones,"1,378",0,0,"1,378",C,NA,NA,19_053,19,2,4,,
Keokuk,864,3,347,864,0,0,-100.00%,19_054,19,2,4,,
Kossuth,"1,390",1,72,"1,390",0,0,-100.00%,19_055,19,2,4,,
Lee,"2,638",2,76,"2,638",0,0,-100.00%,19_056,19,2,4,,
Linn,"13,891",7,50,"13,891",5,36,-28.60%,19_057,19,2,4,,
Louisa,874,0,0,874,C,NA,NA,19_058,19,2,4,,
Lucas,678,0,0,678,0,0,0.00%,19_059,19,2,4,,
Lyon,917,1,109,917,C,NA,NA,19_119,19,2,4,,
Madison,"1,031",1,97,"1,031",0,0,-100.00%,19_121,19,2,4,,
Mahaska,"1,717",0,0,"1,717",C,NA,NA,19_123,19,2,4,,
Marion,"2,591",0,0,"2,591",0,0,0.00%,19_125,19,2,4,,
Marshall,"2,889",0,0,"2,889",0,0,0.00%,19_127,19,2,4,,
Mills,"1,100",2,182,"1,100",0,0,-100.00%,19_129,19,2,4,,
Mitchell,785,0,0,785,0,0,0.00%,19_131,19,2,4,,
Monona,671,1,149,671,0,0,-100.00%,19_133,19,2,4,,
Monroe,558,0,0,558,C,NA,NA,19_135,19,2,4,,
Montgomery,820,0,0,820,C,NA,NA,19_137,19,2,4,,
Muscatine,"3,102",0,0,"3,102",C,NA,NA,19_139,19,2,4,,
O'Brien,"1,198",1,83,"1,198",C,NA,NA,19_141,19,2,4,,
Osceola,514,0,0,514,C,NA,NA,19_143,19,2,4,,
Page,"1,254",1,80,"1,254",C,NA,NA,19_145,19,2,4,,
Palo Alto,914,1,109,914,0,0,-100.00%,19_147,19,2,4,,
Plymouth,"2,101",1,48,"2,101",C,NA,NA,19_149,19,2,4,,
Pocahontas,633,1,158,633,0,0,-100.00%,19_151,19,2,4,,
Polk,"25,121",11,44,"25,121",12,48,9.10%,19_153,19,2,4,,
Pottawattamie,"6,672",2,30,"6,672",C,NA,NA,19_155,19,2,4,,
Poweshiek,"1,626",1,62,"1,626",C,NA,NA,19_157,19,2,4,,
Ringgold,430,0,0,430,0,0,0.00%,19_159,19,2,4,,
Sac,830,0,0,830,C,NA,NA,19_161,19,2,4,,
Scott,"11,698",4,34,"11,698",6,51,50.00%,19_163,19,2,4,,
Shelby,997,0,0,997,0,0,0.00%,19_165,19,2,4,,
Sioux,"3,492",8,229,"3,492",C,NA,NA,19_167,19,2,4,,
Story,"9,090",1,11,"9,090",0,0,-100.00%,19_169,19,2,4,,
Tama,"1,354",1,74,"1,354",C,NA,NA,19_171,19,2,4,,
Taylor,527,2,380,527,0,0,-100.00%,19_173,19,2,4,,
Union,969,0,0,969,C,NA,NA,19_175,19,2,4,,
Van Buren,543,1,184,543,C,NA,NA,19_177,19,2,4,,
Wapello,"2,646",0,0,"2,646",C,NA,NA,19_179,19,2,4,,
Warren,"3,317",1,30,"3,317",C,NA,NA,19_181,19,2,4,,
Washington,"1,420",0,0,"1,420",0,0,0.00%,19_183,19,2,4,,
Wayne,469,2,426,469,0,0,-100.00%,19_185,19,2,4,,
Webster,"3,277",1,31,"3,277",C,NA,NA,19_187,19,2,4,,
Winnebago,"1,026",1,97,"1,026",C,NA,NA,19_189,19,2,4,,
Winneshiek,"2,259",1,44,"2,259",C,NA,NA,19_191,19,2,4,,
Woodbury,"7,959",2,25,"7,959",C,NA,NA,19_193,19,2,4,,
Worth,544,0,0,544,C,NA,NA,19_195,19,2,4,,
Wright,"1,002",1,100,"1,002",C,NA,NA,19_197,19,2,4,,
State,"226,420",107,47,"226,420",127,56,18.70%,,19,2,4,,
Rural,"36,807",28,76,"36,807",33,90,17.90%,,,,,,IA_Rural_Counties
Small Urban,"86,078",46,53,"86,078",59,69,28.30%,,,,,,IA_Urban_Counties
Metropolitan,"103,535",33,32,"103,535",35,34,6.10%,,,,,,IA_Metropolitan_Counties
United States,"20,219,890","13,563",67,"20,219,890","13,801",68,1.80%,,,,,US_National,
