County,2000 Live Births,2000 Teen Unmarried Births,Percentage,2006 Live Births,2006 Teen Unmarried Births,Percentage,2000-2006 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,68,6,8.80%,97,8,8.20%,-6.50%,19_001,19,2,4,,
Adams,35,2,5.70%,64,8,12.50%,118.80%,19_002,19,2,4,,
Allamakee,158,13,8.20%,207,12,5.80%,-29.50%,19_003,19,2,4,,
Appanoose,142,11,7.70%,154,15,9.70%,25.70%,19_004,19,2,4,,
Audubon,47,7,14.90%,57,C,NA,NA,19_005,19,2,4,,
Benton,325,21,6.50%,310,22,7.10%,9.80%,19_006,19,2,4,,
Black Hawk,"1,551",175,11.30%,"1,776",150,8.40%,-25.10%,19_007,19,2,4,,
Boone,317,15,4.70%,329,25,7.60%,60.60%,19_008,19,2,4,,
Bremer,250,15,6.00%,297,13,4.40%,-27.00%,19_009,19,2,4,,
Buchanan,301,23,7.60%,340,11,3.20%,-57.70%,19_010,19,2,4,,
Buena Vista,233,29,12.40%,260,31,11.90%,-4.20%,19_011,19,2,4,,
Butler,170,10,5.90%,170,9,5.30%,-10.00%,19_012,19,2,4,,
Calhoun,107,6,5.60%,108,9,8.30%,48.60%,19_013,19,2,4,,
Carroll,262,12,4.60%,302,20,6.60%,44.60%,19_014,19,2,4,,
Cass,158,12,7.60%,159,11,6.90%,-8.90%,19_015,19,2,4,,
Cedar,206,12,5.80%,203,12,5.90%,1.50%,19_016,19,2,4,,
Cerro Gordo,530,50,9.40%,501,33,6.60%,-30.20%,19_017,19,2,4,,
Cherokee,146,13,8.90%,119,13,10.90%,22.70%,19_018,19,2,4,,
Chickasaw,169,13,7.70%,156,7,4.50%,-41.70%,19_019,19,2,4,,
Clarke,97,14,14.40%,126,9,7.10%,-50.50%,19_020,19,2,4,,
Clay,204,17,8.30%,205,14,6.80%,-18.00%,19_021,19,2,4,,
Clayton,194,15,7.70%,226,15,6.60%,-14.20%,19_022,19,2,4,,
Clinton,591,63,10.70%,653,74,11.30%,6.30%,19_023,19,2,4,,
Crawford,189,22,11.60%,249,17,6.80%,-41.30%,19_024,19,2,4,,
Dallas,566,27,4.80%,893,41,4.60%,-3.80%,19_025,19,2,4,,
Davis,129,9,7.00%,138,6,4.30%,-37.70%,19_026,19,2,4,,
Decatur,101,8,7.90%,97,11,11.30%,43.20%,19_027,19,2,4,,
Delaware,227,12,5.30%,216,12,5.60%,5.10%,19_028,19,2,4,,
Des Moines,555,71,12.80%,557,65,11.70%,-8.80%,19_029,19,2,4,,
Dickinson,159,13,8.20%,173,18,10.40%,27.30%,19_030,19,2,4,,
Dubuque,"1,221",83,6.80%,"1,208",90,7.50%,9.60%,19_031,19,2,4,,
Emmet,126,15,11.90%,146,19,13.00%,9.30%,19_032,19,2,4,,
Fayette,233,19,8.20%,230,19,8.30%,1.30%,19_033,19,2,4,,
Floyd,199,11,5.50%,220,24,10.90%,97.40%,19_034,19,2,4,,
Franklin,113,12,10.60%,124,12,9.70%,-8.90%,19_035,19,2,4,,
Fremont,82,4,4.90%,81,4,4.90%,1.20%,19_036,19,2,4,,
Greene,92,11,12.00%,128,8,6.30%,-47.70%,19_037,19,2,4,,
Grundy,133,6,4.50%,138,4,2.90%,-35.70%,19_038,19,2,4,,
Guthrie,134,10,7.50%,122,4,3.30%,-56.10%,19_039,19,2,4,,
Hamilton,192,17,8.90%,184,23,12.50%,41.20%,19_040,19,2,4,,
Hancock,131,9,6.90%,131,9,6.90%,0.00%,19_041,19,2,4,,
Hardin,208,19,9.10%,196,13,6.60%,-27.40%,19_042,19,2,4,,
Harrison,193,15,7.80%,175,5,2.90%,-63.20%,19_043,19,2,4,,
Henry,264,23,8.70%,221,18,8.10%,-6.50%,19_044,19,2,4,,
Howard,110,6,5.50%,127,13,10.20%,87.70%,19_045,19,2,4,,
Humboldt,99,6,6.10%,125,14,11.20%,84.80%,19_046,19,2,4,,
Ida,70,5,7.10%,92,6,6.50%,-8.70%,19_047,19,2,4,,
Iowa,183,17,9.30%,206,9,4.40%,-53.00%,19_048,19,2,4,,
Jackson,239,22,9.20%,229,25,10.90%,18.60%,19_049,19,2,4,,
Jasper,458,33,7.20%,402,33,8.20%,13.90%,19_050,19,2,4,,
Jefferson,145,10,6.90%,142,11,7.70%,12.30%,19_051,19,2,4,,
Johnson,"1,382",55,4.00%,"1,615",56,3.50%,-12.90%,19_052,19,2,4,,
Jones,227,14,6.20%,212,18,8.50%,37.70%,19_053,19,2,4,,
Keokuk,154,14,9.10%,139,C,NA,NA,19_054,19,2,4,,
Kossuth,166,10,6.00%,166,11,6.60%,10.00%,19_055,19,2,4,,
Lee,410,42,10.20%,454,53,11.70%,14.00%,19_056,19,2,4,,
Linn,"2,715",180,6.60%,"2,869",193,6.70%,1.50%,19_057,19,2,4,,
Louisa,164,7,4.30%,147,13,8.80%,107.20%,19_058,19,2,4,,
Lucas,119,10,8.40%,125,9,7.20%,-14.30%,19_059,19,2,4,,
Lyon,159,6,3.80%,175,4,2.30%,-39.40%,19_119,19,2,4,,
Madison,196,10,5.10%,205,12,5.90%,14.70%,19_121,19,2,4,,
Mahaska,283,31,11.00%,322,33,10.20%,-6.40%,19_123,19,2,4,,
Marion,383,23,6.00%,422,29,6.90%,14.40%,19_125,19,2,4,,
Marshall,556,73,13.10%,624,58,9.30%,-29.20%,19_127,19,2,4,,
Mills,155,15,9.70%,179,17,9.50%,-1.90%,19_129,19,2,4,,
Mitchell,131,4,3.10%,119,6,5.00%,65.10%,19_131,19,2,4,,
Monona,98,13,13.30%,120,6,5.00%,-62.30%,19_133,19,2,4,,
Monroe,102,8,7.80%,96,11,11.50%,46.10%,19_135,19,2,4,,
Montgomery,139,7,5.00%,137,10,7.30%,44.90%,19_137,19,2,4,,
Muscatine,638,80,12.50%,633,68,10.70%,-14.30%,19_139,19,2,4,,
O'Brien,187,16,8.60%,170,12,7.10%,-17.50%,19_141,19,2,4,,
Osceola,73,5,6.80%,70,5,7.10%,4.30%,19_143,19,2,4,,
Page,169,17,10.10%,177,20,11.30%,12.30%,19_145,19,2,4,,
Palo Alto,110,13,11.80%,126,7,5.60%,-53.00%,19_147,19,2,4,,
Plymouth,309,26,8.40%,306,17,5.60%,-34.00%,19_149,19,2,4,,
Pocahontas,73,4,5.50%,68,6,8.80%,61.00%,19_151,19,2,4,,
Polk,"6,216",517,8.30%,"6,911",491,7.10%,-14.60%,19_153,19,2,4,,
Pottawattamie,"1,184",140,11.80%,"1,227",119,9.70%,-18.00%,19_155,19,2,4,,
Poweshiek,212,19,9.00%,187,10,5.30%,-40.30%,19_157,19,2,4,,
Ringgold,69,5,7.20%,59,7,11.90%,63.70%,19_159,19,2,4,,
Sac,135,6,4.40%,119,8,6.70%,51.30%,19_161,19,2,4,,
Scott,"2,348",258,11.00%,"2,247",246,10.90%,-0.40%,19_163,19,2,4,,
Shelby,150,12,8.00%,121,9,7.40%,-7.00%,19_165,19,2,4,,
Sioux,457,22,4.80%,522,25,4.80%,-0.50%,19_167,19,2,4,,
Story,940,32,3.40%,999,33,3.30%,-3.00%,19_169,19,2,4,,
Tama,251,24,9.60%,226,14,6.20%,-35.20%,19_171,19,2,4,,
Taylor,87,8,9.20%,79,9,11.40%,23.90%,19_173,19,2,4,,
Union,127,8,6.30%,170,11,6.50%,2.70%,19_175,19,2,4,,
Van Buren,97,11,11.30%,89,7,7.90%,-30.60%,19_177,19,2,4,,
Wapello,424,56,13.20%,496,54,10.90%,-17.60%,19_179,19,2,4,,
Warren,513,37,7.20%,515,33,6.40%,-11.20%,19_181,19,2,4,,
Washington,290,13,4.50%,316,25,7.90%,76.50%,19_183,19,2,4,,
Wayne,79,5,6.30%,88,8,9.10%,43.60%,19_185,19,2,4,,
Webster,492,51,10.40%,485,46,9.50%,-8.50%,19_187,19,2,4,,
Winnebago,134,13,9.70%,142,13,9.20%,-5.60%,19_189,19,2,4,,
Winneshiek,191,13,6.80%,190,10,5.30%,-22.70%,19_191,19,2,4,,
Woodbury,"1,692",181,10.70%,"1,697",173,10.20%,-4.70%,19_193,19,2,4,,
Worth,84,6,7.10%,86,4,4.70%,-34.90%,19_195,19,2,4,,
Wright,168,12,7.10%,176,16,9.10%,27.30%,19_197,19,2,4,,
State,"38,250","3,201",8.40%,"40,592","3,104",7.60%,-8.60%,,19,2,4,,
Rural,"5,650",429,7.60%,"5,895",394,6.70%,-12.00%,,,,,,IA_Rural_Counties
Small Urban,"13,351","1,151",8.60%,"14,148","1,159",8.20%,-5.00%,,,,,,IA_Urban_Counties
Metropolitan,"19,249","1,621",8.40%,"20,549","1,551",7.50%,-10.40%,,,,,,IA_Metropolitan_Counties
United States,"4,055,507","377,675",9.30%,"4,265,996","372,826",8.70%,-6.20%,,,,,US_National,
