Created,11/10/2008,,,,,,,
Updated,1/25/2011,,,,,,,
Revised,n/a,,,,,,,
,,,,,,,,
Year,State,Personnel Type,"Teachers
(Highly Qualified) /
Paraprofessionals
(Qualified)","Teachers
(Not Highly Qualified) /
Paraprofessionals
(Not Qualified)","Teachers /
Paraprofessionals
Total",Fully Certified ,Not Fully Certified,Fully Certified/Not Fully Certified Total
2006,Alabama                                      ,Special Education Teachers for Ages 3-5                                          ,265,24,289,          -,          -,          -
2006,Alabama                                      ,Special Education Teachers for Ages 6-21                                         ,"4,910.00",690,"5,600.00",          -,          -,          -
2006,Alabama                                      ,Total Special Education Teachers                                                 ,"5,174.00",714,"5,889.00",          -,          -,          -
2006,Alabama                                      ,Special Education Paraprofessionals for Ages 3-5                                 ,367,33,400,          -,          -,          -
2006,Alabama                                      ,Special Education Paraprofessionals for Ages 6-21                                ,"3,782.00",598,"4,380.00",          -,          -,          -
2006,Alabama                                      ,Total Special Education Paraprofessionals                                        ,"4,149.00",631,"4,779.00",          -,          -,          -
2006,Alabama                                      ,Audiologists                                                                     ,          -,          -,          -,21,0,21
2006,Alabama                                      ,Speech-Language Pathologists                                                     ,          -,          -,          -,786,27,812
2006,Alabama                                      ,Interpreters                                                                     ,          -,          -,          -,79,6,85
2006,Alabama                                      ,Psychologists                                                                    ,          -,          -,          -,88,1,89
2006,Alabama                                      ,Occupational Therapists                                                          ,          -,          -,          -,162,3,165
2006,Alabama                                      ,Physical Therapists                                                              ,          -,          -,          -,112,1,113
2006,Alabama                                      ,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          -,          -,          -,153,11,164
2006,Alabama                                      ,Social Workers                                                                   ,          -,          -,          -,55,9,64
2006,Alabama                                      ,Medical/Nursing Service Staff                                                    ,          -,          -,          -,508,14,522
2006,Alabama                                      ,Counselors and Rehabilitation Counselors                                         ,          -,          -,          -,267,5,272
2006,Alabama                                      ,Orientation and Mobility Specialists                                             ,          -,          -,          -,15,0,15
2006,Alaska                                       ,Special Education Teachers for Ages 3-5                                          ,78,2,80,          -,          -,          -
2006,Alaska                                       ,Special Education Teachers for Ages 6-21                                         ,845,145,990,          -,          -,          -
2006,Alaska                                       ,Total Special Education Teachers                                                 ,923,147,"1,070.00",          -,          -,          -
2006,Alaska                                       ,Special Education Paraprofessionals for Ages 3-5                                 ,          -,          -,          -,          -,          -,          -
2006,Alaska                                       ,Special Education Paraprofessionals for Ages 6-21                                ,          -,          -,          -,          -,          -,          -
2006,Alaska                                       ,Total Special Education Paraprofessionals                                        ,"1,279.00",53,"1,331.00",          -,          -,          -
2006,Alaska                                       ,Audiologists                                                                     ,          -,          -,          -,3,0,3
