Year,State,NatIon_ID,State_ID,Region_ID,Division_ID,Personnel Type,"Teachers
(Highly Qualified) /
Paraprofessionals
(Qualified)","Teachers
(Not Highly Qualified) /
Paraprofessionals
(Not Qualified)","Teachers /
Paraprofessionals
Total",Fully Certified ,Not Fully Certified,Fully Certified/Not Fully Certified Total
2006,Alabama                                      ,,1,3,6,Special Education Teachers for Ages 3-5                                          ,265,24,289,          N/V,          N/V,          N/V
2006,Alabama                                      ,,1,3,6,Special Education Teachers for Ages 6-21                                         ,"4,910.00",690,"5,600.00",          N/V,          N/V,          N/V
2006,Alabama                                      ,,1,3,6,Total Special Education Teachers                                                 ,"5,174.00",714,"5,889.00",          N/V,          N/V,          N/V
2006,Alabama                                      ,,1,3,6,Special Education Paraprofessionals for Ages 3-5                                 ,367,33,400,          N/V,          N/V,          N/V
2006,Alabama                                      ,,1,3,6,Special Education Paraprofessionals for Ages 6-21                                ,"3,782.00",598,"4,380.00",          N/V,          N/V,          N/V
2006,Alabama                                      ,,1,3,6,Total Special Education Paraprofessionals                                        ,"4,149.00",631,"4,779.00",          N/V,          N/V,          N/V
2006,Alabama                                      ,,1,3,6,Audiologists                                                                     ,          N/V,          N/V,          N/V,21,0,21
2006,Alabama                                      ,,1,3,6,Speech-Language Pathologists                                                     ,          N/V,          N/V,          N/V,786,27,812
2006,Alabama                                      ,,1,3,6,Interpreters                                                                     ,          N/V,          N/V,          N/V,79,6,85
2006,Alabama                                      ,,1,3,6,Psychologists                                                                    ,          N/V,          N/V,          N/V,88,1,89
2006,Alabama                                      ,,1,3,6,Occupational Therapists                                                          ,          N/V,          N/V,          N/V,162,3,165
2006,Alabama                                      ,,1,3,6,Physical Therapists                                                              ,          N/V,          N/V,          N/V,112,1,113
2006,Alabama                                      ,,1,3,6,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          N/V,          N/V,          N/V,153,11,164
2006,Alabama                                      ,,1,3,6,Social Workers                                                                   ,          N/V,          N/V,          N/V,55,9,64
2006,Alabama                                      ,,1,3,6,Medical/Nursing Service Staff                                                    ,          N/V,          N/V,          N/V,508,14,522
2006,Alabama                                      ,,1,3,6,Counselors and Rehabilitation Counselors                                         ,          N/V,          N/V,          N/V,267,5,272
2006,Alabama                                      ,,1,3,6,Orientation and Mobility Specialists                                             ,          N/V,          N/V,          N/V,15,0,15
2006,Alaska                                       ,,2,4,9,Special Education Teachers for Ages 3-5                                          ,78,2,80,          N/V,          N/V,          N/V
2006,Alaska                                       ,,2,4,9,Special Education Teachers for Ages 6-21                                         ,845,145,990,          N/V,          N/V,          N/V
2006,Alaska                                       ,,2,4,9,Total Special Education Teachers                                                 ,923,147,"1,070.00",          N/V,          N/V,          N/V
