County,2000 Live Births,2000 Infant Deaths,Rate,2007 Live Births,2007 Infant Deaths,Rate,2000-2007 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,68,0,0,92,C,NA,NA,19_001,19,2,4,,
Adams,35,0,0,40,0,0,0.00%,19_002,19,2,4,,
Allamakee,158,0,0,205,C,NA,NA,19_003,19,2,4,,
Appanoose,142,0,0,168,C,NA,NA,19_004,19,2,4,,
Audubon,47,1,21.3,54,0,0,-100.00%,19_005,19,2,4,,
Benton,325,2,6.2,289,C,NA,NA,19_006,19,2,4,,
Black Hawk,"1,551",11,7.1,"1,730",7,4,-42.90%,19_007,19,2,4,,
Boone,317,4,12.6,320,0,0,-100.00%,19_008,19,2,4,,
Bremer,250,2,8,285,0,0,-100.00%,19_009,19,2,4,,
Buchanan,301,0,0,314,C,NA,NA,19_010,19,2,4,,
Buena Vista,233,0,0,289,0,0,0.00%,19_011,19,2,4,,
Butler,170,1,5.9,202,C,NA,NA,19_012,19,2,4,,
Calhoun,107,0,0,108,0,0,0.00%,19_013,19,2,4,,
Carroll,262,0,0,275,C,NA,NA,19_014,19,2,4,,
Cass,158,1,6.3,171,0,0,-100.00%,19_015,19,2,4,,
Cedar,206,0,0,220,C,NA,NA,19_016,19,2,4,,
Cerro Gordo,530,4,7.5,549,5,9.1,20.70%,19_017,19,2,4,,
Cherokee,146,0,0,137,0,0,0.00%,19_018,19,2,4,,
Chickasaw,169,0,0,153,0,0,0.00%,19_019,19,2,4,,
Clarke,97,1,10.3,141,C,NA,NA,19_020,19,2,4,,
Clay,204,1,4.9,214,C,NA,NA,19_021,19,2,4,,
Clayton,194,1,5.2,198,C,NA,NA,19_022,19,2,4,,
Clinton,591,4,6.8,633,9,14.2,110.10%,19_023,19,2,4,,
Crawford,189,1,5.3,268,4,14.9,182.10%,19_024,19,2,4,,
Dallas,566,4,7.1,962,C,NA,NA,19_025,19,2,4,,
Davis,129,1,7.8,136,0,0,-100.00%,19_026,19,2,4,,
Decatur,101,1,9.9,114,C,NA,NA,19_027,19,2,4,,
Delaware,227,1,4.4,231,0,0,-100.00%,19_028,19,2,4,,
Des Moines,555,4,7.2,558,0,0,-100.00%,19_029,19,2,4,,
Dickinson,159,0,0,179,C,NA,NA,19_030,19,2,4,,
Dubuque,"1,221",9,7.4,"1,243",6,4.8,-34.50%,19_031,19,2,4,,
Emmet,126,2,15.9,127,C,NA,NA,19_032,19,2,4,,
Fayette,233,0,0,232,0,0,0.00%,19_033,19,2,4,,
Floyd,199,0,0,213,C,NA,NA,19_034,19,2,4,,
Franklin,113,1,8.8,173,C,NA,NA,19_035,19,2,4,,
Fremont,82,1,12.2,108,0,0,-100.00%,19_036,19,2,4,,
Greene,92,1,10.9,95,0,0,-100.00%,19_037,19,2,4,,
Grundy,133,2,15,139,C,NA,NA,19_038,19,2,4,,
Guthrie,134,0,0,122,0,0,0.00%,19_039,19,2,4,,
Hamilton,192,2,10.4,193,0,0,-100.00%,19_040,19,2,4,,
Hancock,131,1,7.6,133,0,0,-100.00%,19_041,19,2,4,,
Hardin,208,3,14.4,200,0,0,-100.00%,19_042,19,2,4,,
Harrison,193,0,0,211,0,0,0.00%,19_043,19,2,4,,
Henry,264,2,7.6,251,C,NA,NA,19_044,19,2,4,,
Howard,110,1,9.1,140,C,NA,NA,19_045,19,2,4,,
Humboldt,99,0,0,106,0,0,0.00%,19_046,19,2,4,,
Ida,70,1,14.3,97,C,NA,NA,19_047,19,2,4,,
Iowa,183,1,5.5,169,0,0,-100.00%,19_048,19,2,4,,
Jackson,239,3,12.6,219,C,NA,NA,19_049,19,2,4,,
Jasper,458,2,4.4,423,C,NA,NA,19_050,19,2,4,,
Jefferson,145,0,0,155,0,0,0.00%,19_051,19,2,4,,
Johnson,"1,382",7,5.1,"1,650",10,6.1,19.70%,19_052,19,2,4,,
Jones,227,0,0,242,0,0,0.00%,19_053,19,2,4,,
Keokuk,154,0,0,124,0,0,0.00%,19_054,19,2,4,,
Kossuth,166,1,6,187,C,NA,NA,19_055,19,2,4,,
Lee,410,4,9.8,419,C,NA,NA,19_056,19,2,4,,
Linn,"2,715",12,4.4,"2,844",14,4.9,11.40%,19_057,19,2,4,,
Louisa,164,1,6.1,157,0,0,-100.00%,19_058,19,2,4,,
Lucas,119,3,25.2,131,C,NA,NA,19_059,19,2,4,,
Lyon,159,1,6.3,167,0,0,-100.00%,19_119,19,2,4,,
Madison,196,2,10.2,192,0,0,-100.00%,19_121,19,2,4,,
Mahaska,283,9,31.8,295,C,NA,NA,19_123,19,2,4,,
Marion,383,1,2.6,451,C,NA,NA,19_125,19,2,4,,
Marshall,556,3,5.4,606,C,NA,NA,19_127,19,2,4,,
Mills,155,0,0,188,C,NA,NA,19_129,19,2,4,,
Mitchell,131,1,7.6,108,C,NA,NA,19_131,19,2,4,,
Monona,98,0,0,99,0,0,0.00%,19_133,19,2,4,,
Monroe,102,1,9.8,93,0,0,-100.00%,19_135,19,2,4,,
Montgomery,139,1,7.2,138,C,NA,NA,19_137,19,2,4,,
Muscatine,638,1,1.6,628,0,0,-100.00%,19_139,19,2,4,,
O'Brien,187,1,5.3,176,C,NA,NA,19_141,19,2,4,,
Osceola,73,0,0,66,C,NA,NA,19_143,19,2,4,,
Page,169,0,0,177,0,0,0.00%,19_145,19,2,4,,
Palo Alto,110,1,9.1,118,C,NA,NA,19_147,19,2,4,,
Plymouth,309,7,22.7,336,C,NA,NA,19_149,19,2,4,,
Pocahontas,73,0,0,74,0,0,0.00%,19_151,19,2,4,,
Polk,"6,216",46,7.4,"6,915",42,6.1,-17.90%,19_153,19,2,4,,
Pottawattamie,"1,184",8,6.8,"1,233",13,10.5,56.00%,19_155,19,2,4,,
Poweshiek,212,0,0,213,C,NA,NA,19_157,19,2,4,,
Ringgold,69,0,0,60,C,NA,NA,19_159,19,2,4,,
Sac,135,0,0,113,C,NA,NA,19_161,19,2,4,,
Scott,"2,348",20,8.5,"2,343",16,6.8,-19.80%,19_163,19,2,4,,
Shelby,150,2,13.3,131,0,0,-100.00%,19_165,19,2,4,,
Sioux,457,1,2.2,501,7,14,538.50%,19_167,19,2,4,,
Story,940,6,6.4,"1,042",4,3.8,-39.90%,19_169,19,2,4,,
Tama,251,1,4,211,C,NA,NA,19_171,19,2,4,,
Taylor,87,0,0,64,0,0,0.00%,19_173,19,2,4,,
Union,127,2,15.7,165,0,0,-100.00%,19_175,19,2,4,,
Van Buren,97,0,0,106,C,NA,NA,19_177,19,2,4,,
Wapello,424,2,4.7,513,4,7.8,65.30%,19_179,19,2,4,,
Warren,513,3,5.8,527,C,NA,NA,19_181,19,2,4,,
Washington,290,0,0,258,C,NA,NA,19_183,19,2,4,,
Wayne,79,1,12.7,92,0,0,-100.00%,19_185,19,2,4,,
Webster,492,2,4.1,495,C,NA,NA,19_187,19,2,4,,
Winnebago,134,0,0,99,C,NA,NA,19_189,19,2,4,,
Winneshiek,191,1,5.2,232,C,NA,NA,19_191,19,2,4,,
Woodbury,"1,692",9,5.3,"1,622",9,5.5,4.30%,19_193,19,2,4,,
Worth,84,2,23.8,73,0,0,-100.00%,19_195,19,2,4,,
Wright,168,1,6,177,C,NA,NA,19_197,19,2,4,,
State,"38,250",241,6.3,"40,835",224,5.5,-12.90%,,19,2,4,,
Rural,"5,650",31,5.5,"5,835",33,5.7,3.10%,,,,,,IA_Rural_Counties
Small Urban,"13,351",82,6.1,"14,378",70,4.9,-20.70%,,,,,,IA_Urban_Counties
Metropolitan,"19,249",128,6.6,"20,622",121,5.9,-11.80%,,,,,,IA_Metropolitan_Counties
United States,"4,055,507","27,983",6.9,"4,265,996","28,609",6.7,-2.80%,,,,,US_National,
