County,2003 4th Gr. Math Proficiency,2007 4th Gr. Math Proficiency,2003-2007 4th Gr. Change,2003 8th Gr. Math Proficiency,2007 8th Gr. Math Proficiency,2003-2007 8th Gr. Change,2003 11th Gr. Math proficiency,2007 11th Gr. Math Proficiency,2003-2007 11th Gr. Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,70.20%,72.40%,3.10%,67.90%,76.90%,13.30%,78.10%,77.80%,-0.40%,19_001,19,2,4,,
Adams,80.70%,86.10%,6.70%,76.90%,80.00%,4.00%,81.70%,86.80%,6.20%,19_002,19,2,4,,
Allamakee,74.90%,82.00%,9.50%,72.50%,82.10%,13.20%,75.10%,81.10%,8.00%,19_003,19,2,4,,
Appanoose,74.60%,77.30%,3.60%,64.10%,71.70%,11.90%,72.10%,72.00%,-0.10%,19_004,19,2,4,,
Audubon,80.60%,82.50%,2.40%,86.30%,86.30%,0.00%,80.30%,89.10%,11.00%,19_005,19,2,4,,
Benton,80.40%,83.70%,4.10%,78.20%,76.30%,-2.40%,75.40%,76.40%,1.30%,19_006,19,2,4,,
Black Hawk,63.90%,74.00%,15.80%,60.70%,64.70%,6.60%,72.10%,75.80%,5.10%,19_007,19,2,4,,
Boone,84.80%,79.40%,-6.40%,70.70%,81.00%,14.60%,80.60%,77.20%,-4.20%,19_008,19,2,4,,
Bremer,83.10%,84.60%,1.80%,81.80%,88.00%,7.60%,83.10%,88.70%,6.70%,19_009,19,2,4,,
Buchanan,77.20%,80.60%,4.40%,65.50%,73.80%,12.70%,80.30%,85.20%,6.10%,19_010,19,2,4,,
Buena Vista,71.00%,69.90%,-1.50%,67.20%,67.10%,-0.10%,75.00%,75.70%,0.90%,19_011,19,2,4,,
Butler,79.40%,85.30%,7.40%,74.70%,82.60%,10.60%,82.80%,82.90%,0.10%,19_012,19,2,4,,
Calhoun,76.00%,81.70%,7.50%,77.70%,80.40%,3.50%,78.10%,82.70%,5.90%,19_013,19,2,4,,
Carroll,76.60%,83.70%,9.30%,80.90%,79.60%,-1.60%,79.40%,84.20%,6.00%,19_014,19,2,4,,
Cass,74.60%,81.30%,9.00%,72.70%,78.10%,7.40%,80.10%,80.10%,0.00%,19_015,19,2,4,,
Cedar,84.90%,82.50%,-2.80%,79.80%,82.70%,3.60%,83.80%,83.80%,0.00%,19_016,19,2,4,,
Cerro Gordo,74.80%,78.30%,4.70%,71.70%,76.60%,6.80%,79.30%,78.50%,-1.00%,19_017,19,2,4,,
Cherokee,77.00%,86.20%,11.90%,78.00%,81.30%,4.20%,87.50%,82.90%,-5.30%,19_018,19,2,4,,
Chickasaw,82.60%,84.40%,2.20%,82.60%,85.00%,2.90%,81.60%,86.50%,6.00%,19_019,19,2,4,,
Clarke,74.20%,82.00%,10.50%,60.20%,75.50%,25.40%,70.90%,68.40%,-3.50%,19_020,19,2,4,,
Clay,78.40%,79.20%,1.00%,77.10%,77.50%,0.50%,81.80%,84.30%,3.10%,19_021,19,2,4,,
Clayton,75.20%,78.00%,3.70%,69.60%,79.70%,14.50%,83.70%,79.20%,-5.40%,19_022,19,2,4,,
Clinton,73.60%,82.60%,12.20%,69.30%,74.80%,7.90%,79.30%,77.50%,-2.30%,19_023,19,2,4,,
