County,2003 4th Gr. Reading Proficiency ,2007 4th Gr. Reading Proficiency,2003-2007 4th Gr. Change,2003 8th Gr. Reading Proficiency,2007 8th Gr. Reading Proficiency,2003-2007 8th Gr. Change,2003 11th Gr. Reading Proficiency,2007 11th Gr. Reading Proficiency,2003-2007 11th Gr. Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,71.80%,68.60%,-4.50%,70.10%,76.20%,8.70%,75.40%,76.80%,1.90%,19_001,19,2,4,,
Adams,78.30%,79.20%,1.10%,76.90%,76.00%,-1.20%,78.90%,89.60%,13.60%,19_002,19,2,4,,
Allamakee,75.00%,78.00%,4.00%,70.40%,77.20%,9.70%,74.00%,77.30%,4.50%,19_003,19,2,4,,
Appanoose,77.00%,75.00%,-2.60%,64.40%,72.90%,13.20%,71.70%,76.00%,6.00%,19_004,19,2,4,,
Audubon,79.60%,78.30%,-1.60%,76.80%,74.70%,-2.70%,68.90%,84.60%,22.80%,19_005,19,2,4,,
Benton,76.90%,83.30%,8.30%,72.60%,69.60%,-4.10%,70.20%,74.00%,5.40%,19_006,19,2,4,,
Black Hawk,69.70%,73.10%,4.90%,60.80%,64.30%,5.80%,72.50%,75.90%,4.70%,19_007,19,2,4,,
Boone,80.40%,80.00%,-0.50%,66.50%,72.70%,9.30%,75.70%,76.90%,1.60%,19_008,19,2,4,,
Bremer,79.90%,82.70%,3.50%,73.00%,77.60%,6.30%,78.10%,83.80%,7.30%,19_009,19,2,4,,
Buchanan,76.60%,78.50%,2.50%,68.80%,74.50%,8.30%,73.00%,80.40%,10.10%,19_010,19,2,4,,
Buena Vista,67.50%,73.50%,8.90%,60.50%,63.40%,4.80%,70.50%,74.70%,6.00%,19_011,19,2,4,,
Butler,79.00%,81.30%,2.90%,70.30%,75.90%,8.00%,78.30%,78.00%,-0.40%,19_012,19,2,4,,
Calhoun,82.30%,80.90%,-1.70%,76.00%,74.70%,-1.70%,73.50%,79.40%,8.00%,19_013,19,2,4,,
