Types of crimes,2008,2009,2010,2011,2012,2013,2014,State_ID,Region_ID,Division_ID
Total Arrests,RS,RS,RS,RS,RS,RS,RS,1,3,6
Violent Crime Index,RS,RS,RS,RS,RS,N/A,N/A,1,3,6
Murder/nonneg. mans.,RS,RS,RS,RS,RS,RS,RS,1,3,6
Rape,RS,RS,RS,RS,RS,N/A,N/A,1,3,6
Robbery,RS,RS,RS,RS,RS,RS,RS,1,3,6
Aggravated assault,RS,RS,RS,RS,RS,RS,RS,1,3,6
Property Crime Index,RS,RS,RS,RS,RS,RS,RS,1,3,6
Burglary,RS,RS,RS,RS,RS,RS,RS,1,3,6
Larceny-theft,RS,RS,RS,RS,RS,RS,RS,1,3,6
Motor vehicle theft,RS,RS,RS,RS,RS,RS,RS,1,3,6
Arson,RS,RS,RS,RS,RS,RS,RS,1,3,6
Other assaults,RS,RS,RS,RS,RS,RS,RS,1,3,6
Forgery and counterfeiting,RS,RS,RS,RS,RS,RS,RS,1,3,6
Fraud,RS,RS,RS,RS,RS,RS,RS,1,3,6
Embezzlement,RS,RS,RS,RS,RS,RS,RS,1,3,6
Stolen property,RS,RS,RS,RS,RS,RS,RS,1,3,6
Vandalism,RS,RS,RS,RS,RS,RS,RS,1,3,6
Weapons,RS,RS,RS,RS,RS,RS,RS,1,3,6
Prostitution/<br>commercialized vice,RS,RS,RS,RS,RS,RS,RS,1,3,6
Sex offenses (other),RS,RS,RS,RS,RS,N/A,N/A,1,3,6
Drug abuse violations,RS,RS,RS,RS,RS,RS,RS,1,3,6
Gambling,RS,RS,RS,RS,RS,RS,RS,1,3,6
Offenses against family,RS,RS,RS,RS,RS,RS,RS,1,3,6
Driving under influence,RS,RS,RS,RS,RS,RS,RS,1,3,6
Liquor laws,RS,RS,RS,RS,RS,RS,RS,1,3,6
Drunkenness,RS,RS,RS,RS,RS,RS,RS,1,3,6
Disorderly conduct,RS,RS,RS,RS,RS,RS,RS,1,3,6
Vagrancy,RS,RS,RS,RS,RS,RS,RS,1,3,6
All other offenses,RS,RS,RS,RS,RS,RS,RS,1,3,6
Curfew and loitering,RS,RS,RS,RS,RS,RS,RS,1,3,6
Runaways,RS,RS,RS,RS,RS,RS,RS,1,3,6
Population Ages 10 to 17,"517,200","515,500","517,800",0,"512,800","514,000","515,700",1,3,6
