Types of crimes,2008,2009,2010,2011,2012,2013,2014,State_ID,Region_ID,Division_ID
Total Arrests,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Violent Crime Index,RS,RS,RS,N/V,RS,N/A,N/A,17,2,3
Murder/nonneg. mans.,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Rape,RS,RS,RS,N/V,RS,N/A,N/A,17,2,3
Robbery,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Aggravated assault,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Property Crime Index,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Burglary,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Larceny-theft,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Motor vehicle theft,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Arson,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Other assaults,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Forgery and counterfeiting,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Fraud,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Embezzlement,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Stolen property,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Vandalism,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Weapons,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Prostitution/<br>commercialized vice,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Sex offenses (other),RS,RS,RS,N/V,RS,N/A,N/A,17,2,3
Drug abuse violations,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Gambling,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Offenses against family,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Driving under influence,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Liquor laws,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Drunkenness,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Disorderly conduct,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Vagrancy,RS,RS,RS,N/V,RS,RS,RS,17,2,3
All other offenses,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Curfew and loitering,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Runaways,RS,RS,RS,N/V,RS,RS,RS,17,2,3
Population Ages 10 to 17,"1,471,800","1,453,600","1,430,200",0,"1,398,900","1,399,600","1,399,500",17,2,3
