Types of crimes,2008,2009,2010,2011,2012,2013,2014,State_ID,Region_ID,Division_ID
Total Arrests,RS,RS,RS,RS,RS,RS,"19,723",22,3,7
Violent Crime Index,RS,RS,RS,RS,RS,N/A,N/A,22,3,7
Murder/nonneg. mans.,RS,RS,RS,RS,RS,RS,16,22,3,7
Rape,RS,RS,RS,RS,RS,N/A,N/A,22,3,7
Robbery,RS,RS,RS,RS,RS,RS,302,22,3,7
Aggravated assault,RS,RS,RS,RS,RS,RS,857,22,3,7
Property Crime Index,RS,RS,RS,RS,RS,RS,"5,060",22,3,7
Burglary,RS,RS,RS,RS,RS,RS,"1,321",22,3,7
Larceny-theft,RS,RS,RS,RS,RS,RS,"3,408",22,3,7
Motor vehicle theft,RS,RS,RS,RS,RS,RS,295,22,3,7
Arson,RS,RS,RS,RS,RS,RS,36,22,3,7
Other assaults,RS,RS,RS,RS,RS,RS,"3,667",22,3,7
Forgery and counterfeiting,RS,RS,RS,RS,RS,RS,13,22,3,7
Fraud,RS,RS,RS,RS,RS,RS,13,22,3,7
Embezzlement,RS,RS,RS,RS,RS,RS,2,22,3,7
Stolen property,RS,RS,RS,RS,RS,RS,253,22,3,7
Vandalism,RS,RS,RS,RS,RS,RS,574,22,3,7
Weapons,RS,RS,RS,RS,RS,RS,329,22,3,7
Prostitution/<br>commercialized vice,RS,RS,RS,RS,RS,RS,9,22,3,7
Sex offenses (other),RS,RS,RS,RS,RS,N/A,N/A,22,3,7
Drug abuse violations,RS,RS,RS,RS,RS,RS,"1,512",22,3,7
Gambling,RS,RS,RS,RS,RS,RS,3,22,3,7
Offenses against family,RS,RS,RS,RS,RS,RS,61,22,3,7
Driving under influence,RS,RS,RS,RS,RS,RS,37,22,3,7
Liquor laws,RS,RS,RS,RS,RS,RS,168,22,3,7
Drunkenness,RS,RS,RS,RS,RS,RS,19,22,3,7
Vagrancy,RS,RS,RS,RS,RS,RS,29,22,3,7
All other offenses,RS,RS,RS,RS,RS,RS,"3,266",22,3,7
Curfew and loitering,RS,RS,RS,RS,RS,RS,261,22,3,7
Runaways,RS,RS,RS,RS,RS,RS,740,22,3,7
Population Ages 10 to 17,"497,300","497,600","495,400","495,300","492,400","494,900","497,500",22,3,7
