Types of crimes,2008,2009,2010,2011,2012,2013,2014,State_ID,Region_ID,Division_ID
Total Arrests,"20,793","17,276","15,549","13,628","12,199","9,650","9,186",25,1,1
Violent Crime Index,"2,183","1,871","1,633","1,425","1,117",N/A,N/A,25,1,1
Murder/nonneg. mans.,8,3,7,6,2,3,1,25,1,1
Rape,37,31,36,32,14,N/A,N/A,25,1,1
Robbery,560,498,328,328,240,249,275,25,1,1
Aggravated assault,"1,578","1,339","1,262","1,059",861,781,768,25,1,1
Property Crime Index,"4,019","3,648","2,918","2,563","1,977","1,837","1,607",25,1,1
Burglary,928,748,645,581,471,430,372,25,1,1
Larceny-theft,"2,880","2,741","2,063","1,838","1,373","1,299","1,091",25,1,1
Motor vehicle theft,149,118,137,109,79,68,107,25,1,1
Arson,62,41,73,35,54,40,37,25,1,1
Other assaults,"2,886","2,672","2,504","2,490","2,228","1,932","1,886",25,1,1
Forgery and counterfeiting,24,14,15,16,6,16,11,25,1,1
Fraud,62,59,32,28,29,24,24,25,1,1
Embezzlement,6,0,5,4,2,1,5,25,1,1
Stolen property,264,273,237,206,190,166,141,25,1,1
Vandalism,"1,065",887,801,671,653,471,526,25,1,1
Weapons,289,245,222,210,175,164,166,25,1,1
Prostitution/<br>commercialized vice,7,5,4,3,5,1,2,25,1,1
Sex offenses (other),111,90,96,62,79,N/A,N/A,25,1,1
Drug abuse violations,"2,381",722,684,534,551,398,324,25,1,1
Gambling,0,0,2,2,0,0,1,25,1,1
Offenses against family,123,162,169,158,132,63,26,25,1,1
Driving under influence,116,92,85,74,90,59,57,25,1,1
Liquor laws,947,"1,006","1,059",844,"1,023",665,577,25,1,1
Drunkenness,378,292,284,196,272,220,177,25,1,1
Disorderly conduct,"1,478","1,380","1,129","1,016",833,727,621,25,1,1
Vagrancy,0,0,0,0,0,1,0,25,1,1
All other offenses,"4,129","3,586","3,395","2,892","2,692","1,796","1,899",25,1,1
Curfew and loitering,13,10,4,8,2,0,0,25,1,1
Runaways,312,262,271,226,143,5,18,25,1,1
Population Ages 10 to 17,"679,500","677,300","664,500","657,600","653,100","657,700","662,800",25,1,1
