Types of crimes,2008,2009,2010,2011,2012,2013,2014,State_ID,Region_ID,Division_ID
Total Arrests,"21,801","20,926","18,743","16,740","15,599","14,521","13,901",40,3,7
Violent Crime Index,798,675,598,563,519,N/A,N/A,40,3,7
Murder/nonneg. mans.,19,21,21,17,11,11,12,40,3,7
Rape,40,35,23,27,39,N/A,N/A,40,3,7
Robbery,201,177,135,145,108,136,141,40,3,7
Aggravated assault,538,442,419,374,361,295,306,40,3,7
Property Crime Index,"5,243","5,718","4,697","4,283","3,819","3,497","3,406",40,3,7
Burglary,"1,031",894,766,755,618,512,520,40,3,7
Larceny-theft,"3,925","4,545","3,715","3,333","3,014","2,793","2,731",40,3,7
Motor vehicle theft,163,160,98,129,96,94,109,40,3,7
Arson,124,119,118,66,91,98,46,40,3,7
Other assaults,"1,416","1,296","1,191","1,149",985,986,955,40,3,7
Forgery and counterfeiting,24,12,24,9,6,4,1,40,3,7
Fraud,55,37,42,50,42,45,37,40,3,7
Embezzlement,88,39,20,26,23,31,33,40,3,7
Stolen property,433,388,323,271,276,262,292,40,3,7
Vandalism,579,474,468,330,313,294,220,40,3,7
Weapons,323,279,279,213,198,191,224,40,3,7
Prostitution/<br>commercialized vice,1,8,4,2,8,5,1,40,3,7
Sex offenses (other),69,70,76,38,43,N/A,N/A,40,3,7
Drug abuse violations,"1,889","1,852","1,748","1,402","1,420","1,324","1,404",40,3,7
Gambling,0,0,6,0,0,0,3,40,3,7
Offenses against family,118,75,76,60,47,74,62,40,3,7
Driving under influence,235,233,164,181,143,113,118,40,3,7
Liquor laws,455,348,363,335,276,217,180,40,3,7
Drunkenness,955,752,670,655,563,438,339,40,3,7
Disorderly conduct,"1,006","1,326","1,104",920,890,677,550,40,3,7
Vagrancy,0,0,0,0,0,0,0,40,3,7
All other offenses,"3,152","2,778","2,718","2,535","2,277","2,293","2,028",40,3,7
Curfew and loitering,"2,230","1,899","1,981","1,874","1,406","1,249","1,005",40,3,7
Runaways,"2,732","2,667","2,191","1,844","2,345","2,326","2,500",40,3,7
Population Ages 10 to 17,"399,800","401,800","405,300","409,000","410,400","414,300","417,200",40,3,7
