Types of crimes,2008,2009,2010,2011,2012,2013,2014,State_ID,Region_ID,Division_ID
Total Arrests,"101,394","88,254","75,218","72,455","68,681","57,924","56,054",55,2,3
Violent Crime Index,"1,667","1,419","1,420","1,510","1,388",N/A,N/A,55,2,3
Murder/nonneg. mans.,31,10,14,16,15,7,17,55,2,3
Rape,158,145,162,140,104,N/A,N/A,55,2,3
Robbery,653,520,572,707,533,533,597,55,2,3
Aggravated assault,825,744,672,647,736,646,675,55,2,3
Property Crime Index,"15,401","14,056","11,643","10,961","10,749","8,709","10,527",55,2,3
Burglary,"1,647","1,594","1,341","1,322","1,168",980,968,55,2,3
Larceny-theft,"12,846","11,880","9,843","9,141","9,130","7,316","9,038",55,2,3
Motor vehicle theft,778,493,377,438,381,329,461,55,2,3
Arson,130,89,82,60,70,84,60,55,2,3
Other assaults,"3,900","3,418","3,033","3,182","3,182","2,949","2,898",55,2,3
Forgery and counterfeiting,94,56,27,47,32,25,39,55,2,3
Fraud,212,197,146,154,130,176,141,55,2,3
Embezzlement,24,10,5,2,14,14,29,55,2,3
Stolen property,719,595,556,529,608,432,617,55,2,3
Vandalism,"4,210","3,495","2,758","3,014","2,888","1,871","2,328",55,2,3
Weapons,"1,408","1,132",918,978,822,731,896,55,2,3
Prostitution/<br>commercialized vice,27,9,16,13,20,23,40,55,2,3
Sex offenses (other),993,"1,029","1,025","1,061","1,125",N/A,N/A,55,2,3
Drug abuse violations,"4,661","4,208","4,137","3,892","3,851","3,547","3,340",55,2,3
Gambling,49,53,72,77,53,20,23,55,2,3
Offenses against family,226,355,257,278,213,128,148,55,2,3
Driving under influence,598,643,435,363,321,291,364,55,2,3
Liquor laws,"9,889","8,083","6,502","5,717","5,103","4,193","3,678",55,2,3
Drunkenness,0,0,1,0,0,0,0,55,2,3
Disorderly conduct,"18,963","16,791","15,008","13,645","11,983","10,478","9,741",55,2,3
Vagrancy,84,15,42,30,19,58,40,55,2,3
All other offenses,"26,947","23,690","19,743","19,405","19,188","16,519","13,938",55,2,3
Curfew and loitering,"7,110","5,643","4,617","4,555","4,591","3,571","2,945",55,2,3
Runaways,"4,212","3,357","2,857","3,042","2,401","1,937","1,993",55,2,3
Population Ages 10 to 17,"621,600","614,400","611,000","605,900","600,000","601,700","603,300",55,2,3
