County,2000 Assessment Conducted,2000 Fully Immunized,2000 Percentage,2008 Assessment Conducted,2008 Fully Immunized,2008 Percentage,2000-2008 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,41,34,82.90%,36,34,94.40%,13.90%,19_001,19,2,4,,
Adams,15,14,93.30%,13,9,69.20%,-25.80%,19_002,19,2,4,,
Allamakee,106,78,73.60%,39,32,82.10%,11.50%,19_003,19,2,4,,
Appanoose,34,24,70.60%,18,12,66.70%,-5.60%,19_004,19,2,4,,
Audubon,36,35,97.20%,12,3,25.00%,-74.30%,19_005,19,2,4,,
Benton,17,15,88.20%,0,0,0.00%,N/A,19_006,19,2,4,,
Black Hawk,322,269,83.50%,301,260,86.40%,3.40%,19_007,19,2,4,,
Boone,44,43,97.70%,14,10,71.40%,-26.90%,19_008,19,2,4,,
Bremer,55,48,87.30%,9,8,88.90%,1.90%,19_009,19,2,4,,
Buchanan,83,61,73.50%,7,0,0.00%,-100.00%,19_010,19,2,4,,
Buena Vista,68,58,85.30%,20,16,80.00%,-6.20%,19_011,19,2,4,,
Butler,28,25,89.30%,2,1,50.00%,-44.00%,19_012,19,2,4,,
Calhoun,64,62,96.90%,29,25,86.20%,-11.00%,19_013,19,2,4,,
Carroll,137,125,91.20%,56,49,87.50%,-4.10%,19_014,19,2,4,,
Cass,170,142,83.50%,129,109,84.50%,1.20%,19_015,19,2,4,,
Cedar,30,23,76.70%,18,12,66.70%,-13.00%,19_016,19,2,4,,
Cerro Gordo,82,77,93.90%,28,25,89.30%,-4.90%,19_017,19,2,4,,
Cherokee,107,96,89.70%,55,48,87.30%,-2.70%,19_018,19,2,4,,
Chickasaw,99,91,91.90%,46,35,76.10%,-17.20%,19_019,19,2,4,,
Clarke,33,30,90.90%,25,24,96.00%,5.60%,19_020,19,2,4,,
Clay,199,183,92.00%,280,242,86.40%,-6.00%,19_021,19,2,4,,
Clayton,90,78,86.70%,23,19,82.60%,-4.70%,19_022,19,2,4,,
Clinton,188,164,87.20%,68,53,77.90%,-10.70%,19_023,19,2,4,,
Crawford,107,94,87.90%,107,49,45.80%,-47.90%,19_024,19,2,4,,
Dallas,46,33,71.70%,5,3,60.00%,-16.40%,19_025,19,2,4,,
Davis,52,26,50.00%,44,33,75.00%,50.00%,19_026,19,2,4,,
Decatur,64,59,92.20%,27,21,77.80%,-15.60%,19_027,19,2,4,,
Delaware,84,77,91.70%,45,43,95.60%,4.20%,19_028,19,2,4,,
Des Moines,276,219,79.30%,121,78,64.50%,-18.80%,19_029,19,2,4,,
Dickinson,165,155,93.90%,161,154,95.70%,1.80%,19_030,19,2,4,,
Dubuque,293,242,82.60%,188,154,81.90%,-0.80%,19_031,19,2,4,,
Emmet,73,67,91.80%,33,20,60.60%,-34.00%,19_032,19,2,4,,
Fayette,97,85,87.60%,19,18,94.70%,8.10%,19_033,19,2,4,,
Floyd,107,92,86.00%,50,9,18.00%,-79.10%,19_034,19,2,4,,
Franklin,24,24,100.00%,7,3,42.90%,-57.10%,19_035,19,2,4,,
Fremont,18,16,88.90%,5,5,100.00%,12.50%,19_036,19,2,4,,
Greene,65,59,90.80%,70,25,35.70%,-60.70%,19_037,19,2,4,,
Grundy,24,21,87.50%,1,1,100.00%,14.30%,19_038,19,2,4,,
Guthrie,30,26,86.70%,3,2,66.70%,-23.10%,19_039,19,2,4,,
Hamilton,109,103,94.50%,35,28,80.00%,-15.30%,19_040,19,2,4,,
Hancock,21,19,90.50%,5,3,60.00%,-33.70%,19_041,19,2,4,,
Hardin,58,53,91.40%,4,4,100.00%,9.40%,19_042,19,2,4,,
Harrison,27,22,81.50%,5,5,100.00%,22.70%,19_043,19,2,4,,
Henry,162,135,83.30%,137,89,65.00%,-22.00%,19_044,19,2,4,,
Howard,100,94,94.00%,5,5,100.00%,6.40%,19_045,19,2,4,,
Humboldt,71,65,91.50%,9,8,88.90%,-2.90%,19_046,19,2,4,,
Ida,46,43,93.50%,30,29,96.70%,3.40%,19_047,19,2,4,,
Iowa,57,45,78.90%,7,6,85.70%,8.60%,19_048,19,2,4,,
Jackson,94,65,69.10%,10,6,60.00%,-13.20%,19_049,19,2,4,,
Jasper,116,75,64.70%,106,59,55.70%,-13.90%,19_050,19,2,4,,
Jefferson,65,57,87.70%,1,1,100.00%,14.00%,19_051,19,2,4,,
Johnson,169,106,62.70%,9,8,88.90%,41.70%,19_052,19,2,4,,
Jones,34,32,94.10%,1,0,0.00%,-100.00%,19_053,19,2,4,,
Keokuk,3,2,66.70%,3,1,33.30%,-50.00%,19_054,19,2,4,,
Kossuth,101,96,95.00%,59,47,79.70%,-16.20%,19_055,19,2,4,,
Lee,91,81,89.00%,150,140,93.30%,4.90%,19_056,19,2,4,,
Linn,346,326,94.20%,102,67,65.70%,-30.30%,19_057,19,2,4,,
Louisa,113,77,68.10%,6,3,50.00%,-26.60%,19_058,19,2,4,,
Lucas,11,8,72.70%,12,8,66.70%,-8.30%,19_059,19,2,4,,
Lyon,59,55,93.20%,50,37,74.00%,-20.60%,19_119,19,2,4,,
Madison,7,7,100.00%,0,0,0.00%,N/A,19_121,19,2,4,,
Mahaska,92,44,47.80%,3,1,33.30%,-30.30%,19_123,19,2,4,,
Marion,86,78,90.70%,50,24,48.00%,-47.10%,19_125,19,2,4,,
Marshall,116,91,78.40%,67,55,82.10%,4.60%,19_127,19,2,4,,
Mills,28,27,96.40%,10,7,70.00%,-27.40%,19_129,19,2,4,,
Mitchell,52,50,96.20%,34,29,85.30%,-11.30%,19_131,19,2,4,,
Monona,92,85,92.40%,49,37,75.50%,-18.30%,19_133,19,2,4,,
Monroe,17,15,88.20%,1,1,100.00%,13.30%,19_135,19,2,4,,
Montgomery,46,40,87.00%,1,1,100.00%,15.00%,19_137,19,2,4,,
Muscatine,179,121,67.60%,27,24,88.90%,31.50%,19_139,19,2,4,,
O'Brien,55,46,83.60%,11,9,81.80%,-2.20%,19_141,19,2,4,,
Osceola,94,89,94.70%,43,43,100.00%,5.60%,19_143,19,2,4,,
Page,114,96,84.20%,43,17,39.50%,-53.10%,19_145,19,2,4,,
Palo Alto,158,149,94.30%,85,64,75.30%,-20.20%,19_147,19,2,4,,
Plymouth,252,233,92.50%,147,131,89.10%,-3.60%,19_149,19,2,4,,
Pocahontas,41,37,90.20%,16,10,62.50%,-30.70%,19_151,19,2,4,,
Polk,192,162,84.40%,384,254,66.10%,-21.60%,19_153,19,2,4,,
Pottawattamie,119,99,83.20%,63,40,63.50%,-23.70%,19_155,19,2,4,,
Poweshiek,139,129,92.80%,43,42,97.70%,5.20%,19_157,19,2,4,,
Ringgold,55,52,94.50%,17,15,88.20%,-6.70%,19_159,19,2,4,,
