County,2000 Labor Force,2000 Unemployment,2000 Percentage,2008 Labor Force,2008 Unemployment,2008 Percentage,2000-2008 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,"4,530",110,2.40%,"4,430",180,4.10%,67.30%,19_001,19,2,4,,
Adams,"2,130",90,4.20%,"2,130",90,4.20%,0.00%,19_002,19,2,4,,
Allamakee,"7,420",290,3.90%,"7,940",500,6.30%,61.10%,19_003,19,2,4,,
Appanoose,"6,550",280,4.30%,"5,990",330,5.50%,28.90%,19_004,19,2,4,,
Audubon,"3,350",100,3.00%,"3,230",140,4.30%,45.20%,19_005,19,2,4,,
Benton,"11,790",290,2.50%,"14,500",600,4.10%,68.20%,19_006,19,2,4,,
Black Hawk,"68,200","2,000",2.90%,"73,400","3,000",4.10%,39.40%,19_007,19,2,4,,
Boone,"13,720",310,2.30%,"15,670",560,3.60%,58.20%,19_008,19,2,4,,
Bremer,"12,600",300,2.40%,"14,000",500,3.60%,50.00%,19_009,19,2,4,,
Buchanan,"10,890",340,3.10%,"11,150",450,4.00%,29.30%,19_010,19,2,4,,
Buena Vista,"10,820",230,2.10%,"10,560",380,3.60%,69.30%,19_011,19,2,4,,
Butler,"7,340",270,3.70%,"8,490",390,4.60%,24.90%,19_012,19,2,4,,
Calhoun,"4,730",140,3.00%,"5,290",180,3.40%,15.00%,19_013,19,2,4,,
Carroll,"12,390",290,2.30%,"12,350",350,2.80%,21.10%,19_014,19,2,4,,
Cass,"7,310",310,4.20%,"7,650",350,4.60%,7.90%,19_015,19,2,4,,
Cedar,"9,440",220,2.30%,"11,290",410,3.60%,55.80%,19_016,19,2,4,,
Cerro Gordo,"25,790",780,3.00%,"25,810","1,220",4.70%,56.30%,19_017,19,2,4,,
Cherokee,"6,850",150,2.20%,"6,450",230,3.60%,62.80%,19_018,19,2,4,,
Chickasaw,"7,160",560,7.80%,"6,840",340,5.00%,-36.40%,19_019,19,2,4,,
Clarke,"5,190",160,3.10%,"4,870",220,4.50%,46.50%,19_020,19,2,4,,
Clay,"10,330",250,2.40%,"9,850",330,3.40%,38.40%,19_021,19,2,4,,
Clayton,"10,190",400,3.90%,"10,000",540,5.40%,37.60%,19_022,19,2,4,,
Clinton,"26,490",920,3.50%,"28,100","1,170",4.20%,19.90%,19_023,19,2,4,,
Crawford,"8,830",200,2.30%,"9,420",310,3.30%,45.30%,19_024,19,2,4,,
Dallas,"21,900",300,1.40%,"32,900","1,100",3.30%,144.10%,19_025,19,2,4,,
