County,2000 Age 1-14 Population,2000 Deaths,2000 Rate,2009 Age 1-14 Population,2009 Deaths,2009 Rate,2000-2009 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,"1,486",0,0,"1,110",0,0,0.00%,19_001,19,2,4,,
Adams,831,1,120,644,C,N/A,N/A,19_002,19,2,4,,
Allamakee,"2,857",0,0,"2,551",C,N/A,N/A,19_003,19,2,4,,
Appanoose,"2,496",0,0,"2,111",0,0,0.00%,19_004,19,2,4,,
Audubon,"1,354",1,74,953,0,0,-100.00%,19_005,19,2,4,,
Benton,"5,423",1,18,"4,741",0,0,-100.00%,19_006,19,2,4,,
Black Hawk,"22,716",5,22,"22,205",5,23,2.30%,19_007,19,2,4,,
Boone,"4,969",2,40,"4,449",0,0,-100.00%,19_008,19,2,4,,
Bremer,"4,240",0,0,"3,779",0,0,0.00%,19_009,19,2,4,,
Buchanan,"4,562",0,0,"4,124",0,0,0.00%,19_010,19,2,4,,
Buena Vista,"3,985",1,25,"3,688",0,0,-100.00%,19_011,19,2,4,,
Butler,"2,820",1,35,"2,400",C,N/A,N/A,19_012,19,2,4,,
Calhoun,"1,920",0,0,"1,404",0,0,0.00%,19_013,19,2,4,,
Carroll,"4,348",0,0,"3,667",0,0,0.00%,19_014,19,2,4,,
Cass,"2,631",1,38,"2,189",0,0,-100.00%,19_015,19,2,4,,
Cedar,"3,491",0,0,"3,041",C,N/A,N/A,19_016,19,2,4,,
Cerro Gordo,"8,458",2,24,"7,084",C,N/A,N/A,19_017,19,2,4,,
Cherokee,"2,398",0,0,"1,717",0,0,0.00%,19_018,19,2,4,,
Chickasaw,"2,591",0,0,"2,102",C,N/A,N/A,19_019,19,2,4,,
Clarke,"1,819",0,0,"1,656",C,N/A,N/A,19_020,19,2,4,,
Clay,"3,267",0,0,"2,742",C,N/A,N/A,19_021,19,2,4,,
Clayton,"3,602",2,56,"2,880",0,0,-100.00%,19_022,19,2,4,,
Clinton,"9,867",1,10,"8,709",4,46,353.20%,19_023,19,2,4,,
