County,2000 Live Births,2000 Low Birthweight,2000 Percentage,2009 Live Births,2009 Low Birthweight,2009 Percentage,2000-2009 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,68,1,1.50%,76,6,7.90%,436.80%,19_001,19,2,4,,
Adams,35,2,5.70%,55,5,9.10%,59.10%,19_002,19,2,4,,
Allamakee,158,7,4.40%,180,10,5.60%,25.40%,19_003,19,2,4,,
Appanoose,142,8,5.60%,146,12,8.20%,45.90%,19_004,19,2,4,,
Audubon,47,3,6.40%,64,4,6.30%,-2.10%,19_005,19,2,4,,
Benton,325,26,8.00%,290,17,5.90%,-26.70%,19_006,19,2,4,,
Black Hawk,"1,551",96,6.20%,"1,746",156,8.90%,44.40%,19_007,19,2,4,,
Boone,317,14,4.40%,306,27,8.80%,99.80%,19_008,19,2,4,,
Bremer,250,13,5.20%,250,15,6.00%,15.40%,19_009,19,2,4,,
Buchanan,301,16,5.30%,306,20,6.50%,23.00%,19_010,19,2,4,,
Buena Vista,233,12,5.20%,286,22,7.70%,49.40%,19_011,19,2,4,,
Butler,170,9,5.30%,167,10,6.00%,13.10%,19_012,19,2,4,,
Calhoun,107,8,7.50%,128,13,10.20%,35.80%,19_013,19,2,4,,
Carroll,262,11,4.20%,274,16,5.80%,39.10%,19_014,19,2,4,,
Cass,158,8,5.10%,162,10,6.20%,21.90%,19_015,19,2,4,,
Cedar,206,10,4.90%,224,11,4.90%,1.20%,19_016,19,2,4,,
Cerro Gordo,530,29,5.50%,477,28,5.90%,7.30%,19_017,19,2,4,,
Cherokee,146,10,6.80%,126,6,4.80%,-30.50%,19_018,19,2,4,,
Chickasaw,169,11,6.50%,137,4,2.90%,-55.10%,19_019,19,2,4,,
Clarke,97,7,7.20%,137,12,8.80%,21.40%,19_020,19,2,4,,
Clay,204,11,5.40%,192,9,4.70%,-13.10%,19_021,19,2,4,,
Clayton,194,10,5.20%,194,17,8.80%,70.00%,19_022,19,2,4,,
