County,2000 Total Population,2000 Food Assistance,2000 Percentage,2010 Total Population,2010 Food Assistance,2010 Percentage,2000-2010 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,"8,243",282,3.40%,"7,682",681,8.90%,159.10%,19_001,19,2,4,,
Adams,"4,482",216,4.80%,"4,029",423,10.50%,117.90%,19_002,19,2,4,,
Allamakee,"14,675",366,2.50%,"14,330","1,481",10.30%,314.40%,19_003,19,2,4,,
Appanoose,"13,721","1,297",9.50%,"12,887","2,211",17.20%,81.50%,19_004,19,2,4,,
Audubon,"6,830",205,3.00%,"6,119",425,6.90%,131.40%,19_005,19,2,4,,
Benton,"25,308",622,2.50%,"26,076","2,200",8.40%,243.30%,19_006,19,2,4,,
Black Hawk,"128,012","8,778",6.90%,"131,090","17,255",13.20%,92.00%,19_007,19,2,4,,
Boone,"26,224",773,2.90%,"26,306","2,527",9.60%,225.90%,19_008,19,2,4,,
Bremer,"23,325",501,2.10%,"24,276","1,164",4.80%,123.20%,19_009,19,2,4,,
Buchanan,"21,093",674,3.20%,"20,958","1,704",8.10%,154.40%,19_010,19,2,4,,
Buena Vista,"20,411",740,3.60%,"20,260","2,303",11.40%,213.50%,19_011,19,2,4,,
Butler,"15,305",406,2.70%,"14,867","1,254",8.40%,218.00%,19_012,19,2,4,,
Calhoun,"11,115",440,4.00%,"9,670",877,9.10%,129.10%,19_013,19,2,4,,
Carroll,"21,421",632,3.00%,"20,816","1,517",7.30%,147.00%,19_014,19,2,4,,
Cass,"14,684",589,4.00%,"13,956","1,755",12.60%,213.50%,19_015,19,2,4,,
Cedar,"18,187",467,2.60%,"18,499","1,315",7.10%,176.80%,19_016,19,2,4,,
Cerro Gordo,"46,447","2,026",4.40%,"44,151","5,799",13.10%,201.10%,19_017,19,2,4,,
Cherokee,"13,035",367,2.80%,"12,072",919,7.60%,170.40%,19_018,19,2,4,,
Chickasaw,"13,095",396,3.00%,"12,439",842,6.80%,123.80%,19_019,19,2,4,,
Clarke,"9,133",528,5.80%,"9,286","1,453",15.60%,170.70%,19_020,19,2,4,,
