County,2000 Child Population,2000 Below Poverty,2000 Percentage,2009 Child Population,2009 Below Poverty,2009 Percentage,2000-2009 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,"1,836",202,11.00%,"1,521",222,14.60%,32.70%,19_001,19,2,4,,
Adams,"1,000",148,14.80%,844,157,18.60%,25.70%,19_002,19,2,4,,
Allamakee,"3,474",469,13.50%,"3,365",737,21.90%,62.20%,19_003,19,2,4,,
Appanoose,"3,071",565,18.40%,"2,783",782,28.10%,52.70%,19_004,19,2,4,,
Audubon,"1,661",211,12.70%,"1,341",177,13.20%,3.90%,19_005,19,2,4,,
Benton,"6,658",506,7.60%,"6,467",692,10.70%,40.80%,19_006,19,2,4,,
Black Hawk,"28,412","3,722",13.10%,"27,514","5,888",21.40%,63.40%,19_007,19,2,4,,
Boone,"6,124",545,8.90%,"5,789",660,11.40%,28.10%,19_008,19,2,4,,
Bremer,"5,298",302,5.70%,"5,225",418,8.00%,40.30%,19_009,19,2,4,,
Buchanan,"5,667",816,14.40%,"5,590",967,17.30%,20.10%,19_010,19,2,4,,
Buena Vista,"4,854",597,12.30%,"5,066","1,003",19.80%,61.00%,19_011,19,2,4,,
Butler,"3,529",360,10.20%,"3,209",430,13.40%,31.40%,19_012,19,2,4,,
Calhoun,"2,356",311,13.20%,"1,963",318,16.20%,22.70%,19_013,19,2,4,,
Carroll,"5,483",488,8.90%,"5,055",556,11.00%,23.60%,19_014,19,2,4,,
Cass,"3,290",454,13.80%,"3,088",599,19.40%,40.60%,19_015,19,2,4,,
Cedar,"4,397",299,6.80%,"4,181",439,10.50%,54.40%,19_016,19,2,4,,
Cerro Gordo,"10,420","1,042",10.00%,"9,164","1,393",15.20%,52.00%,19_017,19,2,4,,
Cherokee,"2,963",323,10.90%,"2,424",337,13.90%,27.50%,19_018,19,2,4,,
Chickasaw,"3,280",351,10.70%,"2,916",382,13.10%,22.40%,19_019,19,2,4,,
Clarke,"2,261",321,14.20%,"2,208",424,19.20%,35.30%,19_020,19,2,4,,
Clay,"4,052",389,9.60%,"3,750",555,14.80%,54.20%,19_021,19,2,4,,
Clayton,"4,408",551,12.50%,"3,924",726,18.50%,48.00%,19_022,19,2,4,,
Clinton,"12,234","1,566",12.80%,"11,403","2,007",17.60%,37.50%,19_023,19,2,4,,
Crawford,"4,201",605,14.40%,"4,251",727,17.10%,18.80%,19_024,19,2,4,,
Dallas,"11,508",702,6.10%,"16,662","1,233",7.40%,21.30%,19_025,19,2,4,,
Davis,"2,255",451,20.00%,"2,297",588,25.60%,28.00%,19_026,19,2,4,,
Decatur,"1,856",336,18.10%,"1,790",494,27.60%,52.40%,19_027,19,2,4,,
Delaware,"5,000",505,10.10%,"4,197",533,12.70%,25.70%,19_028,19,2,4,,
Des Moines,"9,832","1,465",14.90%,"9,242","2,024",21.90%,47.00%,19_029,19,2,4,,
Dickinson,"3,430",295,8.60%,"3,205",359,11.20%,30.20%,19_030,19,2,4,,
Dubuque,"21,886","1,926",8.80%,"21,895","2,912",13.30%,51.10%,19_031,19,2,4,,
Emmet,"2,341",316,13.50%,"2,291",394,17.20%,27.40%,19_032,19,2,4,,
Fayette,"5,150",685,13.30%,"4,438",790,17.80%,33.80%,19_033,19,2,4,,
Floyd,"3,957",546,13.80%,"3,760",673,17.90%,29.70%,19_034,19,2,4,,
Franklin,"2,455",243,9.90%,"2,500",395,15.80%,59.60%,19_035,19,2,4,,
Fremont,"1,872",234,12.50%,"1,667",255,15.30%,22.40%,19_036,19,2,4,,
Greene,"2,492",309,12.40%,"2,084",346,16.60%,33.90%,19_037,19,2,4,,
Grundy,"2,984",191,6.40%,"2,713",217,8.00%,25.00%,19_038,19,2,4,,
Guthrie,"2,533",309,12.20%,"2,452",331,13.50%,10.70%,19_039,19,2,4,,
Hamilton,"3,957",364,9.20%,"3,478",466,13.40%,45.70%,19_040,19,2,4,,
Hancock,"3,049",247,8.10%,"2,547",349,13.70%,69.10%,19_041,19,2,4,,
Hardin,"4,188",490,11.70%,"3,825",635,16.60%,41.90%,19_042,19,2,4,,
Harrison,"3,895",370,9.50%,"3,564",531,14.90%,56.80%,19_043,19,2,4,,
Henry,"4,842",489,10.10%,"4,347",852,19.60%,94.10%,19_044,19,2,4,,
Howard,"2,468",274,11.10%,"2,203",379,17.20%,55.00%,19_045,19,2,4,,
Humboldt,"2,440",283,11.60%,"2,136",329,15.40%,32.80%,19_046,19,2,4,,
Ida,"1,851",211,11.40%,"1,513",227,15.00%,31.60%,19_047,19,2,4,,
Iowa,"4,000",244,6.10%,"3,815",351,9.20%,50.80%,19_048,19,2,4,,
Jackson,"5,030",664,13.20%,"4,452",748,16.80%,27.30%,19_049,19,2,4,,
Jasper,"8,892",658,7.40%,"8,285","1,077",13.00%,75.70%,19_050,19,2,4,,
Jefferson,"3,664",524,14.30%,"2,972",639,21.50%,50.30%,19_051,19,2,4,,
Johnson,"21,967","1,977",9.00%,"25,096","2,886",11.50%,27.80%,19_052,19,2,4,,
Jones,"4,559",465,10.20%,"4,311",569,13.20%,29.40%,19_053,19,2,4,,
Keokuk,"2,816",414,14.70%,"2,458",440,17.90%,21.80%,19_054,19,2,4,,
Kossuth,"4,112",514,12.50%,"3,430",487,14.20%,13.60%,19_055,19,2,4,,
Lee,"8,652","1,220",14.10%,"7,621","1,768",23.20%,64.50%,19_056,19,2,4,,
Linn,"47,513","3,611",7.60%,"49,897","6,287",12.60%,65.80%,19_057,19,2,4,,
Louisa,"3,209",414,12.90%,"2,803",440,15.70%,21.70%,19_058,19,2,4,,
Lucas,"2,273",375,16.50%,"2,151",555,25.80%,56.40%,19_059,19,2,4,,
Lyon,"3,120",312,10.00%,"3,000",324,10.80%,8.00%,19_119,19,2,4,,
Madison,"3,680",276,7.50%,"4,090",454,11.10%,48.00%,19_121,19,2,4,,
Mahaska,"5,430",619,11.40%,"5,140",879,17.10%,50.00%,19_123,19,2,4,,
Marion,"7,928",658,8.30%,"7,803",913,11.70%,41.00%,19_125,19,2,4,,
Marshall,"9,561","1,262",13.20%,"9,994","1,799",18.00%,36.40%,19_127,19,2,4,,
Mills,"3,653",369,10.10%,"3,721",454,12.20%,20.80%,19_129,19,2,4,,
Mitchell,"2,741",403,14.70%,"2,615",353,13.50%,-8.20%,19_131,19,2,4,,
Monona,"2,122",295,13.90%,"1,868",353,18.90%,35.90%,19_133,19,2,4,,
Monroe,"1,936",271,14.00%,"1,765",323,18.30%,30.70%,19_135,19,2,4,,
Montgomery,"2,755",394,14.30%,"2,510",512,20.40%,42.60%,19_137,19,2,4,,
Muscatine,"10,737","1,224",11.40%,"11,110","1,911",17.20%,50.90%,19_139,19,2,4,,
