Disciplinary Action by Race,Students With Disabilities,Percent of Students With Disabilities,Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students With Disabilities Served Under  IDEA,Percent of Students With Disabilities Served Under  IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With Disabilities ,Percent of English Language Learners With Disabilities ,Number of Schools,State_ID,Region_ID,Division_ID
Corporal punishment on males,17,81,DS,9.5,15,71.4,DS,10.5,0,0,DS,10.5,0,0,11,57.9,0,0,0,0,0,0,493,2,4,9
Corporal punishment on females,4,19,0,0,4,19,0,0,0,0,0,0,0,0,DS,10.5,0,0,DS,10.5,0,0,493,2,4,9
Corporal punishment Total,21,100,DS,9.5,19,90.5,DS,10.5,0,0,DS,10.5,0,0,13,68.4,0,0,DS,10.5,0,0,493,2,4,9
One or more in-school suspensions for males,990,82,41,3.4,949,78.6,266,23.1,12,1,76,6.6,78,6.8,384,33.3,26,2.3,107,9.3,130,10.8,493,2,4,9
One or more in-school suspensions for females,217,18,12,1,205,17,44,3.8,DS,0.2,21,1.8,26,2.3,77,6.7,9,0.8,26,2.3,35,2.9,493,2,4,9
One or more in-school suspensions total,"1,207",100,53,4.4,"1,154",95.6,310,26.9,14,1.2,97,8.4,104,9,461,39.9,35,3,133,11.5,165,13.7,493,2,4,9
Only one out-of-school suspension for males,753,80.3,25,2.7,728,77.6,254,28,11,1.2,54,6,60,6.6,287,31.6,13,1.4,49,5.4,134,14.3,493,2,4,9
Only one out-of-school suspension for females,185,19.7,6,0.6,179,19.1,62,6.8,DS,0.2,17,1.9,16,1.8,59,6.5,6,0.7,17,1.9,32,3.4,493,2,4,9
Only one out-of-school suspension total,938,100,31,3.3,907,96.7,316,34.8,13,1.4,71,7.8,76,8.4,346,38.1,19,2.1,66,7.3,166,17.7,493,2,4,9
More than one out-of-school suspension for males,588,85.7,15,2.2,573,83.5,221,33,9,1.3,32,4.8,40,6,200,29.9,15,2.2,56,8.4,137,20,493,2,4,9
More than one out-of-school suspension for females,98,14.3,DS,0.3,96,14,42,6.3,0,0,4,0.6,7,1,30,4.5,5,0.7,8,1.2,34,5,493,2,4,9
More than one out-of-school suspension total,686,100,17,2.5,669,97.5,263,39.3,9,1.3,36,5.4,47,7,230,34.4,20,3,64,9.6,171,24.9,493,2,4,9
One or more out-of-school suspensions for males,"1,341",82.5,40,2.5,"1,301",80,476,30.2,20,1.3,85,5.4,103,6.5,487,30.9,28,1.8,102,6.5,273,16.8,493,2,4,9
One or more out-of-school suspensions for females,285,17.5,8,0.5,277,17,103,6.5,DS,0.1,21,1.3,24,1.5,91,5.8,11,0.7,25,1.6,65,4,493,2,4,9
One or more out-of-school suspensions total,"1,626",100,48,3,"1,578",97,579,36.7,22,1.4,106,6.7,127,8,578,36.6,39,2.5,127,8,338,20.8,493,2,4,9
Expulsions with educational services for males,18,75,DS,8.3,16,66.7,DS,10,0,0,DS,10,0,0,8,40,DS,10,DS,10,DS,8.3,493,2,4,9
Expulsions with educational services for females,6,25,DS,8.3,4,16.7,DS,10,0,0,0,0,0,0,DS,10,0,0,0,0,DS,8.3,493,2,4,9
Expulsions with educational services total,24,100,4,16.7,20,83.3,4,20,0,0,DS,10,0,0,10,50,DS,10,DS,10,4,16.7,493,2,4,9
Expulsions without educational services for males,8,100,0,0,8,100,4,50,0,0,0,0,DS,25,DS,25,0,0,0,0,DS,25,493,2,4,9
Expulsions without educational services for females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,2,4,9
Expulsions without educational services total,8,100,0,0,8,100,4,50,0,0,0,0,DS,25,DS,25,0,0,0,0,DS,25,493,2,4,9
Expulsions with or without educational services for males,25,80.6,DS,6.5,23,74.2,6,22.2,0,0,DS,7.4,DS,7.4,9,33.3,DS,7.4,DS,7.4,DS,6.5,493,2,4,9
Expulsions with or without educational services for females,6,19.4,DS,6.5,4,12.9,DS,7.4,0,0,0,0,0,0,DS,7.4,0,0,0,0,DS,6.5,493,2,4,9
Expulsions with or without educational services total,31,100,4,12.9,27,87.1,8,29.6,0,0,DS,7.4,DS,7.4,11,40.7,DS,7.4,DS,7.4,4,12.9,493,2,4,9
Expulsions under zero-tolerance policies for males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,2,4,9
Expulsions under zero-tolerance policies for females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,2,4,9
Expulsions under zero-tolerance policies total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,2,4,9
Referral to law enforcement for males,75,79.8,DS,2.1,73,77.7,45,48.9,0,0,5,5.4,5,5.4,12,13,DS,2.2,4,4.3,23,24.5,493,2,4,9
Referral to law enforcement for females,19,20.2,0,0,19,20.2,14,15.2,0,0,0,0,0,0,5,5.4,0,0,0,0,9,9.6,493,2,4,9
