Grade by gender,Total number of Students,Percent of students,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten Males,185,71.4,67,25.9,8,3.1,11,4.2,4,1.5,66,25.5,12,4.6,17,6.6,66,25.5,0,0,53,20.5,365,2,4,9
Kindergarten Females,74,28.6,31,12,5,1.9,6,2.3,DS,0.8,24,9.3,DS,0.8,4,1.5,17,6.6,0,0,25,9.7,365,2,4,9
Kindergarten Total,259,100,98,37.8,13,5,17,6.6,6,2.3,90,34.7,14,5.4,21,8.1,83,32,0,0,78,30.1,365,2,4,9
1st Gr. Males,82,59.9,33,24.1,DS,1.5,DS,1.5,0,0,37,27,DS,1.5,6,4.4,20,14.6,0,0,17,12.4,368,2,4,9
1st Gr. Females,55,40.1,20,14.6,DS,1.5,6,4.4,DS,1.5,19,13.9,4,2.9,DS,1.5,14,10.2,0,0,15,10.9,368,2,4,9
1st Gr. Total,137,100,53,38.7,4,2.9,8,5.8,DS,1.5,56,40.9,6,4.4,8,5.8,34,24.8,0,0,32,23.4,368,2,4,9
2nd Gr. Males,63,60,36,34.3,DS,1.9,DS,1.9,DS,1.9,14,13.3,5,4.8,DS,1.9,15,14.3,0,0,32,30.5,367,2,4,9
2nd Gr. Females,42,40,20,19,0,0,DS,1.9,DS,1.9,12,11.4,DS,1.9,4,3.8,7,6.7,0,0,15,14.3,367,2,4,9
2nd Gr. Total,105,100,56,53.3,DS,1.9,4,3.8,4,3.8,26,24.8,7,6.7,6,5.7,22,21,0,0,47,44.8,367,2,4,9
3rd Gr. Males,41,59.4,22,31.9,0,0,0,0,0,0,15,21.7,DS,2.9,DS,2.9,7,10.1,0,0,19,27.5,368,2,4,9
3rd Gr. Females,28,40.6,14,20.3,0,0,DS,2.9,0,0,8,11.6,DS,2.9,DS,2.9,5,7.2,0,0,12,17.4,368,2,4,9
3rd Gr. Total,69,100,36,52.2,0,0,DS,2.9,0,0,23,33.3,4,5.8,4,5.8,12,17.4,0,0,31,44.9,368,2,4,9
4th Gr. Males,23,62.2,10,27,DS,5.4,DS,5.4,DS,5.4,7,18.9,0,0,0,0,11,29.7,0,0,4,10.8,369,2,4,9
4th Gr. Females,14,37.8,6,16.2,DS,5.4,DS,5.4,0,0,4,10.8,0,0,0,0,0,0,0,0,7,18.9,369,2,4,9
4th Gr. Total,37,100,16,43.2,4,10.8,4,10.8,DS,5.4,11,29.7,0,0,0,0,11,29.7,0,0,11,29.7,369,2,4,9
5th Gr. Males,24,51.1,13,27.7,0,0,DS,4.3,DS,4.3,5,10.6,DS,4.3,0,0,7,14.9,0,0,11,23.4,370,2,4,9
5th Gr. Females,23,48.9,11,23.4,DS,4.3,0,0,DS,4.3,6,12.8,0,0,DS,4.3,5,10.6,0,0,8,17,370,2,4,9
5th Gr. Total,47,100,24,51.1,DS,4.3,DS,4.3,4,8.5,11,23.4,DS,4.3,DS,4.3,12,25.5,0,0,19,40.4,370,2,4,9
6th Gr. Males,15,53.6,13,46.4,0,0,0,0,0,0,DS,7.1,0,0,0,0,DS,7.1,0,0,7,25,349,2,4,9
6th Gr. Females,13,46.4,7,25,0,0,0,0,DS,7.1,DS,7.1,0,0,DS,7.1,DS,7.1,0,0,7,25,349,2,4,9
6th Gr. Total,28,100,20,71.4,0,0,0,0,DS,7.1,4,14.3,0,0,DS,7.1,4,14.3,0,0,14,50,349,2,4,9
7th Gr. Males,21,58.3,15,41.7,0,0,DS,5.6,0,0,4,11.1,0,0,0,0,DS,5.6,0,0,8,22.2,290,2,4,9
7th Gr. Females,15,41.7,11,30.6,0,0,0,0,0,0,DS,5.6,0,0,DS,5.6,0,0,DS,5.6,4,11.1,290,2,4,9
7th Gr. Total,36,100,26,72.2,0,0,DS,5.6,0,0,6,16.7,0,0,DS,5.6,DS,5.6,DS,5.6,12,33.3,290,2,4,9
8th Gr. Males,28,52.8,24,45.3,DS,3.8,0,0,0,0,DS,3.8,0,0,0,0,4,7.5,0,0,17,32.1,288,2,4,9
8th Gr. Females,25,47.2,14,26.4,0,0,0,0,DS,3.8,9,17,0,0,0,0,5,9.4,0,0,8,15.1,288,2,4,9
8th Gr. Total,53,100,38,71.7,DS,3.8,0,0,DS,3.8,11,20.8,0,0,0,0,9,17,0,0,25,47.2,288,2,4,9
9th Gr. Males,106,55.5,88,46.1,0,0,0,0,DS,1,12,6.3,DS,1,DS,1,11,5.8,0,0,25,13.1,276,2,4,9
9th Gr. Females,85,44.5,73,38.2,0,0,DS,1,DS,1,6,3.1,DS,1,0,0,DS,1,0,0,23,12,276,2,4,9
9th Gr. Total,191,100,161,84.3,0,0,DS,1,4,2.1,18,9.4,4,2.1,DS,1,13,6.8,0,0,48,25.1,276,2,4,9
10th Gr. Males,56,56,41,41,DS,DS,DS,DS,0,0,9,9,0,0,DS,DS,DS,DS,0,0,17,17,276,2,4,9
10th Gr. Females,44,44,33,33,0,0,0,0,0,0,9,9,0,0,DS,DS,8,8,0,0,13,13,276,2,4,9
10th Gr. Total,100,100,74,74,DS,DS,DS,DS,0,0,18,18,0,0,4,4,10,10,0,0,30,30,276,2,4,9
11th Gr. Males,252,56.9,54,12.2,6,1.4,24,5.4,17,3.8,113,25.5,8,1.8,30,6.8,32,7.2,DS,0.5,23,5.2,273,2,4,9
11th Gr. Females,191,43.1,48,10.8,8,1.8,21,4.7,11,2.5,70,15.8,10,2.3,23,5.2,16,3.6,0,0,27,6.1,273,2,4,9
11th Gr. Total,443,100,102,23,14,3.2,45,10.2,28,6.3,183,41.3,18,4.1,53,12,48,10.8,DS,0.5,50,11.3,273,2,4,9
12th Gr. Males,512,62.5,116,14.2,46,5.6,52,6.3,31,3.8,205,25,19,2.3,43,5.3,203,24.8,5,0.6,78,9.5,274,2,4,9
12th Gr. Females,307,37.5,82,10,22,2.7,28,3.4,16,2,117,14.3,12,1.5,30,3.7,116,14.2,DS,0.2,36,4.4,274,2,4,9
12th Gr. Total,819,100,198,24.2,68,8.3,80,9.8,47,5.7,322,39.3,31,3.8,73,8.9,319,38.9,7,0.9,114,13.9,274,2,4,9
