,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number and percentage of public school students retained, by race/ethnicity, disability status, and English proficiency, by gender and grade: School Year 2011-12",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grade,Gender,Total Students,,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,,Number,Percent,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
Retention of students,Delaware,,Male,140 ,62.8 ,1-3 ,0.9 ,1-3 ,0.9 ,30 ,13.5 ,52 ,23.3 ,52 ,23.3 ,0 ,0.0 ,1-3 ,0.9 ,47 ,21.1 ,0 ,0.0 ,22 ,9.9 ,114 ,100.0 
Retention of students,Delaware,Kindergarten,Female,83 ,37.2 ,0 ,0.0 ,1-3 ,0.9 ,20 ,9.0 ,33 ,14.8 ,26 ,11.7 ,0 ,0.0 ,1-3 ,0.9 ,15 ,6.7 ,0 ,0.0 ,12 ,5.4 ,114 ,100.0 
Retention of students,Delaware,,Total,223 ,100.0 ,1-3 ,0.9 ,4 ,1.8 ,50 ,22.4 ,85 ,38.1 ,78 ,35.0 ,0 ,0.0 ,4 ,1.8 ,62 ,27.8 ,0 ,0.0 ,34 ,15.2 ,114 ,100.0 
Retention of students,Delaware,,Male,182 ,58.9 ,1-3 ,0.6 ,5 ,1.6 ,44 ,14.2 ,78 ,25.2 ,51 ,16.5 ,0 ,0.0 ,1-3 ,0.6 ,37 ,12.0 ,0 ,0.0 ,28 ,9.1 ,126 ,100.0 
Retention of students,Delaware,1,Female,127 ,41.1 ,1-3 ,0.6 ,1-3 ,0.6 ,35 ,11.3 ,52 ,16.8 ,34 ,11.0 ,0 ,0.0 ,1-3 ,0.6 ,15 ,4.9 ,0 ,0.0 ,28 ,9.1 ,126 ,100.0 
Retention of students,Delaware,,Total,309 ,100.0 ,4 ,1.3 ,7 ,2.3 ,79 ,25.6 ,130 ,42.1 ,85 ,27.5 ,0 ,0.0 ,4 ,1.3 ,52 ,16.8 ,0 ,0.0 ,56 ,18.1 ,126 ,100.0 
Retention of students,Delaware,,Male,101 ,54.0 ,0 ,0.0 ,1-3 ,1.1 ,19 ,10.2 ,50 ,26.7 ,30 ,16.0 ,0 ,0.0 ,0 ,0.0 ,13 ,7.0 ,5 ,2.7 ,12 ,6.4 ,126 ,100.0 
