Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Corporal punishment for males,26,81.3,DS,6.3,24,75,0,0,0,0,9,30,0,0,13,43.3,DS,6.7,0,0,0,0,703,16,4,8
Corporal punishment for females,6,18.8,0,0,6,18.8,0,0,0,0,4,13.3,0,0,DS,6.7,0,0,0,0,0,0,703,16,4,8
Corporal punishment total,32,100,DS,6.3,30,93.8,0,0,0,0,13,43.3,0,0,15,50,DS,6.7,0,0,0,0,703,16,4,8
One or more in-school suspensions for males,"1,385",80.1,145,8.4,"1,240",71.7,39,2.5,DS,0.1,203,13.1,21,1.4,943,61,DS,0.1,30,1.9,66,3.8,703,16,4,8
One or more in-school suspensions for females,345,19.9,40,2.3,305,17.6,9,0.6,DS,0.1,58,3.8,6,0.4,220,14.2,0,0,10,0.6,11,0.6,703,16,4,8
One or more in-school suspensions total,"1,730",100,185,10.7,"1,545",89.3,48,3.1,4,0.3,261,16.9,27,1.7,"1,163",75.3,DS,0.1,40,2.6,77,4.5,703,16,4,8
Only one out-of-school suspension for males,785,83.9,81,8.7,704,75.2,25,3,0,0,96,11.4,19,2.3,543,64.4,DS,0.2,19,2.3,27,2.9,703,16,4,8
Only one out-of-school suspension for females,151,16.1,12,1.3,139,14.9,5,0.6,0,0,24,2.8,DS,0.2,98,11.6,DS,0.2,8,0.9,5,0.5,703,16,4,8
Only one out-of-school suspension total,936,100,93,9.9,843,90.1,30,3.6,0,0,120,14.2,21,2.5,641,76,4,0.5,27,3.2,32,3.4,703,16,4,8
More than one out-of-school suspension for males,530,84.5,46,7.3,484,77.2,17,3,DS,0.3,75,13.1,20,3.5,358,62.4,DS,0.3,10,1.7,20,3.2,703,16,4,8
More than one out-of-school suspension for females,97,15.5,7,1.1,90,14.4,DS,0.3,0,0,19,3.3,DS,0.3,63,11,DS,0.3,DS,0.3,DS,0.3,703,16,4,8
More than one out-of-school suspension total,627,100,53,8.5,574,91.5,19,3.3,DS,0.3,94,16.4,22,3.8,421,73.3,4,0.7,12,2.1,22,3.5,703,16,4,8
