Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Corporal punishment for males,126,76.8,13,7.9,113,68.9,0,0,0,0,8,5.4,14,9.5,87,59.2,0,0,4,2.7,0,0,"4,221",17,2,3
Corporal punishment for females,38,23.2,4,2.4,34,20.7,0,0,0,0,DS,1.4,DS,1.4,28,19,0,0,DS,1.4,0,0,"4,221",17,2,3
Corporal punishment total,164,100,17,10.4,147,89.6,0,0,0,0,10,6.8,16,10.9,115,78.2,0,0,6,4.1,0,0,"4,221",17,2,3
One or more in-school suspensions for males,"20,040",75.1,635,2.4,"19,405",72.7,57,0.2,99,0.4,"3,519",13.6,"6,795",26.3,"8,399",32.5,12,0,524,2,931,3.5,"4,221",17,2,3
One or more in-school suspensions for females,"6,656",24.9,210,0.8,"6,446",24.1,20,0.1,29,0.1,"1,288",5,"2,656",10.3,"2,248",8.7,5,0,200,0.8,309,1.2,"4,221",17,2,3
One or more in-school suspensions total,"26,696",100,845,3.2,"25,851",96.8,77,0.3,128,0.5,"4,807",18.6,"9,451",36.6,"10,647",41.2,17,0.1,724,2.8,"1,240",4.6,"4,221",17,2,3
Only one out-of-school suspension for males,"12,661",76.2,336,2,"12,325",74.1,34,0.2,94,0.6,"2,343",14.5,"5,191",32.1,"4,338",26.8,11,0.1,314,1.9,730,4.4,"4,221",17,2,3
Only one out-of-school suspension for females,"3,961",23.8,107,0.6,"3,854",23.2,17,0.1,12,0.1,662,4.1,"1,950",12.1,"1,104",6.8,DS,0,107,0.7,172,1,"4,221",17,2,3
Only one out-of-school suspension total,"16,622",100,443,2.7,"16,179",97.3,51,0.3,106,0.7,"3,005",18.6,"7,141",44.1,"5,442",33.6,13,0.1,421,2.6,902,5.4,"4,221",17,2,3
More than one out-of-school suspension for males,"9,147",78.9,262,2.3,"8,885",76.6,22,0.2,36,0.3,"1,197",10.6,"3,885",34.6,"3,455",30.7,6,0.1,284,2.5,250,2.2,"4,221",17,2,3
