Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Corporal punishment for males,48,77.4,0,0,48,77.4,DS,3.2,0,0,DS,3.2,DS,3.2,42,67.7,0,0,0,0,0,0,"2,077",27,2,4
Corporal punishment for females,14,22.6,0,0,14,22.6,DS,3.2,0,0,0,0,0,0,12,19.4,0,0,0,0,0,0,"2,077",27,2,4
Corporal punishment total,62,100,0,0,62,100,4,6.5,0,0,DS,3.2,DS,3.2,54,87.1,0,0,0,0,0,0,"2,077",27,2,4
One or more in-school suspensions for males,"7,050",78.8,114,1.3,"6,936",77.6,359,4.1,103,1.2,543,6.2,"1,642",18.7,"4,116",46.8,5,0.1,168,1.9,265,3,"2,077",27,2,4
One or more in-school suspensions for females,"1,893",21.2,31,0.3,"1,862",20.8,125,1.4,24,0.3,133,1.5,582,6.6,947,10.8,0,0,51,0.6,62,0.7,"2,077",27,2,4
One or more in-school suspensions total,"8,943",100,145,1.6,"8,798",98.4,484,5.5,127,1.4,676,7.7,"2,224",25.3,"5,063",57.5,5,0.1,219,2.5,327,3.7,"2,077",27,2,4
Only one out-of-school suspension for males,"4,934",77.5,70,1.1,"4,864",76.4,253,4,102,1.6,427,6.8,"1,413",22.5,"2,525",40.2,DS,0,142,2.3,211,3.3,"2,077",27,2,4
Only one out-of-school suspension for females,"1,434",22.5,19,0.3,"1,415",22.2,82,1.3,22,0.4,121,1.9,585,9.3,557,8.9,0,0,48,0.8,65,1,"2,077",27,2,4
Only one out-of-school suspension total,"6,368",100,89,1.4,"6,279",98.6,335,5.3,124,2,548,8.7,"1,998",31.8,"3,082",49.1,DS,0,190,3,276,4.3,"2,077",27,2,4
More than one out-of-school suspension for males,"4,158",80.3,21,0.4,"4,137",79.9,246,4.8,67,1.3,294,5.7,"1,699",33,"1,736",33.7,0,0,95,1.8,156,3,"2,077",27,2,4
More than one out-of-school suspension for females,"1,019",19.7,DS,0,"1,017",19.6,62,1.2,6,0.1,56,1.1,548,10.6,307,6,DS,0,36,0.7,31,0.6,"2,077",27,2,4
More than one out-of-school suspension total,"5,177",100,23,0.4,"5,154",99.6,308,6,73,1.4,350,6.8,"2,247",43.6,"2,043",39.6,DS,0,131,2.5,187,3.6,"2,077",27,2,4
One or more out-of-school suspensions for males,"9,085",78.7,92,0.8,"8,993",77.9,501,4.4,170,1.5,718,6.3,"3,114",27.3,"4,252",37.2,DS,0,236,2.1,369,3.2,"2,077",27,2,4
One or more out-of-school suspensions for females,"2,453",21.3,21,0.2,"2,432",21.1,142,1.2,28,0.2,176,1.5,"1,140",10,860,7.5,DS,0,84,0.7,98,0.8,"2,077",27,2,4
One or more out-of-school suspensions total,"11,538",100,113,1,"11,425",99,643,5.6,198,1.7,894,7.8,"4,254",37.2,"5,112",44.7,4,0,320,2.8,467,4,"2,077",27,2,4
