Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Corporal punishment for males,634,82.2,DS,0.3,632,82,DS,0.3,0,0,11,1.4,156,20.3,456,59.3,DS,0.3,5,0.7,4,0.5,"2,312",29,2,4
Corporal punishment for females,137,17.8,0,0,137,17.8,0,0,0,0,DS,0.3,45,5.9,90,11.7,0,0,0,0,DS,0.3,"2,312",29,2,4
Corporal punishment total,771,100,DS,0.3,769,99.7,DS,0.3,0,0,13,1.7,201,26.1,546,71,DS,0.3,5,0.7,6,0.8,"2,312",29,2,4
One or more in-school suspensions for males,"13,921",78.3,412,2.3,"13,509",76,60,0.3,53,0.3,372,2.2,"3,512",20.4,"9,260",53.7,15,0.1,237,1.4,121,0.7,"2,312",29,2,4
One or more in-school suspensions for females,"3,856",21.7,131,0.7,"3,725",21,13,0.1,13,0.1,106,0.6,"1,214",7,"2,316",13.4,DS,0,61,0.4,33,0.2,"2,312",29,2,4
One or more in-school suspensions total,"17,777",100,543,3.1,"17,234",96.9,73,0.4,66,0.4,478,2.8,"4,726",27.4,"11,576",67.2,17,0.1,298,1.7,154,0.9,"2,312",29,2,4
Only one out-of-school suspension for males,"5,253",78.2,113,1.7,"5,140",76.5,19,0.3,23,0.3,149,2.3,"1,624",24.7,"3,226",49,DS,0,97,1.5,54,0.8,"2,312",29,2,4
Only one out-of-school suspension for females,"1,466",21.8,27,0.4,"1,439",21.4,10,0.2,7,0.1,46,0.7,610,9.3,747,11.4,DS,0,17,0.3,15,0.2,"2,312",29,2,4
Only one out-of-school suspension total,"6,719",100,140,2.1,"6,579",97.9,29,0.4,30,0.5,195,3,"2,234",34,"3,973",60.4,4,0.1,114,1.7,69,1,"2,312",29,2,4
More than one out-of-school suspension for males,"5,554",82.2,107,1.6,"5,447",80.6,27,0.4,19,0.3,133,2,"2,273",34.3,"2,898",43.8,0,0,97,1.5,45,0.7,"2,312",29,2,4
More than one out-of-school suspension for females,"1,203",17.8,28,0.4,"1,175",17.4,DS,0,4,0.1,23,0.3,690,10.4,435,6.6,DS,0,19,0.3,7,0.1,"2,312",29,2,4
More than one out-of-school suspension total,"6,757",100,135,2,"6,622",98,29,0.4,23,0.3,156,2.4,"2,963",44.7,"3,333",50.3,DS,0,116,1.8,52,0.8,"2,312",29,2,4
One or more out-of-school suspensions for males,"10,801",80.2,220,1.6,"10,581",78.5,46,0.3,42,0.3,279,2.1,"3,893",29.5,"6,126",46.4,DS,0,193,1.5,99,0.7,"2,312",29,2,4
One or more out-of-school suspensions for females,"2,672",19.8,55,0.4,"2,617",19.4,13,0.1,11,0.1,69,0.5,"1,300",9.8,"1,185",9,DS,0,37,0.3,21,0.2,"2,312",29,2,4
One or more out-of-school suspensions total,"13,473",100,275,2,"13,198",98,59,0.4,53,0.4,348,2.6,"5,193",39.3,"7,311",55.4,4,0,230,1.7,120,0.9,"2,312",29,2,4
Expulsions with educational services for males,177,77.6,DS,0.9,175,76.8,4,1.8,DS,0.9,DS,0.9,18,8,147,65,0,0,DS,0.9,0,0,"2,312",29,2,4
Expulsions with educational services for females,51,22.4,0,0,51,22.4,DS,0.9,0,0,4,1.8,5,2.2,38,16.8,0,0,DS,0.9,0,0,"2,312",29,2,4
Expulsions with educational services total,228,100,DS,0.9,226,99.1,6,2.7,DS,0.9,6,2.7,23,10.2,185,81.9,0,0,4,1.8,0,0,"2,312",29,2,4
Expulsions without educational services for males,43,78.2,DS,3.6,41,74.5,0,0,0,0,DS,3.9,DS,3.9,35,68.6,0,0,DS,3.9,0,0,"2,312",29,2,4
Expulsions without educational services for females,12,21.8,DS,3.6,10,18.2,0,0,0,0,0,0,DS,3.9,8,15.7,0,0,0,0,0,0,"2,312",29,2,4
Expulsions without educational services total,55,100,4,7.3,51,92.7,0,0,0,0,DS,3.9,4,7.8,43,84.3,0,0,DS,3.9,0,0,"2,312",29,2,4
Expulsions with or without educational services for males,215,77.3,DS,0.7,213,76.6,4,1.5,DS,0.7,DS,0.7,20,7.3,183,66.8,0,0,DS,0.7,0,0,"2,312",29,2,4
Expulsions with or without educational services for females,63,22.7,DS,0.7,61,21.9,DS,0.7,0,0,4,1.5,7,2.6,46,16.8,0,0,DS,0.7,0,0,"2,312",29,2,4
Expulsions with or without educational services total,278,100,4,1.4,274,98.6,6,2.2,DS,0.7,6,2.2,27,9.9,229,83.6,0,0,4,1.5,0,0,"2,312",29,2,4
Expulsions under zero-tolerance policies for males,69,77.5,0,0,69,77.5,0,0,DS,2.2,DS,2.2,4,4.5,59,66.3,0,0,DS,2.2,0,0,"2,312",29,2,4
Expulsions under zero-tolerance policies for females,20,22.5,0,0,20,22.5,0,0,0,0,4,4.5,DS,2.2,12,13.5,0,0,DS,2.2,0,0,"2,312",29,2,4
Expulsions under zero-tolerance policies total,89,100,0,0,89,100,0,0,DS,2.2,6,6.7,6,6.7,71,79.8,0,0,4,4.5,0,0,"2,312",29,2,4
