Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Corporal punishment for males,"3,177",83.2,4,0.1,"3,173",83.1,5,0.1,DS,0.1,25,0.7,"1,825",47.9,"1,314",34.5,0,0,DS,0.1,DS,0.1,973,28,3,6
Corporal punishment for females,643,16.8,DS,0.1,641,16.8,0,0,0,0,DS,0.1,387,10.1,252,6.6,0,0,0,0,0,0,973,28,3,6
Corporal punishment total,"3,820",100,6,0.2,"3,814",99.8,5,0.1,DS,0.1,27,0.7,"2,212",58,"1,566",41.1,0,0,DS,0.1,DS,0.1,973,28,3,6
One or more in-school suspensions for males,"6,166",76.6,11,0.1,"6,155",76.5,10,0.1,5,0.1,56,0.7,"3,854",48,"2,226",27.7,DS,0,DS,0,17,0.2,973,28,3,6
One or more in-school suspensions for females,"1,879",23.4,7,0.1,"1,872",23.3,4,0,DS,0,11,0.1,"1,278",15.9,577,7.2,0,0,0,0,0,0,973,28,3,6
One or more in-school suspensions total,"8,045",100,18,0.2,"8,027",99.8,14,0.2,7,0.1,67,0.8,"5,132",63.9,"2,803",34.9,DS,0,DS,0,17,0.2,973,28,3,6
Only one out-of-school suspension for males,"2,950",77.4,8,0.2,"2,942",77.2,4,0.1,DS,0.1,29,0.8,"1,968",51.8,939,24.7,0,0,0,0,8,0.2,973,28,3,6
Only one out-of-school suspension for females,860,22.6,DS,0.1,858,22.5,0,0,DS,0.1,6,0.2,634,16.7,216,5.7,0,0,0,0,DS,0.1,973,28,3,6
Only one out-of-school suspension total,"3,810",100,10,0.3,"3,800",99.7,4,0.1,4,0.1,35,0.9,"2,602",68.5,"1,155",30.4,0,0,0,0,10,0.3,973,28,3,6
More than one out-of-school suspension for males,"2,604",79.3,DS,0.1,"2,602",79.2,6,0.2,DS,0.1,15,0.5,"1,884",57.4,691,21.1,DS,0.1,DS,0.1,4,0.1,973,28,3,6
