Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,Number of American Indian or Alaska Native,"Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Corporal punishment for males,22,78.6,0,0,22,78.6,17,60.7,0,0,0,0,0,0,5,17.9,0,0,0,0,DS,7.1,781,30,4,8
Corporal punishment for females,6,21.4,0,0,6,21.4,4,14.3,0,0,0,0,0,0,DS,7.1,0,0,0,0,DS,7.1,781,30,4,8
Corporal punishment total,28,100,0,0,28,100,21,75,0,0,0,0,0,0,7,25,0,0,0,0,4,14.3,781,30,4,8
One or more in-school suspensions for males,"1,463",78.1,24,1.3,"1,439",76.8,334,18.1,DS,0.1,48,2.6,26,1.4,"1,004",54.5,DS,0.1,23,1.2,55,2.9,781,30,4,8
One or more in-school suspensions for females,410,21.9,7,0.4,403,21.5,128,6.9,DS,0.1,23,1.2,6,0.3,242,13.1,0,0,DS,0.1,22,1.2,781,30,4,8
One or more in-school suspensions total,"1,873",100,31,1.7,"1,842",98.3,462,25.1,4,0.2,71,3.9,32,1.7,"1,246",67.6,DS,0.1,25,1.4,77,4.1,781,30,4,8
Only one out-of-school suspension for males,626,78.4,10,1.3,616,77.2,141,18,4,0.5,26,3.3,12,1.5,425,54.2,DS,0.3,6,0.8,19,2.4,781,30,4,8
Only one out-of-school suspension for females,172,21.6,4,0.5,168,21.1,40,5.1,0,0,6,0.8,4,0.5,116,14.8,0,0,DS,0.3,6,0.8,781,30,4,8
Only one out-of-school suspension total,798,100,14,1.8,784,98.2,181,23.1,4,0.5,32,4.1,16,2,541,69,DS,0.3,8,1,25,3.1,781,30,4,8
More than one out-of-school suspension for males,543,83.3,DS,0.3,541,83,154,23.8,DS,0.3,24,3.7,6,0.9,353,54.5,0,0,DS,0.3,16,2.5,781,30,4,8
More than one out-of-school suspension for females,109,16.7,DS,0.3,107,16.4,43,6.6,0,0,DS,0.3,0,0,60,9.3,0,0,DS,0.3,6,0.9,781,30,4,8
More than one out-of-school suspension total,652,100,4,0.6,648,99.4,197,30.4,DS,0.3,26,4,6,0.9,413,63.7,0,0,4,0.6,22,3.4,781,30,4,8
One or more out-of-school suspensions for males,"1,168",80.8,12,0.8,"1,156",80,296,20.7,6,0.4,51,3.6,17,1.2,775,54.3,DS,0.1,9,0.6,37,2.6,781,30,4,8
One or more out-of-school suspensions for females,277,19.2,6,0.4,271,18.8,83,5.8,0,0,7,0.5,4,0.3,175,12.3,0,0,DS,0.1,12,0.8,781,30,4,8
One or more out-of-school suspensions total,"1,445",100,18,1.2,"1,427",98.8,379,26.6,6,0.4,58,4.1,21,1.5,950,66.6,DS,0.1,11,0.8,49,3.4,781,30,4,8
Expulsions with educational services for males,9,69.2,0,0,9,69.2,DS,15.4,0,0,DS,15.4,0,0,5,38.5,0,0,0,0,0,0,781,30,4,8
Expulsions with educational services for females,4,30.8,0,0,4,30.8,4,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781,30,4,8
Expulsions with educational services total,13,100,0,0,13,100,6,46.2,0,0,DS,15.4,0,0,5,38.5,0,0,0,0,0,0,781,30,4,8
