Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Corporal punishment for males,DS,100,0,0,DS,100,0,0,0,0,0,0,0,0,DS,100,0,0,0,0,0,0,649,32,4,8
Corporal punishment for females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,32,4,8
Corporal punishment total,DS,100,0,0,DS,100,0,0,0,0,0,0,0,0,DS,100,0,0,0,0,0,0,649,32,4,8
One or more in-school suspensions for males,"10,591",68.1,4,0,"10,587",68.1,207,1.3,167,1.1,"4,209",27.1,"1,803",11.6,"3,637",23.4,72,0.5,492,3.2,"1,352",8.7,649,32,4,8
One or more in-school suspensions for females,"4,953",31.9,DS,0,"4,951",31.9,98,0.6,61,0.4,"2,088",13.4,900,5.8,"1,523",9.8,47,0.3,234,1.5,519,3.3,649,32,4,8
One or more in-school suspensions total,"15,544",100,6,0,"15,538",100,305,2,228,1.5,"6,297",40.5,"2,703",17.4,"5,160",33.2,119,0.8,726,4.7,"1,871",12,649,32,4,8
Only one out-of-school suspension for males,"9,318",68.9,5,0,"9,313",68.8,162,1.2,212,1.6,"3,795",28.1,"1,581",11.7,"3,023",22.4,105,0.8,435,3.2,"1,238",9.2,649,32,4,8
Only one out-of-school suspension for females,"4,212",31.1,DS,0,"4,210",31.1,83,0.6,90,0.7,"1,817",13.4,824,6.1,"1,122",8.3,56,0.4,218,1.6,427,3.2,649,32,4,8
Only one out-of-school suspension total,"13,530",100,7,0.1,"13,523",99.9,245,1.8,302,2.2,"5,612",41.5,"2,405",17.8,"4,145",30.7,161,1.2,653,4.8,"1,665",12.3,649,32,4,8
More than one out-of-school suspension for males,"8,333",75.2,4,0,"8,329",75.2,108,1,118,1.1,"3,327",30,"2,106",19,"2,228",20.1,74,0.7,368,3.3,"1,328",12,649,32,4,8
More than one out-of-school suspension for females,"2,743",24.8,0,0,"2,743",24.8,41,0.4,19,0.2,"1,146",10.4,759,6.9,609,5.5,29,0.3,140,1.3,352,3.2,649,32,4,8
More than one out-of-school suspension total,"11,076",100,4,0,"11,072",100,149,1.3,137,1.2,"4,473",40.4,"2,865",25.9,"2,837",25.6,103,0.9,508,4.6,"1,680",15.2,649,32,4,8
