State,State_ID,Region_ID,Division_ID, All Students Rates, American Indians Rates,Asian Americans Rates,Hawaiian/Pacific Islanders Rates, Black Students Rates ,Latino Students Rates ,White Students Rates ,EL Students Rates,Discipline Gap: American Indians vs. Whites (in percentage points),Discipline Gap: Blacks vs. Whites (in percentage points),Discipline Gap: Latinos vs. Whites (in percentage points), All Males Rates, American Indian Males Rates,Asian American Males Rates,Hawaiian/ Pacific Islander Males Rates , Black Males Rates ,Latino Males Rates, White Males Rates ,Male EL Students Rates, All Females Rates,American Indian Females Rates,Asian American Females Rates,Hawaiian/ Pacific Islander Females Rates ,Black Females Rates ,Latina Females Rates,White Females Rates ,EL Females Rates, All Students WD Rates, American Indian Students WD Rates,Asian American Students WD Rates,Hawaiian/Pacific Islander Students WD Rates,Black Students WD Rates ,Latino Students WD Rates ,White Students WD Rates ,EL Students WD Rates,All Males WD Rates,American Indian Males WD Rates,Asian American Males WD Rates,Hawaiian/Pacific Islander Males WD Rates,Black Males WD Rates,Latino Males WD Rates,Whites Males WD Rates,EL Males WD Rates,All Females WD Rates,American Indian Females WD Rates,Asian American Females WD Rates,Hawaiian/Pacific Islander Females WD Rates,Black Females WD Rates,Latina Females WD Rates,Whites Females WD Rates,EL Females WD Rates, All Students WOD Rates, American Indian Students WOD Rates,Asian American Students WOD Rates,Hawaiian/Pacific Islander Students WOD Rates,Black Students WOD Rates ,Latino Students WOD Rates ,White Students WOD Rates ,EL Students WOD Rates,All Males WOD Rates,American Indian Males WOD Rates,Asian American Males WOD Rates,Hawaiian/Pacific Islander Males WOD Rates,Black Males WOD Rates,Latino Males WOD Rates,Whites Males WOD Rates,EL Males WOD Rates,All Females WOD Rates,American Indian Females WOD Rates,Asian American Females WOD Rates,Hawaiian/Pacific Islander Females WOD Rates,Black Females WOD Rates,Latina Females WOD Rates,Whites Females WOD Rates,EL Females WOD Rates,Total Suspended Students ,Suspended American Indians,Suspended Asian Americans ,Suspended Hawaiian/Pacific Islanders ,Suspended Blacks ,Suspended Latinos,Suspended Whites,Suspended EL Students,Suspended Males ,Suspended American Indian Males ,Suspended Asian American Males ,Suspended Hawaiian/Pacific Islander Males ,Suspended Black Males ,Suspended Latino Males ,Suspended White Males ,Suspended EL Males ,Suspended Females ,Suspended American Indian Females ,Suspended Asian American Females ,Suspended Hawaiian/Pacific Islander Females ,Suspended Black Females ,Suspended Latina Females ,Suspended White Females ,Suspended EL Females ,Suspended Students WD ,Suspended American Indians WD ,Suspended Asian Americans WD ,Suspended Hawaiian/Pacific Islanders WD ,Suspended Blacks WD,Suspended Latinos WD ,Suspended Whites WD ,Suspended EL Students WD ,Suspended Males WD,Suspended American Indian Males WD,Suspended Asian American Males WD ,Suspended Hawaiian/Pacific Islander Males WD ,Suspended Black Males WD ,Suspended Latino Males WD ,Suspended White Males WD ,Suspended EL Males WD,Suspended Females WD,Suspended American Indian Females WD,Suspended Asian American Females WD,Suspended Hawaiian/Pacific Islander Females WD ,Suspended Black Females WD ,Suspended Latina Females WD ,Suspended White Females WD ,Suspended EL Females WD ,Suspended Students WOD ,Suspended American Indians WOD ,Suspended Asian Americans WOD ,Suspended Hawaiian/Pacific Islanders WOD ,Suspended Blacks WOD ,Suspended Latinos WOD ,Suspended Whites WOD ,Suspended EL Students WOD ,Suspended Males WOD ,Suspended American Indian Males WOD ,Suspended Asian American Males WOD ,Suspended Hawaiian/Pacific Islander Males WOD,Suspended Black Males WOD ,Suspended Latino Males WOD ,Suspended White Males WOD ,Suspended EL Males WOD ,Suspended Females WOD ,Suspended American Indian Females WOD ,Suspended Asian American Females WOD,Suspended Hawaiian/Pacific Islander Females WOD ,Suspended Black Females WOD,Suspended Latina Females WOD ,Suspended White Females WOD,Suspended EL Females WOD,All Students Enrollment,American Indian Enrollment ,Asian American Enrollment ,Hawaiian/Pacific Islander Enrollment ,Black Enrollment ,Latino Enrollment ,White Enrollment ,EL Enrollment ,Male Enrollment,American Indian Male Enrollment,Asian American Male Enrollment ,Hawaiian/Pacific Islander Male Enrollment ,Black Male Enrollment ,Latino Male Enrollment ,White Male Enrollment ,EL Male Enrollment,Female Enrollment ,American Indian Female Enrollment,Asian American Female Enrollment ,Hawaiian/Pacific Islander Female Enrollment ,Black Female Enrollment ,Latina Female Enrollment ,White Female Enrollment ,EL Female Enrollment ,Students WD Enrollment,American Indians WD Enrollment ,Asian Americans WD Enrollment ,Hawaiian/Pacific Islanders WD Enrollment ,Blacks WD Enrollment ,Latinos WD Enrollment ,Whites WD Enrollment ,EL Students WD Enrollment ,Males WD Enrollment ,American Indian Males WD Enrollment ,Asian American Males WD Enrollment ,Hawaiian/Pacific Islander Males WD Enrollment ,Black Males WD Enrollment ,Latino Males WD Enrollment ,White Males WD Enrollment,EL Males WD Enrollment ,Females WD Enrollment,American Indian Females WD Enrollment ,Asian American Females WD Enrollment ,Hawaiian/Pacific Islander Females WD Enrollment,Black Females WD Enrollment ,Latina Females WD Enrollment ,White Females WD Enrollment ,EL Females WD Enrollment,Students WOD Enrollment ,American Indians WOD Enrollment ,Asian Americans WOD Enrollment ,Hawaiian/Pacific Islanders WOD Enrollment ,Blacks WOD Enrollment,Latinos WOD Enrollment ,Whites WOD Enrollment,EL Students WOD Enrollment ,Males WOD Enrollment ,American Indian Males WOD Enrollment ,Asian American Males WOD Enrollment ,Hawaiian/Pacific Islander Males WOD Enrollment ,Black Males WOD Enrollment,Latino Males WOD Enrollment ,White Males WOD Enrollment ,EL Males WOD Enrollment ,Females WOD Enrollment ,American Indian Females WOD Enrollment ,Asian American Indian Females WOD Enrollment,Hawaiian/Pacific Islander Females WOD Enrollment ,Black Females WOD Enrollment ,Latina Females WOD Enrollment ,White Females WOD Enrollment ,EL Females WOD Enrollment,Number of Middle Schools,Number of High Schools,Number of Secondary Schools
Alaska,2,4,9,7.22%,8.91%,2.94%,11.79%,13.61%,8.09%,6.46%,9.02%,2.45,7.14,1.62,10.10%,12.32%,4.29%,12.86%,16.74%,10.68%,9.41%,12.14%,4.14%,5.18%,1.15%,8.87%,9.85%,4.99%,3.25%,4.93%,12.62%,13.14%,3.70%,16.22%,20.00%,11.93%,11.38%,10.06%,15.34%,15.53%,6.06%,16.67%,24.14%,12.86%,14.08%,11.58%,7.22%,5.71%,0.00%,18.18%,12.50%,7.89%,6.12%,4.84%,6.38%,7.72%,2.78%,11.06%,12.03%,7.26%,5.77%,8.10%,9.00%,10.53%,4.16%,12.28%,14.37%,9.65%,8.50%,10.92%,3.80%,4.70%,1.22%,8.93%,9.30%,4.67%,3.03%,4.98%,"3,785",740,130,155,300,300,"1,845",300,"2,725",525,95,90,195,205,"1,385",230,"1,055",210,25,55,100,90,450,70,850,205,10,30,90,65,350,80,685,160,10,20,70,45,295,55,165,30,0,10,20,15,60,15,"2,915",520,115,125,210,230,"1,470",205,"2,025",340,85,70,125,150,"1,070",155,880,165,25,50,80,75,390,55,"52,410","8,305","4,415","1,315","2,205","3,710","28,545","3,325","26,975","4,260","2,215",700,"1,165","1,920","14,725","1,895","25,465","4,055","2,165",620,"1,015","1,805","13,845","1,420","6,735","1,560",270,185,450,545,"3,075",795,"4,465","1,030",165,120,290,350,"2,095",475,"2,285",525,105,55,160,190,980,310,"45,685","6,735","4,140","1,130","1,745","3,170","25,460","2,530","22,510","3,230","2,045",570,870,"1,555","12,595","1,420","23,185","3,510","2,050",555,860,"1,605","12,860","1,105",35,50,110
Alabama,1,3,6,16.27%,11.25%,3.26%,3.23%,29.20%,7.59%,8.99%,4.72%,2.26,20.22,-1.39,20.46%,16.45%,4.80%,0.00%,35.52%,10.78%,12.18%,6.66%,11.93%,6.81%,1.46%,8.33%,22.87%,4.07%,5.63%,1.57%,20.91%,11.90%,4.00%,0.00%,30.14%,12.02%,13.24%,7.69%,23.88%,14.29%,5.71%,,33.43%,14.53%,15.86%,10.64%,15.53%,0.00%,0.00%,,24.54%,4.84%,8.03%,3.57%,15.66%,11.42%,3.00%,0.00%,29.04%,7.07%,8.49%,4.26%,19.88%,15.27%,4.74%,0.00%,36.03%,10.23%,11.58%,6.02%,11.59%,6.94%,1.51%,0.00%,22.63%,3.76%,5.39%,1.49%,"56,270",270,155,5,"36,705",935,"17,850",265,"36,000",190,115,0,"22,345",690,"12,435",205,"20,275",80,35,5,"14,360",240,"5,435",40,"8,490",25,10,0,"5,495",110,"2,755",30,"6,195",15,10,0,"3,895",85,"2,105",25,"2,285",0,0,0,"1,610",15,605,5,"47,805",245,135,0,"31,185",805,"15,110",220,"29,820",155,105,0,"18,455",595,"10,285",170,"17,985",75,35,0,"12,720",210,"4,800",35,"345,895","2,400","4,755",155,"125,685","12,315","198,650","5,620","175,945","1,155","2,395",80,"62,905","6,400","102,085","3,080","169,895","1,175","2,390",60,"62,790","5,900","96,560","2,540","40,600",210,250,5,"18,230",915,"20,810",390,"25,945",105,175,0,"11,650",585,"13,270",235,"14,710",85,75,0,"6,560",310,"7,535",140,"305,255","2,145","4,505",135,"107,400","11,380","177,885","5,170","150,025","1,015","2,215",65,"51,225","5,815","88,800","2,825","155,200","1,080","2,315",55,"56,215","5,580","89,045","2,350",240,230,580
Arkansas,5,3,7,11.54%,5.41%,2.05%,14.74%,26.36%,9.10%,7.42%,8.87%,-2.01,18.95,1.68,15.05%,8.57%,3.28%,21.88%,32.23%,12.28%,10.40%,11.73%,7.88%,2.25%,0.61%,7.78%,20.49%,5.34%,4.30%,5.22%,16.13%,5.88%,6.25%,36.36%,26.12%,12.18%,12.09%,12.89%,18.89%,10.00%,9.09%,33.33%,29.36%,13.68%,14.57%,15.75%,10.00%,0.00%,0.00%,33.33%,18.84%,9.01%,6.02%,6.76%,11.01%,4.91%,1.82%,13.07%,26.23%,8.58%,6.88%,8.44%,14.44%,5.52%,2.85%,19.54%,32.60%,12.06%,9.72%,11.29%,7.70%,2.45%,0.63%,6.45%,20.59%,5.06%,4.06%,5.06%,"26,475",100,70,140,"12,695","1,870","11,275","1,100","17,550",75,55,105,"7,700","1,290","8,075",785,"8,895",20,10,35,"4,970",530,"3,195",295,"3,820",10,5,20,"1,610",215,"1,845",145,"2,950",10,5,15,"1,195",160,"1,460",115,805,0,0,5,390,50,315,25,"22,650",80,60,115,"11,015","1,605","9,415",950,"14,570",40,45,85,"6,460","1,120","6,575",670,"8,070",20,10,30,"4,560",470,"2,805",265,"229,505","1,850","3,410",950,"48,155","20,555","152,045","12,395","116,645",875,"1,675",480,"23,890","10,505","77,675","6,695","112,810",890,"1,635",450,"24,250","9,920","74,330","5,650","23,680",170,80,55,"6,165","1,765","15,265","1,125","15,620",100,55,45,"4,070","1,170","10,020",730,"8,050",40,15,15,"2,070",555,"5,235",370,"205,770","1,630","3,300",880,"41,995","18,715","136,785","11,260","100,930",725,"1,580",435,"19,815","9,290","67,670","5,935","104,790",815,"1,590",435,"22,145","9,295","69,145","5,240",180,160,470
Arizona,4,4,8,8.98%,17.02%,2.73%,7.83%,14.85%,10.05%,6.59%,13.56%,10.42,8.26,3.46,12.40%,21.67%,3.60%,10.42%,19.68%,13.81%,9.49%,17.87%,5.41%,12.33%,1.30%,4.58%,9.51%,6.06%,3.57%,7.82%,16.48%,22.84%,6.12%,18.18%,21.87%,17.08%,13.43%,14.36%,19.72%,25.65%,6.15%,20.00%,25.66%,21.08%,16.37%,18.55%,9.45%,14.34%,3.33%,16.67%,13.54%,8.96%,7.50%,8.33%,8.09%,16.14%,2.50%,6.00%,13.48%,9.19%,5.84%,13.38%,11.19%,20.55%,3.34%,9.84%,17.95%,12.67%,8.43%,17.96%,5.06%,11.73%,1.25%,2.36%,8.84%,5.78%,3.23%,7.82%,"41,510","4,435",385,110,"3,660","18,495","13,495","1,585","29,210","2,815",255,75,"2,490","12,965","9,920","1,155","12,255","1,600",90,30,"1,130","5,455","3,575",405,"8,025",860,30,20,760,"3,320","2,765",275,"6,360",640,20,15,585,"2,680","2,240",230,"1,560",180,5,5,155,600,510,55,"33,445","3,585",340,75,"2,850","15,125","10,745","1,305","22,745","2,155",225,60,"1,850","10,290","7,655",935,"10,625","1,370",85,15,945,"4,820","3,015",350,"462,060","26,065","14,095","1,405","24,645","183,985","204,690","11,690","235,480","12,990","7,080",720,"12,650","93,885","104,500","6,465","226,570","12,980","6,945",655,"11,885","90,080","100,200","5,180","48,695","3,765",490,110,"3,475","19,440","20,585","1,915","32,250","2,495",325,75,"2,280","12,715","13,685","1,240","16,510","1,255",150,30,"1,145","6,700","6,800",660,"413,280","22,215","13,580","1,250","21,140","164,565","184,090","9,755","203,240","10,485","6,735",610,"10,305","81,185","90,785","5,205","210,070","11,680","6,775",610,"10,690","83,380","93,350","4,475",220,405,690
California,6,4,9,9.07%,13.14%,2.87%,7.44%,20.43%,9.89%,7.04%,11.78%,6.09,13.39,2.84,12.31%,17.46%,4.31%,9.80%,25.62%,13.43%,10.03%,15.44%,5.68%,8.92%,1.27%,4.81%,14.87%,6.21%,3.84%,7.05%,17.49%,18.08%,7.76%,12.95%,30.36%,16.13%,15.62%,14.19%,20.80%,20.86%,9.02%,13.95%,34.24%,19.48%,18.94%,17.50%,10.77%,10.23%,2.30%,5.56%,22.52%,9.54%,8.29%,7.64%,8.15%,12.53%,2.63%,6.92%,18.57%,9.15%,6.10%,11.17%,11.08%,16.07%,3.96%,8.90%,23.48%,12.46%,8.72%,14.80%,5.28%,8.16%,1.18%,4.38%,13.92%,5.91%,3.48%,6.86%,"259,375","3,095","8,935","2,115","41,360","142,245","55,155","52,225","180,085","2,085","6,965","1,435","26,385","98,315","40,495","38,410","79,295","1,030","1,905",655,"14,770","43,885","14,575","13,695","49,280",545,985,215,"9,435","24,440","11,785","12,270","38,715",390,805,150,"6,995","19,225","9,590","9,830","10,305",90,85,25,"2,365","5,030","2,050","2,310","210,220","2,565","7,865","1,840","31,785","117,750","43,170","39,835","141,470","1,580","6,040","1,195","19,360","78,925","30,780","28,505","68,765",855,"1,720",580,"12,335","38,680","12,335","11,260","2,860,075","23,560","311,640","28,420","202,405","1,438,680","783,040","443,155","1,463,365","11,940","161,520","14,640","102,980","731,995","403,545","248,750","1,396,935","11,545","150,035","13,625","99,315","706,650","379,515","194,365","281,815","3,015","12,695","1,660","31,075","151,475","75,445","86,485","186,115","1,870","8,920","1,075","20,430","98,680","50,645","56,160","95,670",880,"3,690",450,"10,500","52,700","24,725","30,225","2,578,425","20,465","298,870","26,585","171,130","1,287,010","707,615","356,675","1,277,125","9,830","152,465","13,430","82,450","633,200","352,785","192,540","1,301,220","10,475","146,200","13,035","88,600","653,950","354,770","164,095","1,300","1,780","3,410"
Colorado,8,4,8,8.10%,11.49%,3.50%,4.65%,16.28%,11.79%,5.55%,11.17%,5.93,10.73,6.24,11.02%,13.67%,5.06%,5.06%,20.22%,15.45%,8.02%,14.75%,5.04%,8.73%,1.71%,2.38%,12.05%,7.95%,2.95%,7.10%,15.38%,12.24%,7.29%,0.00%,22.47%,17.81%,12.95%,14.02%,18.81%,9.09%,6.67%,0.00%,25.85%,21.65%,16.00%,17.43%,8.80%,9.68%,0.00%,0.00%,14.12%,10.96%,6.83%,7.92%,7.33%,11.39%,3.30%,4.43%,15.17%,11.07%,4.83%,10.63%,9.91%,13.23%,4.89%,5.63%,18.69%,14.47%,6.93%,14.03%,4.75%,8.49%,1.68%,2.30%,11.57%,7.68%,2.70%,6.91%,"31,305",425,420,40,"3,175","13,885","12,325","3,675","21,780",255,295,20,"2,030","9,275","9,145","2,610","9,515",155,105,10,"1,135","4,595","3,190","1,080","5,630",60,35,0,600,"2,170","2,545",675,"4,540",30,20,0,455,"1,695","2,105",535,"1,100",15,0,0,125,470,440,135,"25,645",360,380,35,"2,550","11,685","9,770","2,985","17,205",205,270,20,"1,545","7,545","6,990","2,045","8,385",135,100,10,985,"4,105","2,740",930,"386,635","3,700","12,015",860,"19,500","117,775","221,975","32,910","197,675","1,865","5,825",395,"10,040","60,020","114,035","17,700","188,960","1,775","6,155",420,"9,420","57,770","108,000","15,215","36,595",490,480,40,"2,670","12,185","19,645","4,815","24,135",330,300,15,"1,760","7,830","13,160","3,070","12,495",155,185,10,885,"4,290","6,440","1,705","350,000","3,160","11,500",790,"16,805","105,585","202,315","28,090","173,600","1,550","5,525",355,"8,265","52,155","100,835","14,580","176,490","1,590","5,955",400,"8,510","53,435","101,435","13,455",285,305,690
Connecticut,9,1,1,6.53%,8.14%,1.27%,6.90%,16.90%,12.69%,3.29%,10.63%,4.85,13.61,9.4,8.29%,9.35%,1.96%,6.67%,20.12%,15.25%,4.60%,12.32%,4.67%,5.61%,0.35%,0.00%,13.09%,10.06%,1.94%,8.69%,14.40%,3.23%,1.80%,0.00%,25.26%,22.71%,8.69%,18.58%,16.21%,0.00%,2.90%,0.00%,26.98%,25.42%,10.54%,20.66%,10.04%,0.00%,0.00%,0.00%,20.61%,17.23%,4.76%,14.17%,5.49%,7.61%,1.11%,7.41%,15.34%,11.00%,2.62%,8.97%,6.86%,10.00%,1.63%,8.33%,18.38%,12.89%,3.62%,9.90%,4.17%,5.43%,0.36%,0.00%,12.23%,9.14%,1.65%,7.69%,"17,935",90,145,10,"5,520","5,750","5,905","1,070","11,660",50,110,5,"3,370","3,525","4,235",655,"6,270",30,20,0,"2,080","2,230","1,690",410,"4,605",5,10,0,"1,220","1,465","1,690",315,"3,460",0,10,0,885,"1,060","1,370",220,"1,070",0,0,0,305,385,305,85,"13,335",70,120,10,"4,275","4,270","4,195",750,"8,180",40,85,5,"2,470","2,440","2,860",415,"5,150",25,20,0,"1,760","1,820","1,335",315,"274,790","1,105","11,385",145,"32,660","45,300","179,390","10,070","140,645",535,"5,625",75,"16,750","23,120","92,120","5,315","134,155",535,"5,775",70,"15,885","22,165","87,290","4,720","31,990",155,555,5,"4,830","6,450","19,445","1,695","21,345",70,345,5,"3,280","4,170","12,995","1,065","10,655",40,160,5,"1,480","2,235","6,405",600,"242,765",920,"10,805",135,"27,870","38,815","159,970","8,360","119,325",400,"5,220",60,"13,440","18,935","79,110","4,190","123,450",460,"5,530",65,"14,385","19,910","80,870","4,095",170,205,405
Delaware,10,3,5,15.17%,9.09%,2.99%,0.00%,26.15%,15.41%,9.11%,15.60%,-0.02,17.03,6.29,19.04%,3.45%,4.80%,0.00%,31.18%,20.55%,12.08%,19.90%,11.07%,0.00%,1.46%,0.00%,20.68%,10.56%,5.97%,9.26%,26.37%,14.29%,0.00%,,36.68%,25.52%,17.56%,18.67%,30.04%,0.00%,0.00%,,40.30%,28.10%,21.21%,22.92%,19.21%,0.00%,0.00%,,28.46%,18.31%,10.86%,20.83%,13.45%,2.22%,3.13%,0.00%,24.08%,13.82%,8.00%,13.38%,16.83%,4.17%,4.15%,0.00%,28.55%,18.68%,10.59%,16.22%,10.19%,0.00%,1.01%,0.00%,19.51%,9.10%,5.48%,8.03%,"9,960",25,65,0,"5,535","1,120","3,095",280,"6,405",5,55,0,"3,410",745,"2,100",195,"3,545",0,15,0,"2,120",385,990,75,"2,305",5,0,0,"1,335",245,685,70,"1,715",0,0,0,955,170,545,55,585,0,0,0,360,65,145,25,"7,650",5,65,0,"4,220",870,"2,405",190,"4,700",5,45,0,"2,440",565,"1,570",120,"2,950",0,10,0,"1,750",300,835,55,"65,645",275,"2,175",20,"21,170","7,270","33,960","1,795","33,640",145,"1,145",10,"10,935","3,625","17,385",980,"32,010",135,"1,025",5,"10,250","3,645","16,595",810,"8,740",35,75,0,"3,640",960,"3,900",375,"5,710",25,50,0,"2,370",605,"2,570",240,"3,045",10,25,0,"1,265",355,"1,335",120,"56,895",225,"2,080",15,"17,525","6,295","30,045","1,420","27,925",120,"1,085",5,"8,545","3,025","14,820",740,"28,960",115,990,5,"8,970","3,295","15,240",685,35,35,90
Florida,12,3,5,18.99%,17.18%,3.34%,12.78%,30.82%,18.80%,13.71%,10.29%,3.47,17.11,5.1,25.57%,22.53%,4.99%,15.60%,38.64%,26.15%,19.50%,13.61%,12.19%,10.87%,1.65%,9.32%,22.91%,11.17%,7.62%,6.49%,37.10%,33.33%,9.62%,21.05%,31.20%,55.01%,29.48%,15.13%,44.15%,37.80%,10.95%,23.08%,37.92%,63.01%,36.29%,18.50%,22.93%,13.89%,6.06%,20.00%,17.51%,39.37%,15.60%,9.28%,16.45%,15.09%,3.08%,11.59%,30.75%,13.86%,11.59%,9.72%,21.99%,19.38%,4.45%,13.83%,38.79%,19.33%,16.42%,12.96%,11.21%,10.31%,1.48%,7.34%,23.48%,8.64%,6.93%,6.25%,"235,440",865,"1,060",145,"87,255","66,050","73,260","6,755","161,180",570,800,85,"55,035","46,775","53,405","4,720","74,265",270,260,55,"32,240","19,255","19,870","2,010","56,750",210,150,20,"12,950","23,200","18,685",935,"45,065",155,115,15,"10,515","17,610","15,445",740,"11,670",25,30,5,"2,415","5,600","3,250",200,"178,710",660,930,120,"74,305","42,845","54,610","5,780","116,125",405,665,65,"44,500","29,175","37,980","3,975","62,590",235,225,40,"29,800","13,670","16,615","1,800","1,239,530","5,035","31,765","1,135","283,145","351,260","534,465","65,650","630,280","2,530","16,020",545,"142,440","178,845","273,845","34,675","609,255","2,485","15,765",590,"140,715","172,420","260,600","30,975","152,975",630,"1,560",95,"41,510","42,175","63,390","6,180","102,080",410,"1,050",65,"27,730","27,950","42,565","4,000","50,885",180,495,25,"13,790","14,225","20,835","2,155","1,086,555","4,375","30,205","1,035","241,630","309,095","471,045","59,465","528,195","2,090","14,935",470,"114,730","150,895","231,305","30,660","558,380","2,280","15,250",525,"126,925","158,185","239,775","28,810",565,525,"1,315"
Georgia,13,3,5,12.56%,8.98%,2.71%,7.19%,21.26%,10.22%,6.67%,10.65%,2.31,14.6,3.55,16.30%,9.52%,3.97%,4.94%,26.57%,13.55%,9.52%,13.89%,8.70%,4.33%,1.28%,6.33%,15.88%,6.61%,3.64%,6.53%,19.19%,5.56%,3.62%,25.00%,28.19%,15.00%,11.88%,13.24%,22.43%,0.00%,4.26%,100.00%,31.81%,17.82%,14.76%,14.91%,12.39%,0.00%,1.43%,,20.16%,8.10%,5.38%,7.26%,11.78%,8.01%,2.59%,5.70%,20.35%,9.63%,6.06%,10.41%,15.29%,9.76%,3.76%,5.48%,25.58%,12.88%,8.68%,13.65%,8.41%,4.71%,1.13%,4.94%,15.46%,6.42%,3.49%,6.35%,"105,075",180,785,60,"67,340","8,975","25,135","1,970","69,415",90,590,20,"42,405","6,115","18,415","1,395","35,710",45,180,25,"24,945","2,825","6,675",550,"17,105",10,40,5,"10,545","1,275","4,685",235,"13,440",0,30,5,"8,030",995,"3,920",170,"3,620",0,5,0,"2,450",230,695,45,"88,015",145,720,45,"56,820","7,640","20,455","1,735","55,930",80,530,20,"34,365","5,080","14,495","1,210","32,060",45,155,20,"22,410","2,560","5,955",495,"836,300","2,005","28,930",835,"316,690","87,845","376,995","18,500","425,770",945,"14,845",405,"159,590","45,115","193,485","10,045","410,540","1,040","14,065",395,"157,105","42,760","183,520","8,420","89,140",180,"1,105",20,"37,405","8,500","39,445","1,775","59,910",110,705,5,"25,245","5,585","26,550","1,140","29,220",50,350,0,"12,150","2,840","12,915",620,"747,230","1,810","27,810",790,"279,235","79,350","337,515","16,660","365,880",820,"14,110",365,"134,350","39,455","166,915","8,865","381,350",955,"13,695",385,"144,955","39,885","170,580","7,790",470,430,980
