Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Corporal punishment for males,123,65.8,DS,1.1,121,64.7,0,0,DS,1.1,DS,1.1,71,38.8,44,24,0,0,DS,1.1,DS,1.1,"3,702",39,2,3
Corporal punishment for females,64,34.2,DS,1.1,62,33.2,0,0,0,0,0,0,48,26.2,9,4.9,0,0,5,2.7,DS,1.1,"3,702",39,2,3
Corporal punishment total,187,100,4,2.1,183,97.9,0,0,DS,1.1,DS,1.1,119,65,53,29,0,0,7,3.8,4,2.1,"3,702",39,2,3
One or more in-school suspensions for males,"15,327",75.3,846,4.2,"14,481",71.1,23,0.1,21,0.1,412,2.1,"4,094",21.2,"9,234",47.9,DS,0,695,3.6,184,0.9,"3,702",39,2,3
One or more in-school suspensions for females,"5,034",24.7,228,1.1,"4,806",23.6,5,0,11,0.1,150,0.8,"1,712",8.9,"2,702",14,DS,0,224,1.2,54,0.3,"3,702",39,2,3
One or more in-school suspensions total,"20,361",100,"1,074",5.3,"19,287",94.7,28,0.1,32,0.2,562,2.9,"5,806",30.1,"11,936",61.9,4,0,919,4.8,238,1.2,"3,702",39,2,3
Only one out-of-school suspension for males,"13,556",76.7,624,3.5,"12,932",73.2,16,0.1,29,0.2,447,2.6,"4,248",25.1,"7,517",44.5,6,0,669,4,162,0.9,"3,702",39,2,3
Only one out-of-school suspension for females,"4,118",23.3,148,0.8,"3,970",22.5,13,0.1,14,0.1,164,1,"1,618",9.6,"1,946",11.5,DS,0,213,1.3,55,0.3,"3,702",39,2,3
Only one out-of-school suspension total,"17,674",100,772,4.4,"16,902",95.6,29,0.2,43,0.3,611,3.6,"5,866",34.7,"9,463",56,8,0,882,5.2,217,1.2,"3,702",39,2,3
More than one out-of-school suspension for males,"12,055",80.1,451,3,"11,604",77.1,13,0.1,15,0.1,379,2.6,"5,091",35.1,"5,429",37.5,DS,0,675,4.7,157,1,"3,702",39,2,3
More than one out-of-school suspension for females,"2,986",19.9,100,0.7,"2,886",19.2,DS,0,4,0,83,0.6,"1,607",11.1,"1,010",7,0,0,180,1.2,29,0.2,"3,702",39,2,3
More than one out-of-school suspension total,"15,041",100,551,3.7,"14,490",96.3,15,0.1,19,0.1,462,3.2,"6,698",46.2,"6,439",44.4,DS,0,855,5.9,186,1.2,"3,702",39,2,3
One or more out-of-school suspensions for males,"25,591",78.3,"1,071",3.3,"24,520",75,28,0.1,44,0.1,827,2.6,"9,318",29.7,"12,951",41.3,8,0,"1,344",4.3,318,1,"3,702",39,2,3
One or more out-of-school suspensions for females,"7,101",21.7,248,0.8,"6,853",21,14,0,18,0.1,245,0.8,"3,228",10.3,"2,956",9.4,DS,0,390,1.2,85,0.3,"3,702",39,2,3
One or more out-of-school suspensions total,"32,692",100,"1,319",4,"31,373",96,42,0.1,62,0.2,"1,072",3.4,"12,546",40,"15,907",50.7,10,0,"1,734",5.5,403,1.2,"3,702",39,2,3
