Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Corporal punishment for males,"1,528",83.6,5,0.3,"1,523",83.4,440,24.2,DS,0.1,46,2.5,97,5.3,895,49.2,5,0.3,38,2.1,15,0.8,"1,774",40,3,7
Corporal punishment for females,299,16.4,DS,0.1,297,16.3,105,5.8,0,0,7,0.4,18,1,162,8.9,0,0,5,0.3,DS,0.1,"1,774",40,3,7
Corporal punishment total,"1,827",100,7,0.4,"1,820",99.6,545,29.9,DS,0.1,53,2.9,115,6.3,"1,057",58.1,5,0.3,43,2.4,17,0.9,"1,774",40,3,7
One or more in-school suspensions for males,"7,158",76.5,99,1.1,"7,059",75.4,"1,283",13.9,21,0.2,682,7.4,"1,304",14.1,"3,577",38.7,13,0.1,179,1.9,235,2.5,"1,774",40,3,7
One or more in-school suspensions for females,"2,203",23.5,27,0.3,"2,176",23.2,434,4.7,8,0.1,195,2.1,462,5,"1,017",11,DS,0,58,0.6,83,0.9,"1,774",40,3,7
One or more in-school suspensions total,"9,361",100,126,1.3,"9,235",98.7,"1,717",18.6,29,0.3,877,9.5,"1,766",19.1,"4,594",49.7,15,0.2,237,2.6,318,3.4,"1,774",40,3,7
Only one out-of-school suspension for males,"4,358",78.3,50,0.9,"4,308",77.4,692,12.6,16,0.3,509,9.2,993,18,"1,972",35.8,8,0.1,118,2.1,266,4.8,"1,774",40,3,7
Only one out-of-school suspension for females,"1,210",21.7,12,0.2,"1,198",21.5,221,4,4,0.1,131,2.4,320,5.8,484,8.8,0,0,38,0.7,71,1.3,"1,774",40,3,7
Only one out-of-school suspension total,"5,568",100,62,1.1,"5,506",98.9,913,16.6,20,0.4,640,11.6,"1,313",23.8,"2,456",44.6,8,0.1,156,2.8,337,6.1,"1,774",40,3,7
More than one out-of-school suspension for males,"2,772",82.3,26,0.8,"2,746",81.5,403,12.1,5,0.1,290,8.7,706,21.1,"1,271",38.1,DS,0.1,69,2.1,149,4.4,"1,774",40,3,7
More than one out-of-school suspension for females,598,17.7,4,0.1,594,17.6,84,2.5,DS,0.1,66,2,210,6.3,222,6.6,0,0,10,0.3,43,1.3,"1,774",40,3,7
More than one out-of-school suspension total,"3,370",100,30,0.9,"3,340",99.1,487,14.6,7,0.2,356,10.7,916,27.4,"1,493",44.7,DS,0.1,79,2.4,192,5.7,"1,774",40,3,7
One or more out-of-school suspensions for males,"7,128",79.8,74,0.8,"7,054",78.9,"1,094",12.4,20,0.2,793,9,"1,699",19.2,"3,252",36.8,11,0.1,185,2.1,416,4.7,"1,774",40,3,7
One or more out-of-school suspensions for females,"1,808",20.2,18,0.2,"1,790",20,305,3.4,7,0.1,196,2.2,530,6,704,8,0,0,48,0.5,113,1.3,"1,774",40,3,7
One or more out-of-school suspensions total,"8,936",100,92,1,"8,844",99,"1,399",15.8,27,0.3,989,11.2,"2,229",25.2,"3,956",44.7,11,0.1,233,2.6,529,5.9,"1,774",40,3,7
Expulsions with educational services for males,560,82.2,8,1.2,552,81.1,115,17.1,0,0,27,4,139,20.7,245,36.5,DS,0.3,24,3.6,12,1.8,"1,774",40,3,7
Expulsions with educational services for females,121,17.8,DS,0.3,119,17.5,21,3.1,0,0,11,1.6,32,4.8,53,7.9,0,0,DS,0.3,4,0.6,"1,774",40,3,7
Expulsions with educational services total,681,100,10,1.5,671,98.5,136,20.3,0,0,38,5.7,171,25.5,298,44.4,DS,0.3,26,3.9,16,2.3,"1,774",40,3,7
Expulsions without educational services for males,817,74.9,0,0,817,74.9,116,10.6,DS,0.2,126,11.5,341,31.3,174,15.9,DS,0.2,56,5.1,0,0,"1,774",40,3,7
Expulsions without educational services for females,274,25.1,0,0,274,25.1,33,3,0,0,34,3.1,125,11.5,56,5.1,DS,0.2,24,2.2,0,0,"1,774",40,3,7
Expulsions without educational services total,"1,091",100,0,0,"1,091",100,149,13.7,DS,0.2,160,14.7,466,42.7,230,21.1,4,0.4,80,7.3,0,0,"1,774",40,3,7
Expulsions with or without educational services for males,"1,371",77.6,8,0.5,"1,363",77.2,230,13.1,DS,0.1,152,8.7,480,27.3,418,23.8,DS,0.1,79,4.5,12,0.7,"1,774",40,3,7
Expulsions with or without educational services for females,395,22.4,DS,0.1,393,22.3,55,3.1,0,0,45,2.6,155,8.8,109,6.2,DS,0.1,27,1.5,4,0.2,"1,774",40,3,7
