Discipline	Gender	Students Without Disabilities		Race/Ethnicity of Students Without Disabilities														English Language Learners Without Disabilities 		Number of Schoolsa	Percent of Schools Reporting 
				"American Indian or
Alaska Native"		Asian		Hispanic or Latino of any race		Black or African American		White		Native Hawaiian or Other Pacific Islander		Two or more races					
		Number	Percent	Number	Percent 	Number	Percent 	Number	Percent 	Number	Percent 	Number	Percent 	Number	Percent 	Number	Percent 	Number	Percent 		
	Male	"19,011"	79.7	177	0.7	21	0.1	591	2.5	"5,974"	25	"12,069"	50.6	7	0	172	0.7	253	1.1	"1,432"	100
Corporal punishment	Female	"4,852"	20.3	51	0.2	3-Jan	0	108	0.5	"2,049"	8.6	"2,591"	10.9	3-Jan	0	49	0.2	61	0.3	"1,432"	100
	Total	"23,863"	100	228	1	23	0.1	699	2.9	"8,023"	33.6	"14,660"	61.4	9	0	221	0.9	314	1.3	"1,432"	100
	Male	"36,655"	63.1	194	0.3	126	0.2	"1,439"	2.5	"17,220"	29.7	"17,413"	30	10	0	253	0.4	428	0.7	"1,432"	100
One or more in-school suspensions	Female	"21,412"	36.9	115	0.2	94	0.2	784	1.4	"11,462"	19.7	"8,799"	15.2	12	0	146	0.3	219	0.4	"1,432"	100
	Total	"58,067"	100	309	0.5	220	0.4	"2,223"	3.8	"28,682"	49.4	"26,212"	45.1	22	0	399	0.7	647	1.1	"1,432"	100
	Male	"21,957"	63.7	151	0.4	64	0.2	604	1.8	"11,881"	34.5	"9,084"	26.4	9	0	164	0.5	192	0.6	"1,432"	100
Only one out-of-school suspension	Female	"12,513"	36.3	68	0.2	30	0.1	202	0.6	"7,970"	23.1	"4,171"	12.1	5	0	67	0.2	47	0.1	"1,432"	100
	Total	"34,470"	100	219	0.6	94	0.3	806	2.3	"19,851"	57.6	"13,255"	38.5	14	0	231	0.7	239	0.7	"1,432"	100
	Male	"17,148"	65.7	80	0.3	57	0.2	241	0.9	"11,821"	45.3	"4,846"	18.6	3-Jan	0	101	0.4	69	0.3	"1,432"	100
More than one out-of-school suspension	Female	"8,937"	34.3	45	0.2	18	0.1	80	0.3	"7,090"	27.2	"1,667"	6.4	3-Jan	0	35	0.1	16	0.1	"1,432"	100
	Total	"26,085"	100	125	0.5	75	0.3	321	1.2	"18,911"	72.5	"6,513"	25	4	0	136	0.5	85	0.3	"1,432"	100
	Male	"39,099"	64.6	233	0.4	121	0.2	849	1.4	"23,695"	39.1	"13,923"	23	12	0	266	0.4	263	0.4	"1,432"	100
One or more out-of-school suspensions	Female	"21,434"	35.4	110	0.2	48	0.1	280	0.5	"15,053"	24.9	"5,834"	9.6	6	0	103	0.2	65	0.1	"1,432"	100
	Total	"60,533"	100	343	0.6	169	0.3	"1,129"	1.9	"38,748"	64	"19,757"	32.6	18	0	369	0.6	328	0.5	"1,432"	100
	Male	305	73.8	3-Jan	0.5	3-Jan	0.5	14	3.4	186	45	91	22	3-Jan	0.5	8	1.9	6	1.5	"1,432"	100
Expulsions with educational services	Female	108	26.2	0	0	3-Jan	0.5	3-Jan	0.5	59	14.3	43	10.4	3-Jan	0.5	0	0	0	0	"1,432"	100
	Total	413	100	3-Jan	0.5	4	1	16	3.9	245	59.3	134	32.4	4	1	8	1.9	6	1.5	"1,432"	100
	Male	308	74.4	3-Jan	0.5	0	0	4	1	185	44.7	115	27.8	0	0	3-Jan	0.5	3-Jan	0.5	"1,432"	100
Expulsions without educational services	Female	106	25.6	0	0	0	0	3-Jan	0.5	56	13.5	46	11.1	0	0	3-Jan	0.5	0	0	"1,432"	100
	Total	414	100	3-Jan	0.5	0	0	6	1.4	241	58.2	161	38.9	0	0	4	1	3-Jan	0.5	"1,432"	100
	Male	608	73.9	3-Jan	0.2	3-Jan	0.2	17	2.1	369	44.8	205	24.9	3-Jan	0.2	11	1.3	9	1.1	"1,432"	100
Expulsions with or without educational services	Female	215	26.1	0	0	3-Jan	0.2	4	0.5	116	14.1	89	10.8	3-Jan	0.2	3-Jan	0.2	0	0	"1,432"	100
	Total	823	100	3-Jan	0.2	4	0.5	21	2.6	485	58.9	294	35.7	4	0.5	13	1.6	9	1.1	"1,432"	100
	Male	109	85.2	3-Jan	1.6	0	0	3-Jan	1.6	45	35.2	58	45.3	0	0	3-Jan	1.6	3-Jan	1.6	"1,432"	100
Expulsions under zero-tolerance policies	Female	19	14.8	0	0	0	0	0	0	6	4.7	11	8.6	0	0	3-Jan	1.6	0	0	"1,432"	100
	Total	128	100	3-Jan	1.6	0	0	3-Jan	1.6	51	39.8	69	53.9	0	0	4	3.1	3-Jan	1.6	"1,432"	100
	Male	"1,272"	67.7	6	0.3	10	0.5	20	1.1	650	34.6	573	30.5	0	0	13	0.7	6	0.3	"1,432"	100
Referral to law enforcement	Female	608	32.3	7	0.4	0	0	7	0.4	396	21.1	196	10.4	0	0	3-Jan	0.1	0	0	"1,432"	100
	Total	"1,880"	100	13	0.7	10	0.5	27	1.4	"1,046"	55.6	769	40.9	0	0	15	0.8	6	0.3	"1,432"	100
	Male	683	67.2	3-Jan	0.2	6	0.6	8	0.8	406	39.9	253	24.9	3-Jan	0.2	6	0.6	3-Jan	0.2	"1,432"	100
School-related arrests	Female	334	32.8	6	0.6	0	0	3-Jan	0.2	242	23.8	84	8.3	0	0	0	0	0	0	"1,432"	100
	Total	"1,017"	100	8	0.8	6	0.6	10	1	648	63.7	337	33.1	3-Jan	0.2	6	0.6	3-Jan	0.2	"1,432"	100
																					
																					
																					
																					
																					
																					
																					
																					
		"23,863"		228		23		699		"8,023"											
