Grade by gender,Total Students,Percent of total students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,"1,668",65.2,8,0.3,15,0.6,182,7.1,425,16.6,993,38.8,DS,0.1,43,1.7,292,11.4,6,0.2,150,5.9,726,1,3,6
Kindergarten females,892,34.8,DS,0.1,6,0.2,91,3.6,228,8.9,540,21.1,DS,0.1,23,0.9,121,4.7,DS,0.1,68,2.7,726,1,3,6
Kindergarten total,"2,560",100,10,0.4,21,0.8,273,10.7,653,25.5,"1,533",59.9,4,0.2,66,2.6,413,16.1,8,0.3,218,8.5,726,1,3,6
First grade males,"1,575",61.5,10,0.4,4,0.2,96,3.8,666,26,777,30.4,0,0,22,0.9,209,8.2,6,0.2,54,2.1,745,1,3,6
First grade females,984,38.5,7,0.3,DS,0.1,91,3.6,342,13.4,518,20.2,DS,0.1,22,0.9,94,3.7,DS,0.1,59,2.3,745,1,3,6
First grade total,"2,559",100,17,0.7,6,0.2,187,7.3,"1,008",39.4,"1,295",50.6,DS,0.1,44,1.7,303,11.8,8,0.3,113,4.4,745,1,3,6
2nd grade males,564,61,DS,0.2,DS,0.2,32,3.5,238,25.7,272,29.4,DS,0.2,16,1.7,78,8.4,DS,0.2,22,2.4,746,1,3,6
2nd grade females,361,39,DS,0.2,0,0,27,2.9,155,16.8,171,18.5,0,0,6,0.6,22,2.4,0,0,15,1.6,746,1,3,6
2nd grade total,925,100,4,0.4,DS,0.2,59,6.4,393,42.5,443,47.9,DS,0.2,22,2.4,100,10.8,DS,0.2,37,4,746,1,3,6
3rd grade male,321,55.6,DS,0.3,DS,0.3,23,4,168,29.1,122,21.1,DS,0.3,DS,0.3,45,7.8,5,0.9,15,2.6,747,1,3,6
3rd grade female,256,44.4,DS,0.3,0,0,21,3.6,123,21.3,102,17.7,0,0,8,1.4,26,4.5,DS,0.3,10,1.7,747,1,3,6
3rd grade total,577,100,4,0.7,DS,0.3,44,7.6,291,50.4,224,38.8,DS,0.3,10,1.7,71,12.3,7,1.2,25,4.3,747,1,3,6
4th grade male,262,63.1,DS,0.5,0,0,9,2.2,136,32.8,113,27.2,0,0,DS,0.5,26,6.3,DS,0.5,7,1.7,743,1,3,6
4th grade female,153,36.9,DS,0.5,DS,0.5,14,3.4,65,15.7,68,16.4,0,0,DS,0.5,17,4.1,DS,0.5,9,2.2,743,1,3,6
4th grade total,415,100,4,1,DS,0.5,23,5.5,201,48.4,181,43.6,0,0,4,1,43,10.4,4,1,16,3.9,743,1,3,6
5th grade male,326,62.5,DS,0.4,0,0,9,1.7,190,36.4,123,23.6,0,0,DS,0.4,42,8,DS,0.4,6,1.1,735,1,3,6
5th grade female,196,37.5,0,0,DS,0.4,9,1.7,121,23.2,62,11.9,0,0,DS,0.4,20,3.8,DS,0.4,8,1.5,735,1,3,6
5th grade total,522,100,DS,0.4,DS,0.4,18,3.4,311,59.6,185,35.4,0,0,4,0.8,62,11.9,4,0.8,14,2.7,735,1,3,6
6th grade male,560,76.4,DS,0.3,DS,0.3,10,1.4,263,35.9,281,38.3,0,0,DS,0.3,42,5.7,DS,0.3,4,0.5,563,1,3,6
6th grade female,173,23.6,7,1,0,0,8,1.1,83,11.3,73,10,0,0,DS,0.3,19,2.6,0,0,DS,0.3,563,1,3,6
6th grade total,733,100,9,1.2,DS,0.3,18,2.5,346,47.2,354,48.3,0,0,4,0.5,61,8.3,DS,0.3,6,0.8,563,1,3,6
7th grade male,928,68.5,7,0.5,DS,0.1,26,1.9,448,33.1,439,32.4,0,0,6,0.4,85,6.3,10,0.7,9,0.7,507,1,3,6
7th grade female,426,31.5,DS,0.1,DS,0.1,9,0.7,214,15.8,197,14.5,0,0,DS,0.1,28,2.1,DS,0.1,4,0.3,507,1,3,6
7th grade total,"1,354",100,9,0.7,4,0.3,35,2.6,662,48.9,636,47,0,0,8,0.6,113,8.3,12,0.9,13,1,507,1,3,6
8th grade male,807,68.7,7,0.6,DS,0.2,22,1.9,340,29,430,36.6,0,0,6,0.5,67,5.7,4,0.3,8,0.7,509,1,3,6
8th grade female,367,31.3,0,0,0,0,15,1.3,159,13.5,191,16.3,0,0,DS,0.2,17,1.4,DS,0.2,5,0.4,509,1,3,6
8th grade total,"1,174",100,7,0.6,DS,0.2,37,3.2,499,42.5,621,52.9,0,0,8,0.7,84,7.2,6,0.5,13,1.1,509,1,3,6
