"sep=,Discipline by gender"	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools 	State_ID	Region_ID	Division_ID
Corporal punishment males	"15,792"	78.6	149	0.7	"15,643"	77.9	44	0.2	29	0.1	638	3.2	"4,227"	21.2	"10,588"	53.2	7	0	110	0.6	165	0.8	"1,097"	5	3	7
Corporal punishment females	"4,291"	21.4	23	0.1	"4,268"	21.3	20	0.1	4	0	153	0.8	"1,681"	8.4	"2,390"	12	5	0	15	0.1	31	0.2	"1,097"	5	3	7
Corporal punishment total	"20,083"	100	172	0.9	"19,911"	99.1	64	0.3	33	0.2	791	4	"5,908"	29.7	"12,978"	65.2	12	0.1	125	0.6	196	1	"1,097"	5	3	7
One or more in-school suspensions males	"37,553"	66.5	374	0.7	"37,179"	65.8	192	0.3	176	0.3	"3,325"	5.9	"13,633"	24.3	"19,439"	34.7	123	0.2	291	0.5	"1,677"	3	"1,097"	5	3	7
One or more in-school suspensions females	"18,929"	33.5	96	0.2	"18,833"	33.3	103	0.2	82	0.1	"1,621"	2.9	"8,681"	15.5	"8,123"	14.5	58	0.1	165	0.3	793	1.4	"1,097"	5	3	7
One or more in-school suspensions total	"56,482"	100	470	0.8	"56,012"	99.2	295	0.5	258	0.5	"4,946"	8.8	"22,314"	39.8	"27,562"	49.2	181	0.3	456	0.8	"2,470"	4.4	"1,097"	5	3	7
Only one out-of-school suspension males	"14,953"	68	135	0.6	"14,818"	67.4	55	0.3	63	0.3	938	4.3	"6,654"	30.5	"6,974"	32	51	0.2	83	0.4	492	2.2	"1,097"	5	3	7
Only one out-of-school suspension females	"7,032"	32	47	0.2	"6,985"	31.8	20	0.1	16	0.1	386	1.8	"3,951"	18.1	"2,552"	11.7	20	0.1	40	0.2	182	0.8	"1,097"	5	3	7
Only one out-of-school suspension total	"21,985"	100	182	0.8	"21,803"	99.2	75	0.3	79	0.4	"1,324"	6.1	"10,605"	48.6	"9,526"	43.7	71	0.3	123	0.6	674	3.1	"1,097"	5	3	7
More than one out-of-school suspension males	"10,194"	70.4	106	0.7	"10,088"	69.7	47	0.3	43	0.3	745	5.2	"5,028"	35.1	"4,050"	28.3	66	0.5	109	0.8	472	3.3	"1,097"	5	3	7
