Grade by gender,Number of total students,Percent of total students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,"2,289",55.9,10,0.2,29,0.7,273,6.7,932,22.8,991,24.2,14,0.3,40,1,358,8.7,20,0.5,222,5.4,486,5,3,7
Kindergarten females,"1,803",44.1,DS,0,17,0.4,239,5.8,847,20.7,662,16.2,8,0.2,28,0.7,158,3.9,6,0.1,195,4.8,486,5,3,7
Kindergarten total,"4,092",100,12,0.3,46,1.1,512,12.5,"1,779",43.5,"1,653",40.4,22,0.5,68,1.7,516,12.6,26,0.6,417,10.2,486,5,3,7
1st grade males,"1,897",53.4,4,0.1,23,0.6,217,6.1,891,25.1,726,20.5,6,0.2,30,0.8,245,6.9,23,0.6,186,5.2,491,5,3,7
1st grade females,"1,653",46.6,5,0.1,28,0.8,184,5.2,812,22.9,603,17,5,0.1,16,0.5,122,3.4,13,0.4,170,4.8,491,5,3,7
1st grade total,"3,550",100,9,0.3,51,1.4,401,11.3,"1,703",48,"1,329",37.4,11,0.3,46,1.3,367,10.3,36,1,356,10,491,5,3,7
2nd grade males,"1,505",52.5,6,0.2,29,1,172,6,813,28.4,460,16.1,5,0.2,20,0.7,232,8.1,19,0.7,171,6,493,5,3,7
2nd grade females,"1,359",47.5,6,0.2,28,1,140,4.9,761,26.6,404,14.1,DS,0.1,18,0.6,95,3.3,11,0.4,136,4.7,493,5,3,7
2nd grade total,"2,864",100,12,0.4,57,2,312,10.9,"1,574",55,864,30.2,7,0.2,38,1.3,327,11.4,30,1,307,10.7,493,5,3,7
3rd grade males,"1,224",51.9,9,0.4,25,1.1,117,5,737,31.3,322,13.7,DS,0.1,12,0.5,182,7.7,19,0.8,124,5.3,494,5,3,7
3rd grade females,"1,133",48.1,7,0.3,23,1,133,5.6,673,28.6,284,12,DS,0.1,11,0.5,94,4,10,0.4,131,5.6,494,5,3,7
3rd grade total,"2,357",100,16,0.7,48,2,250,10.6,"1,410",59.8,606,25.7,4,0.2,23,1,276,11.7,29,1.2,255,10.8,494,5,3,7
4th grade males,"1,173",51.3,7,0.3,19,0.8,131,5.7,705,30.8,297,13,0,0,14,0.6,229,10,18,0.8,129,5.6,487,5,3,7
4th grade females,"1,114",48.7,DS,0.1,19,0.8,117,5.1,711,31.1,249,10.9,0,0,16,0.7,88,3.8,6,0.3,110,4.8,487,5,3,7
4th grade total,"2,287",100,9,0.4,38,1.7,248,10.8,"1,416",61.9,546,23.9,0,0,30,1.3,317,13.9,24,1,239,10.5,487,5,3,7
5th grade males,"1,166",52.3,4,0.2,23,1,119,5.3,724,32.5,281,12.6,DS,0.1,13,0.6,177,7.9,31,1.4,118,5.3,440,5,3,7
5th grade females,"1,062",47.7,DS,0.1,27,1.2,83,3.7,722,32.4,216,9.7,DS,0.1,10,0.4,77,3.5,7,0.3,84,3.8,440,5,3,7
5th grade total,"2,228",100,6,0.3,50,2.2,202,9.1,"1,446",64.9,497,22.3,4,0.2,23,1,254,11.4,38,1.7,202,9.1,440,5,3,7
6th grade males,"1,059",51.5,6,0.3,10,0.5,104,5.1,706,34.3,216,10.5,0,0,17,0.8,158,7.7,28,1.4,86,4.2,345,5,3,7
6th grade females,998,48.5,DS,0.1,13,0.6,85,4.1,726,35.3,165,8,DS,0.1,5,0.2,72,3.5,10,0.5,87,4.2,345,5,3,7
6th grade total,"2,057",100,8,0.4,23,1.1,189,9.2,"1,432",69.6,381,18.5,DS,0.1,22,1.1,230,11.2,38,1.8,173,8.4,345,5,3,7
7th grade males,"1,205",52.6,DS,0.1,15,0.7,92,4,761,33.2,324,14.1,0,0,11,0.5,159,6.9,30,1.3,74,3.2,309,5,3,7
7th grade females,"1,088",47.4,5,0.2,10,0.4,85,3.7,750,32.7,229,10,0,0,9,0.4,62,2.7,12,0.5,65,2.8,309,5,3,7
7th grade total,"2,293",100,7,0.3,25,1.1,177,7.7,"1,511",65.9,553,24.1,0,0,20,0.9,221,9.6,42,1.8,139,6.1,309,5,3,7
8th grade males,"1,192",54.1,DS,0.1,22,1,89,4,785,35.6,284,12.9,DS,0.1,8,0.4,163,7.4,33,1.5,64,2.9,309,5,3,7
8th grade females,"1,013",45.9,DS,0.1,19,0.9,92,4.2,681,30.9,208,9.4,DS,0.1,9,0.4,52,2.4,16,0.7,71,3.2,309,5,3,7
8th grade total,"2,205",100,4,0.2,41,1.9,181,8.2,"1,466",66.5,492,22.3,4,0.2,17,0.8,215,9.8,49,2.2,135,6.1,309,5,3,7
9th grade males,"1,920",55.6,DS,0.1,45,1.3,168,4.9,"1,091",31.6,600,17.4,0,0,14,0.4,216,6.3,37,1.1,100,2.9,308,5,3,7
9th grade females,"1,534",44.4,12,0.3,35,1,130,3.8,922,26.7,420,12.2,DS,0.1,13,0.4,102,3,18,0.5,76,2.2,308,5,3,7
9th grade total,"3,454",100,14,0.4,80,2.3,298,8.6,"2,013",58.3,"1,020",29.5,DS,0.1,27,0.8,318,9.2,55,1.6,176,5.1,308,5,3,7
10th grade males,"1,583",53.7,DS,0.1,40,1.4,154,5.2,928,31.5,436,14.8,12,0.4,11,0.4,211,7.2,27,0.9,125,4.2,298,5,3,7
10th grade females,"1,365",46.3,DS,0.1,39,1.3,123,4.2,811,27.5,369,12.5,11,0.4,10,0.3,97,3.3,18,0.6,104,3.5,298,5,3,7
10th grade total,"2,948",100,4,0.1,79,2.7,277,9.4,"1,739",59,805,27.3,23,0.8,21,0.7,308,10.4,45,1.5,229,7.8,298,5,3,7
11th grade males,"1,156",52.6,4,0.2,29,1.3,132,6,657,29.9,324,14.7,4,0.2,6,0.3,131,6,21,1,96,4.4,299,5,3,7
11th grade females,"1,041",47.4,DS,0.1,19,0.9,82,3.7,683,31.1,242,11,6,0.3,7,0.3,78,3.6,16,0.7,54,2.5,299,5,3,7
11th grade total,"2,197",100,6,0.3,48,2.2,214,9.7,"1,340",61,566,25.8,10,0.5,13,0.6,209,9.5,37,1.7,150,6.8,299,5,3,7
12th grade males,"1,103",51.7,6,0.3,28,1.3,100,4.7,643,30.2,320,15,DS,0.1,4,0.2,101,4.7,29,1.4,65,3,295,5,3,7
12th grade females,"1,029",48.3,DS,0.1,34,1.6,85,4,648,30.4,249,11.7,DS,0.1,9,0.4,63,3,14,0.7,55,2.6,295,5,3,7
12th grade total,"2,132",100,8,0.4,62,2.9,185,8.7,"1,291",60.6,569,26.7,4,0.2,13,0.6,164,7.7,43,2,120,5.6,295,5,3,7
