Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native of Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of White Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Hawaiian or other Pacific Islander Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of two or more races Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of two or more races Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools 	State_ID	Region_ID	Division_ID
Corporal punishment males	415	69.1	4	0.7	411	68.4	150	25.2	4	0.7	85	14.3	12	2	151	25.4	DS	0.3	7	1.2	4	0.7	"1,920"	4	4	8
Corporal punishment females	186	30.9	DS	0.3	184	30.6	57	9.6	4	0.7	28	4.7	5	0.8	88	14.8	0	0	DS	0.3	DS	0.3	"1,920"	4	4	8
Corporal punishment total	601	100	6	1	595	99	207	34.8	8	1.3	113	19	17	2.9	239	40.2	DS	0.3	9	1.5	6	1	"1,920"	4	4	8
One or more in-school suspensions males	"47,693"	69.8	355	0.5	"47,338"	69.3	"3,303"	4.9	512	0.8	"20,696"	30.5	"4,705"	6.9	"17,117"	25.2	234	0.3	771	1.1	"2,182"	3.2	"1,920"	4	4	8
One or more in-school suspensions females	"20,644"	30.2	98	0.1	"20,546"	30.1	"1,797"	2.6	176	0.3	"9,469"	13.9	"2,237"	3.3	"6,474"	9.5	78	0.1	315	0.5	630	0.9	"1,920"	4	4	8
One or more in-school suspensions total	"68,337"	100	453	0.7	"67,884"	99.3	"5,100"	7.5	688	1	"30,165"	44.4	"6,942"	10.2	"23,591"	34.8	312	0.5	"1,086"	1.6	"2,812"	4.1	"1,920"	4	4	8
Only one out-of-school suspension males	"30,629"	71.2	249	0.6	"30,380"	70.6	"2,150"	5	332	0.8	"13,493"	31.6	"3,017"	7.1	"10,672"	25	86	0.2	630	1.5	"1,692"	3.9	"1,920"	4	4	8
Only one out-of-school suspension females	"12,392"	28.8	84	0.2	"12,308"	28.6	"1,229"	2.9	112	0.3	"5,616"	13.2	"1,433"	3.4	"3,658"	8.6	27	0.1	233	0.5	471	1.1	"1,920"	4	4	8
Only one out-of-school suspension total	"43,021"	100	333	0.8	"42,688"	99.2	"3,379"	7.9	444	1	"19,109"	44.8	"4,450"	10.4	"14,330"	33.6	113	0.3	863	2	"2,163"	5	"1,920"	4	4	8
More than one out-of-school suspension males	"18,200"	76.7	73	0.3	"18,127"	76.4	"1,688"	7.1	133	0.6	"8,208"	34.7	"2,072"	8.8	"5,598"	23.7	54	0.2	374	1.6	973	4.1	"1,920"	4	4	8
