Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Natives Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number Black or African American Students Without Disabilities	Percent Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number Native Hawaiian or other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or other Pacific Islander Students Without Disabilities	Number Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment males	346	68.8	136	27	DS	0.4	75	14.9	10	2	119	23.7	DS	0.4	DS	0.4	DS	0.4	"1,920"	4	4	8
Corporal punishment females	157	31.2	53	10.5	DS	0.4	26	5.2	5	1	71	14.1	0	0	0	0	DS	0.4	"1,920"	4	4	8
Corporal punishment total	503	100	189	37.6	4	0.8	101	20.1	15	3	190	37.8	DS	0.4	DS	0.4	4	0.8	"1,920"	4	4	8
One or more in-school suspensions males	"38,314"	67.9	"2,684"	4.8	470	0.8	"16,893"	29.9	"3,752"	6.6	"13,716"	24.3	174	0.3	625	1.1	"1,702"	3	"1,920"	4	4	8
One or more in-school suspensions females	"18,127"	32.1	"1,590"	2.8	155	0.3	"8,452"	15	"1,928"	3.4	"5,656"	10	59	0.1	287	0.5	523	0.9	"1,920"	4	4	8
One or more in-school suspensions total	"56,441"	100	"4,274"	7.6	625	1.1	"25,345"	44.9	"5,680"	10.1	"19,372"	34.3	233	0.4	912	1.6	"2,225"	3.9	"1,920"	4	4	8
Only one out-of-school suspension males	"23,780"	69.2	"1,656"	4.8	287	0.8	"10,875"	31.6	"2,316"	6.7	"8,159"	23.7	70	0.2	417	1.2	"1,423"	4.1	"1,920"	4	4	8
Only one out-of-school suspension females	"10,587"	30.8	"1,069"	3.1	104	0.3	"4,963"	14.4	"1,214"	3.5	"3,029"	8.8	25	0.1	183	0.5	429	1.2	"1,920"	4	4	8
Only one out-of-school suspension total	"34,367"	100	"2,725"	7.9	391	1.1	"15,838"	46.1	"3,530"	10.3	"11,188"	32.6	95	0.3	600	1.7	"1,852"	5.4	"1,920"	4	4	8
More than one out-of-school suspension males	"13,655"	74.4	"1,243"	6.8	117	0.6	"6,283"	34.2	"1,578"	8.6	"4,127"	22.5	35	0.2	272	1.5	778	4.2	"1,920"	4	4	8
More than one out-of-school suspension females	"4,709"	25.6	598	3.3	29	0.2	"2,221"	12.1	551	3	"1,213"	6.6	16	0.1	81	0.4	199	1.1	"1,920"	4	4	8
More than one out-of-school suspension total	"18,364"	100	"1,841"	10	146	0.8	"8,504"	46.3	"2,129"	11.6	"5,340"	29.1	51	0.3	353	1.9	977	5.3	"1,920"	4	4	8
One or more out-of-school suspensions males	"37,429"	71	"2,888"	5.5	405	0.8	"17,168"	32.6	"3,889"	7.4	"12,290"	23.3	104	0.2	685	1.3	"2,188"	4.2	"1,920"	4	4	8
One or more out-of-school suspensions females	"15,284"	29	"1,670"	3.2	134	0.3	"7,176"	13.6	"1,768"	3.4	"4,235"	8	41	0.1	260	0.5	626	1.2	"1,920"	4	4	8
One or more out-of-school suspensions total	"52,713"	100	"4,558"	8.6	539	1	"24,344"	46.2	"5,657"	10.7	"16,525"	31.3	145	0.3	945	1.8	"2,814"	5.3	"1,920"	4	4	8
Expulsions with educational services males	95	72	32	24.2	DS	1.5	23	17.4	9	6.8	29	22	0	0	0	0	5	3.8	"1,920"	4	4	8
Expulsions with educational services females	37	28	19	14.4	0	0	7	5.3	DS	1.5	7	5.3	0	0	DS	1.5	DS	1.5	"1,920"	4	4	8
Expulsions with educational services total	132	100	51	38.6	DS	1.5	30	22.7	11	8.3	36	27.3	0	0	DS	1.5	7	5.3	"1,920"	4	4	8
Expulsions without educational services males	383	77.2	48	9.7	DS	0.4	162	32.7	27	5.4	138	27.8	0	0	6	1.2	7	1.4	"1,920"	4	4	8
Expulsions without educational services females	113	22.8	21	4.2	0	0	41	8.3	7	1.4	42	8.5	0	0	DS	0.4	DS	0.4	"1,920"	4	4	8
Expulsions without educational services total	496	100	69	13.9	DS	0.4	203	40.9	34	6.9	180	36.3	0	0	8	1.6	9	1.8	"1,920"	4	4	8
Expulsions with or without educational services males	477	75.5	80	12.7	4	0.6	186	29.4	37	5.9	165	26.1	0	0	5	0.8	12	1.9	"1,920"	4	4	8
Expulsions with or without educational services females	155	24.5	40	6.3	0	0	51	8.1	10	1.6	52	8.2	0	0	DS	0.3	DS	0.3	"1,920"	4	4	8
Expulsions with or without educational services total	632	100	120	19	4	0.6	237	37.5	47	7.4	217	34.3	0	0	7	1.1	14	2.2	"1,920"	4	4	8
Expulsions under zero-tolerance policies males	213	73.7	37	12.8	DS	0.7	77	26.6	14	4.8	81	28	0	0	DS	0.7	4	1.4	"1,920"	4	4	8
Expulsions under zero-tolerance policies females	76	26.3	13	4.5	0	0	21	7.3	DS	0.7	38	13.1	0	0	DS	0.7	0	0	"1,920"	4	4	8
Expulsions under zero-tolerance policies total	289	100	50	17.3	DS	0.7	98	33.9	16	5.5	119	41.2	0	0	4	1.4	4	1.4	"1,920"	4	4	8
Referral to law enforcement males	"2,717"	73.9	430	11.7	28	0.8	"1,181"	32.1	170	4.6	858	23.3	DS	0.1	48	1.3	49	1.3	"1,920"	4	4	8
Referral to law enforcement females	961	26.1	196	5.3	4	0.1	410	11.1	56	1.5	279	7.6	DS	0.1	14	0.4	15	0.4	"1,920"	4	4	8
Referral to law enforcement total	"3,678"	100	626	17	32	0.9	"1,591"	43.3	226	6.1	"1,137"	30.9	4	0.1	62	1.7	64	1.7	"1,920"	4	4	8
School-related arrests males	894	73	143	11.7	9	0.7	402	32.8	53	4.3	271	22.1	DS	0.2	14	1.1	6	0.5	"1,920"	4	4	8
School-related arrests females	331	27	60	4.9	DS	0.2	141	11.5	23	1.9	95	7.8	0	0	10	0.8	DS	0.2	"1,920"	4	4	8
School-related arrests total	"1,225"	100	203	16.6	11	0.9	543	44.3	76	6.2	366	29.9	DS	0.2	24	2	8	0.7	"1,920"	4	4	8
