Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,"1,102",65,97,5.7,16,0.9,478,28.2,55,3.2,419,24.7,8,0.5,29,1.7,200,11.8,DS,0.1,199,11.7,"1,142",4,4,8
Kindergarten females,594,35,66,3.9,8,0.5,267,15.7,24,1.4,216,12.7,5,0.3,8,0.5,89,5.2,DS,0.1,127,7.5,"1,142",4,4,8
Kindergarten total,"1,696",100,163,9.6,24,1.4,745,43.9,79,4.7,635,37.4,13,0.8,37,2.2,289,17,4,0.2,326,19.2,"1,142",4,4,8
1st grade males,"1,047",57.1,96,5.2,15,0.8,449,24.5,53,2.9,411,22.4,4,0.2,19,1,152,8.3,DS,0.1,163,8.9,"1,144",4,4,8
1st grade females,786,42.9,65,3.5,7,0.4,328,17.9,31,1.7,342,18.7,DS,0.1,11,0.6,73,4,DS,0.1,127,6.9,"1,144",4,4,8
1st grade total,"1,833",100,161,8.8,22,1.2,777,42.4,84,4.6,753,41.1,6,0.3,30,1.6,225,12.3,4,0.2,290,15.8,"1,144",4,4,8
2nd grade males,484,54.1,46,5.1,11,1.2,206,23,18,2,192,21.5,DS,0.2,9,1,60,6.7,0,0,81,9.1,"1,144",4,4,8
2nd grade females,411,45.9,23,2.6,6,0.7,162,18.1,24,2.7,182,20.3,DS,0.2,12,1.3,37,4.1,0,0,53,5.9,"1,144",4,4,8
2nd grade total,895,100,69,7.7,17,1.9,368,41.1,42,4.7,374,41.8,4,0.4,21,2.3,97,10.8,0,0,134,15,"1,144",4,4,8
3rd grade males,329,53.2,26,4.2,8,1.3,137,22.1,21,3.4,128,20.7,DS,0.3,7,1.1,46,7.4,DS,0.3,44,7.1,"1,148",4,4,8
3rd grade females,290,46.8,11,1.8,12,1.9,97,15.7,16,2.6,150,24.2,DS,0.3,DS,0.3,17,2.7,DS,0.3,35,5.7,"1,148",4,4,8
3rd grade total,619,100,37,6,20,3.2,234,37.8,37,6,278,44.9,4,0.6,9,1.5,63,10.2,4,0.6,79,12.8,"1,148",4,4,8
4th grade males,248,56.8,4,0.9,5,1.1,87,19.9,13,3,135,30.9,0,0,4,0.9,23,5.3,DS,0.5,32,7.3,"1,147",4,4,8
4th grade females,189,43.2,9,2.1,5,1.1,41,9.4,11,2.5,121,27.7,0,0,DS,0.5,12,2.7,0,0,7,1.6,"1,147",4,4,8
4th grade total,437,100,13,3,10,2.3,128,29.3,24,5.5,256,58.6,0,0,6,1.4,35,8,DS,0.5,39,8.9,"1,147",4,4,8
5th grade males,268,60.1,11,2.5,5,1.1,95,21.3,12,2.7,141,31.6,0,0,4,0.9,40,9,DS,0.4,25,5.6,"1,153",4,4,8
5th grade females,178,39.9,6,1.3,6,1.3,39,8.7,8,1.8,117,26.2,0,0,DS,0.4,14,3.1,DS,0.4,9,2,"1,153",4,4,8
5th grade total,446,100,17,3.8,11,2.5,134,30,20,4.5,258,57.8,0,0,6,1.3,54,12.1,4,0.9,34,7.6,"1,153",4,4,8
6th grade males,333,59.4,18,3.2,8,1.4,107,19.1,19,3.4,177,31.6,DS,0.4,DS,0.4,36,6.4,8,1.4,8,1.4,"1,002",4,4,8
6th grade females,228,40.6,11,2,6,1.1,61,10.9,13,2.3,135,24.1,0,0,DS,0.4,16,2.9,DS,0.4,9,1.6,"1,002",4,4,8
6th grade total,561,100,29,5.2,14,2.5,168,29.9,32,5.7,312,55.6,DS,0.4,4,0.7,52,9.3,10,1.8,17,3,"1,002",4,4,8
7th grade males,496,60.9,50,6.1,11,1.3,164,20.1,31,3.8,231,28.3,DS,0.2,7,0.9,51,6.3,7,0.9,4,0.5,776,4,4,8
7th grade females,319,39.1,27,3.3,8,1,115,14.1,16,2,151,18.5,0,0,DS,0.2,22,2.7,DS,0.2,6,0.7,776,4,4,8
7th grade total,815,100,77,9.4,19,2.3,279,34.2,47,5.8,382,46.9,DS,0.2,9,1.1,73,9,9,1.1,10,1.2,776,4,4,8
8th grade males,485,64.2,39,5.2,4,0.5,167,22.1,30,4,232,30.7,0,0,13,1.7,86,11.4,10,1.3,14,1.9,773,4,4,8
8th grade females,271,35.8,24,3.2,5,0.7,99,13.1,9,1.2,125,16.5,DS,0.3,7,0.9,37,4.9,DS,0.3,10,1.3,773,4,4,8
8th grade total,756,100,63,8.3,9,1.2,266,35.2,39,5.2,357,47.2,DS,0.3,20,2.6,123,16.3,12,1.6,24,3.2,773,4,4,8
9th grade males,"1,298",53.9,106,4.4,6,0.2,585,24.3,65,2.7,469,19.5,4,0.2,63,2.6,191,7.9,19,0.8,46,1.9,527,4,4,8
9th grade females,"1,111",46.1,86,3.6,10,0.4,498,20.7,42,1.7,402,16.7,DS,0.1,71,2.9,104,4.3,10,0.4,42,1.7,527,4,4,8
9th grade total,"2,409",100,192,8,16,0.7,"1,083",45,107,4.4,871,36.2,6,0.2,134,5.6,295,12.2,29,1.2,88,3.7,527,4,4,8
10th grade males,"1,704",51.9,122,3.7,10,0.3,682,20.8,94,2.9,674,20.5,7,0.2,115,3.5,216,6.6,18,0.5,77,2.3,529,4,4,8
10th grade females,"1,580",48.1,108,3.3,10,0.3,626,19.1,86,2.6,623,19,6,0.2,121,3.7,225,6.9,16,0.5,57,1.7,529,4,4,8
10th grade total,"3,284",100,230,7,20,0.6,"1,308",39.8,180,5.5,"1,297",39.5,13,0.4,236,7.2,441,13.4,34,1,134,4.1,529,4,4,8
11th grade males,"1,731",50.7,99,2.9,14,0.4,666,19.5,75,2.2,741,21.7,7,0.2,129,3.8,263,7.7,17,0.5,45,1.3,521,4,4,8
11th grade females,"1,682",49.3,102,3,11,0.3,656,19.2,69,2,705,20.7,8,0.2,131,3.8,118,3.5,20,0.6,47,1.4,521,4,4,8
11th grade total,"3,413",100,201,5.9,25,0.7,"1,322",38.7,144,4.2,"1,446",42.4,15,0.4,260,7.6,381,11.2,37,1.1,92,2.7,521,4,4,8
12th grade males,"4,289",56.4,236,3.1,63,0.8,"2,089",27.5,327,4.3,"1,428",18.8,10,0.1,136,1.8,813,10.7,37,0.5,171,2.2,519,4,4,8
12th grade females,"3,318",43.6,220,2.9,47,0.6,"1,611",21.2,227,3,"1,055",13.9,7,0.1,151,2,454,6,32,0.4,147,1.9,519,4,4,8
12th grade total,"7,607",100,456,6,110,1.4,"3,700",48.6,554,7.3,"2,483",32.6,17,0.2,287,3.8,"1,267",16.7,69,0.9,318,4.2,519,4,4,8
