Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students  With Disabilities Served Under  IDEA	Percent of Students  With Disabilities Served Under  IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic of Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black of African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White	Number of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	220	75.9	6	2.1	214	73.8	4	1.4	0	0	130	45.8	27	9.5	49	17.3	DS	0.7	DS	0.7	43	14.8	"9,866"	6	4	9
Corporal punishment on females	70	24.1	0	0	70	24.1	0	0	DS	0.7	43	15.1	10	3.5	15	5.3	0	0	0	0	15	5.2	"9,866"	6	4	9
Corporal punishment total	290	100	6	2.1	284	97.9	4	1.4	DS	0.7	173	60.9	37	13	64	22.5	DS	0.7	DS	0.7	58	20	"9,866"	6	4	9
One or more in-school suspensions on males	"24,524"	78.5	"1,274"	4.1	"23,250"	74.4	299	1	531	1.8	"11,891"	40.1	"3,873"	13.1	"5,922"	20	116	0.4	618	2.1	"6,298"	20.1	"9,866"	6	4	9
One or more in-school suspensions on females	"6,732"	21.5	305	1	"6,427"	20.6	92	0.3	106	0.4	"3,253"	11	"1,250"	4.2	"1,501"	5.1	43	0.1	182	0.6	"1,647"	5.3	"9,866"	6	4	9
One or more in-school suspensions total	"31,256"	100	"1,579"	5.1	"29,677"	94.9	391	1.3	637	2.1	"15,144"	51	"5,123"	17.3	"7,423"	25	159	0.5	800	2.7	"7,945"	25.4	"9,866"	6	4	9
Only one out-of-school suspension on males	"32,391"	79	"1,451"	3.5	"30,940"	75.4	465	1.2	920	2.3	"15,567"	39.7	"4,864"	12.4	"8,225"	21	180	0.5	719	1.8	"8,039"	19.6	"9,866"	6	4	9
Only one out-of-school suspension on females	"8,622"	21	382	0.9	"8,240"	20.1	142	0.4	148	0.4	"4,139"	10.6	"1,662"	4.2	"1,896"	4.8	55	0.1	198	0.5	"1,925"	4.7	"9,866"	6	4	9
Only one out-of-school suspension total	"41,013"	100	"1,833"	4.5	"39,180"	95.5	607	1.5	"1,068"	2.7	"19,706"	50.3	"6,526"	16.7	"10,121"	25.8	235	0.6	917	2.3	"9,964"	24.3	"9,866"	6	4	9
More than one out-of-school suspension on males	"27,019"	83.6	"1,078"	3.3	"25,941"	80.3	458	1.5	496	1.6	"11,849"	38.2	"5,621"	18.1	"6,653"	21.4	147	0.5	717	2.3	"5,819"	18	"9,866"	6	4	9
More than one out-of-school suspension on females	"5,283"	16.4	199	0.6	"5,084"	15.7	103	0.3	64	0.2	"2,204"	7.1	"1,449"	4.7	"1,097"	3.5	27	0.1	140	0.5	977	3	"9,866"	6	4	9
More than one out-of-school suspension total	"32,302"	100	"1,277"	4	"31,025"	96	561	1.8	560	1.8	"14,053"	45.3	"7,070"	22.8	"7,750"	25	174	0.6	857	2.8	"6,796"	21	"9,866"	6	4	9
One or more out-of-school suspensions on males	"59,408"	81	"2,526"	3.4	"56,882"	77.6	917	1.3	"1,418"	2	"27,432"	39.1	"10,496"	14.9	"14,851"	21.2	325	0.5	"1,443"	2.1	"13,841"	18.9	"9,866"	6	4	9
One or more out-of-school suspensions on females	"13,918"	19	584	0.8	"13,334"	18.2	243	0.3	213	0.3	"6,365"	9.1	"3,115"	4.4	"2,977"	4.2	82	0.1	339	0.5	"2,898"	4	"9,866"	6	4	9
One or more out-of-school suspensions total	"73,326"	100	"3,110"	4.2	"70,216"	95.8	"1,160"	1.7	"1,631"	2.3	"33,797"	48.1	"13,611"	19.4	"17,828"	25.4	407	0.6	"1,782"	2.5	"16,739"	22.8	"9,866"	6	4	9
Expulsions with educational services on males	"1,854"	86	68	3.2	"1,786"	82.8	45	2.2	48	2.3	881	42.5	298	14.4	463	22.3	5	0.2	46	2.2	399	18.5	"9,866"	6	4	9
Expulsions with educational services on females	302	14	15	0.7	287	13.3	6	0.3	12	0.6	117	5.6	58	2.8	87	4.2	DS	0.1	5	0.2	42	1.9	"9,866"	6	4	9
Expulsions with educational services total	"2,156"	100	83	3.8	"2,073"	96.2	51	2.5	60	2.9	998	48.1	356	17.2	550	26.5	7	0.3	51	2.5	441	20.5	"9,866"	6	4	9
Expulsions without educational services on males	536	83.6	37	5.8	499	77.8	DS	0.3	11	1.8	260	43.6	89	14.9	123	20.6	DS	0.3	12	2	140	21.8	"9,866"	6	4	9
Expulsions without educational services on females	105	16.4	7	1.1	98	15.3	0	0	DS	0.3	37	6.2	17	2.8	37	6.2	0	0	5	0.8	20	3.1	"9,866"	6	4	9
Expulsions without educational services total	641	100	44	6.9	597	93.1	DS	0.3	13	2.2	297	49.7	106	17.8	160	26.8	DS	0.3	17	2.8	160	25	"9,866"	6	4	9
Expulsions with or without educational services on males	"2,383"	85.4	107	3.8	"2,276"	81.6	47	1.8	60	2.3	"1,138"	42.8	384	14.4	584	21.9	6	0.2	57	2.1	543	19.5	"9,866"	6	4	9
Expulsions with or without educational services on females	407	14.6	22	0.8	385	13.8	6	0.2	14	0.5	153	5.7	76	2.9	124	4.7	DS	0.1	10	0.4	63	2.3	"9,866"	6	4	9
Expulsions with or without educational services total	"2,790"	100	129	4.6	"2,661"	95.4	53	2	74	2.8	"1,291"	48.5	460	17.3	708	26.6	8	0.3	67	2.5	606	21.7	"9,866"	6	4	9
