Advanced Placement Course enrollment by gender	Number of Students	Percent of Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"160,228"	43.4	746	0.2	"39,170"	10.6	"54,676"	14.8	"5,581"	1.5	"53,885"	14.6	"2,005"	0.5	"4,165"	1.1	"2,115"	0.6	"5,538"	1.5	"1,192"	6	4	9
At least one AP course females	"208,710"	56.6	"1,087"	0.3	"43,788"	11.9	"79,925"	21.7	"9,436"	2.6	"66,640"	18.1	"2,505"	0.7	"5,329"	1.4	"1,390"	0.4	"6,934"	1.9	"1,192"	6	4	9
At least one AP course total	"368,938"	100	"1,833"	0.5	"82,958"	22.5	"134,601"	36.5	"15,017"	4.1	"120,525"	32.7	"4,510"	1.2	"9,494"	2.6	"3,505"	1	"12,472"	3.4	"1,192"	6	4	9
AP mathematics males	"44,170"	50.1	189	0.2	"15,460"	17.5	"9,926"	11.3	"1,045"	1.2	"15,695"	17.8	480	0.5	"1,375"	1.6	321	0.4	978	1.1	"1,192"	6	4	9
AP mathematics females	"43,959"	49.9	161	0.2	"14,685"	16.7	"10,772"	12.2	"1,459"	1.7	"14,949"	17	489	0.6	"1,444"	1.6	118	0.1	806	0.9	"1,192"	6	4	9
AP mathematics total	"88,129"	100	350	0.4	"30,145"	34.2	"20,698"	23.5	"2,504"	2.8	"30,644"	34.8	969	1.1	"2,819"	3.2	439	0.5	"1,784"	2	"1,192"	6	4	9
AP science males	"43,239"	48.5	195	0.2	"15,105"	16.9	"10,126"	11.4	"1,106"	1.2	"14,904"	16.7	522	0.6	"1,281"	1.4	415	0.5	991	1.1	"1,192"	6	4	9
AP science females	"45,933"	51.5	205	0.2	"15,002"	16.8	"12,019"	13.5	"1,612"	1.8	"15,213"	17.1	523	0.6	"1,359"	1.5	218	0.2	945	1.1	"1,192"	6	4	9
AP science total	"89,172"	100	400	0.4	"30,107"	33.8	"22,145"	24.8	"2,718"	3	"30,117"	33.8	"1,045"	1.2	"2,640"	3	633	0.7	"1,936"	2.2	"1,192"	6	4	9
AP foreign language males	"19,675"	37.4	82	0.2	"2,754"	5.2	"13,167"	25	203	0.4	"3,188"	6.1	55	0.1	226	0.4	232	0.4	"2,156"	4.1	"1,192"	6	4	9
AP foreign language females	"32,909"	62.6	115	0.2	"3,855"	7.3	"22,913"	43.6	428	0.8	"5,117"	9.7	94	0.2	387	0.7	251	0.5	"3,228"	6.1	"1,192"	6	4	9
AP foreign language total	"52,584"	100	197	0.4	"6,609"	12.6	"36,080"	68.6	631	1.2	"8,305"	15.8	149	0.3	613	1.2	483	0.9	"5,384"	10.2	"1,192"	6	4	9
Other AP subjects males	"112,532"	42.3	511	0.2	"27,604"	10.4	"36,178"	13.6	"4,274"	1.6	"39,524"	14.8	"1,432"	0.5	"3,009"	1.1	"1,375"	0.5	"2,218"	0.8	"1,192"	6	4	9
Other AP subjects females	"153,662"	57.7	794	0.3	"32,628"	12.3	"54,252"	20.4	"7,718"	2.9	"52,368"	19.7	"1,853"	0.7	"4,049"	1.5	848	0.3	"2,674"	1	"1,192"	6	4	9
Other AP subjects total	"266,194"	100	"1,305"	0.5	"60,232"	22.6	"90,430"	34	"11,992"	4.5	"91,892"	34.5	"3,285"	1.2	"7,058"	2.7	"2,223"	0.8	"4,892"	1.8	"1,192"	6	4	9
