Grade by gender,Number of Students,Percent of Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,"7,984",62.5,93,0.7,468,3.7,"4,240",33.2,436,3.4,"2,410",18.9,42,0.3,295,2.3,"1,017",8,62,0.5,"2,717",21.3,"5,931",6,4,9
Kindergarten females,"4,794",37.5,60,0.5,221,1.7,"2,726",21.3,298,2.3,"1,314",10.3,26,0.2,149,1.2,387,3,47,0.4,"1,751",13.7,"5,931",6,4,9
Kindergarten total,"12,778",100,153,1.2,689,5.4,"6,966",54.5,734,5.7,"3,724",29.1,68,0.5,444,3.5,"1,404",11,109,0.9,"4,468",35,"5,931",6,4,9
1st grade males,"5,749",57.9,52,0.5,236,2.4,"3,903",39.3,458,4.6,937,9.4,27,0.3,136,1.4,714,7.2,76,0.8,"2,588",26.1,"5,977",6,4,9
1st grade females,"4,174",42.1,43,0.4,124,1.2,"2,902",29.2,313,3.2,665,6.7,20,0.2,107,1.1,306,3.1,41,0.4,"1,951",19.7,"5,977",6,4,9
1st grade total,"9,923",100,95,1,360,3.6,"6,805",68.6,771,7.8,"1,602",16.1,47,0.5,243,2.4,"1,020",10.3,117,1.2,"4,539",45.7,"5,977",6,4,9
2nd grade males,"2,763",57.8,23,0.5,120,2.5,"1,888",39.5,263,5.5,396,8.3,17,0.4,56,1.2,341,7.1,27,0.6,"1,181",24.7,"5,976",6,4,9
2nd grade females,"2,021",42.2,20,0.4,59,1.2,"1,416",29.6,180,3.8,296,6.2,12,0.3,38,0.8,167,3.5,23,0.5,936,19.6,"5,976",6,4,9
2nd grade total,"4,784",100,43,0.9,179,3.7,"3,304",69.1,443,9.3,692,14.5,29,0.6,94,2,508,10.6,50,1,"2,117",44.3,"5,976",6,4,9
3rd grade males,"1,436",58.6,13,0.5,58,2.4,963,39.3,137,5.6,238,9.7,10,0.4,17,0.7,221,9,28,1.1,599,24.5,"5,975",6,4,9
3rd grade females,"1,013",41.4,4,0.2,30,1.2,704,28.7,95,3.9,150,6.1,7,0.3,23,0.9,87,3.6,11,0.4,465,19,"5,975",6,4,9
3rd grade total,"2,449",100,17,0.7,88,3.6,"1,667",68.1,232,9.5,388,15.8,17,0.7,40,1.6,308,12.6,39,1.6,"1,064",43.4,"5,975",6,4,9
4th grade males,687,58.5,5,0.4,36,3.1,430,36.6,91,7.8,104,8.9,4,0.3,17,1.4,95,8.1,13,1.1,270,23,"5,977",6,4,9
4th grade females,487,41.5,DS,0.2,23,2,321,27.3,60,5.1,68,5.8,5,0.4,8,0.7,56,4.8,5,0.4,195,16.6,"5,977",6,4,9
4th grade total,"1,174",100,7,0.6,59,5,751,64,151,12.9,172,14.7,9,0.8,25,2.1,151,12.9,18,1.5,465,39.6,"5,977",6,4,9
5th grade males,436,61.2,DS,0.3,28,3.9,256,36,52,7.3,85,11.9,DS,0.3,11,1.5,75,10.5,4,0.6,143,20.1,"6,001",6,4,9
5th grade females,276,38.8,DS,0.3,16,2.2,173,24.3,32,4.5,43,6,DS,0.3,8,1.1,37,5.2,11,1.5,92,12.9,"6,001",6,4,9
5th grade total,712,100,4,0.6,44,6.2,429,60.3,84,11.8,128,18,4,0.6,19,2.7,112,15.7,15,2.1,235,33,"6,001",6,4,9
