Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students  With Disabilities Served Under  IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Number Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	States_ID	Region_ID	Division_ID
Corporal punishment on males	67	76.1	0	0	67	76.1	0	0	0	0	46	52.3	0	0	21	23.9	0	0	0	0	19	21.6	"1,811"	8	4	8
Corporal punishment on females	21	23.9	0	0	21	23.9	0	0	0	0	6	6.8	0	0	13	14.8	0	0	DS	2.3	DS	2.3	"1,811"	8	4	8
Corporal punishment total	88	100	0	0	88	100	0	0	0	0	52	59.1	0	0	34	38.6	0	0	DS	2.3	21	23.9	"1,811"	8	4	8
One or more in-school suspensions on males	"3,756"	79.7	149	3.2	"3,607"	76.6	33	0.7	21	0.5	"1,351"	29.9	361	8	"1,709"	37.8	DS	0	130	2.9	472	10	"1,811"	8	4	8
One or more in-school suspensions on females	954	20.3	38	0.8	916	19.4	14	0.3	5	0.1	361	8	133	2.9	378	8.4	DS	0	23	0.5	128	2.7	"1,811"	8	4	8
One or more in-school suspensions total	"4,710"	100	187	4	"4,523"	96	47	1	26	0.6	"1,712"	37.9	494	10.9	"2,087"	46.1	4	0.1	153	3.4	600	12.7	"1,811"	8	4	8
Only one out-of-school suspension on males	"3,826"	79.3	108	2.2	"3,718"	77.1	50	1.1	30	0.6	"1,358"	29	361	7.7	"1,786"	38.1	7	0.1	126	2.7	461	9.6	"1,811"	8	4	8
Only one out-of-school suspension on females	998	20.7	28	0.6	970	20.1	18	0.4	8	0.2	398	8.5	113	2.4	401	8.6	4	0.1	28	0.6	120	2.5	"1,811"	8	4	8
Only one out-of-school suspension total	"4,824"	100	136	2.8	"4,688"	97.2	68	1.5	38	0.8	"1,756"	37.5	474	10.1	"2,187"	46.7	11	0.2	154	3.3	581	12	"1,811"	8	4	8
More than one out-of-school suspension on males	"2,883"	85.8	75	2.2	"2,808"	83.5	21	0.6	19	0.6	"1,074"	32.8	343	10.5	"1,261"	38.5	DS	0.1	88	2.7	332	9.9	"1,811"	8	4	8
More than one out-of-school suspension on females	478	14.2	7	0.2	471	14	7	0.2	DS	0.1	184	5.6	77	2.3	180	5.5	DS	0.1	19	0.6	46	1.4	"1,811"	8	4	8
More than one out-of-school suspension total	"3,361"	100	82	2.4	"3,279"	97.6	28	0.9	21	0.6	"1,258"	38.4	420	12.8	"1,441"	43.9	4	0.1	107	3.3	378	11.2	"1,811"	8	4	8
One or more out-of-school suspensions on males	"6,693"	81.9	181	2.2	"6,512"	79.7	71	0.9	49	0.6	"2,429"	30.5	696	8.7	"3,047"	38.3	8	0.1	212	2.7	794	9.7	"1,811"	8	4	8
One or more out-of-school suspensions on females	"1,480"	18.1	36	0.4	"1,444"	17.7	25	0.3	10	0.1	584	7.3	189	2.4	584	7.3	5	0.1	47	0.6	167	2	"1,811"	8	4	8
One or more out-of-school suspensions total	"8,173"	100	217	2.7	"7,956"	97.3	96	1.2	59	0.7	"3,013"	37.9	885	11.1	"3,631"	45.6	13	0.2	259	3.3	961	11.8	"1,811"	8	4	8
Expulsions with educational services on males	199	86.9	8	3.5	191	83.4	5	2.3	DS	0.9	83	37.6	28	12.7	71	32.1	0	0	DS	0.9	23	10	"1,811"	8	4	8
Expulsions with educational services on females	30	13.1	0	0	30	13.1	DS	0.9	0	0	15	6.8	DS	0.9	9	4.1	0	0	DS	0.9	4	1.7	"1,811"	8	4	8
Expulsions with educational services total	229	100	8	3.5	221	96.5	7	3.2	DS	0.9	98	44.3	30	13.6	80	36.2	0	0	4	1.8	27	11.8	"1,811"	8	4	8
Expulsions without educational services on males	143	91.1	9	5.7	134	85.4	DS	1.4	DS	1.4	43	29.1	20	13.5	59	39.9	0	0	8	5.4	14	8.9	"1,811"	8	4	8
Expulsions without educational services on females	14	8.9	0	0	14	8.9	0	0	0	0	DS	1.4	4	2.7	4	2.7	DS	1.4	DS	1.4	0	0	"1,811"	8	4	8
