Grade by gender,Number of Students,Percent of Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,660,61.7,9,0.8,8,0.7,224,21,19,1.8,379,35.5,DS,0.2,19,1.8,161,15.1,DS,0.2,77,7.2,"1,037",8,4,8
Kindergarten females,409,38.3,7,0.7,11,1,138,12.9,10,0.9,219,20.5,DS,0.2,22,2.1,77,7.2,DS,0.2,48,4.5,"1,037",8,4,8
Kindergarten total,"1,069",100,16,1.5,19,1.8,362,33.9,29,2.7,598,55.9,4,0.4,41,3.8,238,22.3,4,0.4,125,11.7,"1,037",8,4,8
1st grade males,417,60.3,DS,0.3,7,1,211,30.5,18,2.6,168,24.3,DS,0.3,9,1.3,78,11.3,DS,0.3,103,14.9,"1,039",8,4,8
1st grade females,274,39.7,DS,0.3,5,0.7,123,17.8,15,2.2,122,17.7,DS,0.3,5,0.7,36,5.2,DS,0.3,56,8.1,"1,039",8,4,8
1st grade total,691,100,4,0.6,12,1.7,334,48.3,33,4.8,290,42,4,0.6,14,2,114,16.5,4,0.6,159,23,"1,039",8,4,8
2nd grade males,206,54.4,DS,0.5,DS,0.5,92,24.3,13,3.4,89,23.5,0,0,8,2.1,44,11.6,DS,0.5,43,11.3,"1,039",8,4,8
2nd grade females,173,45.6,DS,0.5,DS,0.5,92,24.3,10,2.6,59,15.6,0,0,8,2.1,24,6.3,DS,0.5,39,10.3,"1,039",8,4,8
2nd grade total,379,100,4,1.1,4,1.1,184,48.5,23,6.1,148,39.1,0,0,16,4.2,68,17.9,4,1.1,82,21.6,"1,039",8,4,8
3rd grade males,103,52.3,DS,1,DS,1,45,22.8,7,3.6,45,22.8,0,0,DS,1,19,9.6,0,0,18,9.1,"1,038",8,4,8
3rd grade females,94,47.7,0,0,DS,1,44,22.3,10,5.1,36,18.3,0,0,DS,1,12,6.1,0,0,21,10.7,"1,038",8,4,8
3rd grade total,197,100,DS,1,4,2,89,45.2,17,8.6,81,41.1,0,0,4,2,31,15.7,0,0,39,19.8,"1,038",8,4,8
4th grade males,54,60,0,0,DS,2.2,28,31.1,DS,2.2,20,22.2,0,0,DS,2.2,12,13.3,DS,2.2,16,17.8,"1,036",8,4,8
4th grade females,36,40,0,0,0,0,14,15.6,DS,2.2,18,20,0,0,DS,2.2,5,5.6,DS,2.2,5,5.6,"1,036",8,4,8
4th grade total,90,100,0,0,DS,2.2,42,46.7,4,4.4,38,42.2,0,0,4,4.4,17,18.9,4,4.4,21,23.3,"1,036",8,4,8
5th grade males,70,66,DS,1.9,DS,1.9,23,21.7,7,6.6,34,32.1,0,0,DS,1.9,9,8.5,DS,1.9,11,10.4,"1,037",8,4,8
5th grade females,36,34,DS,1.9,0,0,14,13.2,5,4.7,13,12.3,0,0,DS,1.9,4,3.8,0,0,6,5.7,"1,037",8,4,8
5th grade total,106,100,4,3.8,DS,1.9,37,34.9,12,11.3,47,44.3,0,0,4,3.8,13,12.3,DS,1.9,17,16,"1,037",8,4,8
6th grade males,118,68.2,DS,1.2,0,0,65,37.6,13,7.5,36,20.8,0,0,DS,1.2,27,15.6,0,0,33,19.1,668,8,4,8
6th grade females,55,31.8,DS,1.2,DS,1.2,32,18.5,4,2.3,15,8.7,0,0,0,0,4,2.3,0,0,14,8.1,668,8,4,8
6th grade total,173,100,4,2.3,DS,1.2,97,56.1,17,9.8,51,29.5,0,0,DS,1.2,31,17.9,0,0,47,27.2,668,8,4,8
7th grade males,130,66,DS,1,DS,1,48,24.4,4,2,72,36.5,0,0,DS,1,22,11.2,4,2,21,10.7,557,8,4,8
7th grade females,67,34,0,0,DS,1,23,11.7,4,2,36,18.3,0,0,DS,1,9,4.6,DS,1,6,3,557,8,4,8
7th grade total,197,100,DS,1,4,2,71,36,8,4.1,108,54.8,0,0,4,2,31,15.7,6,3,27,13.7,557,8,4,8
8th grade males,132,66.3,DS,1,DS,1,57,28.6,8,4,61,30.7,0,0,DS,1,20,10.1,DS,1,18,9,552,8,4,8
8th grade females,67,33.7,DS,1,DS,1,29,14.6,11,5.5,21,10.6,0,0,DS,1,11,5.5,0,0,11,5.5,552,8,4,8
8th grade total,199,100,4,2,4,2,86,43.2,19,9.5,82,41.2,0,0,4,2,31,15.6,DS,1,29,14.6,552,8,4,8
9th grade males,996,59.9,16,1,14,0.8,634,38.1,122,7.3,193,11.6,0,0,17,1,169,10.2,DS,0.1,215,12.9,462,8,4,8
9th grade females,667,40.1,7,0.4,10,0.6,455,27.4,81,4.9,99,6,DS,0.1,13,0.8,65,3.9,6,0.4,138,8.3,462,8,4,8
9th grade total,"1,663",100,23,1.4,24,1.4,"1,089",65.5,203,12.2,292,17.6,DS,0.1,30,1.8,234,14.1,8,0.5,353,21.2,462,8,4,8
10th grade males,758,57.2,9,0.7,15,1.1,493,37.2,82,6.2,152,11.5,DS,0.2,5,0.4,124,9.4,6,0.5,178,13.4,457,8,4,8
10th grade females,567,42.8,6,0.5,10,0.8,397,30,65,4.9,81,6.1,0,0,8,0.6,56,4.2,DS,0.2,128,9.7,457,8,4,8
10th grade total,"1,325",100,15,1.1,25,1.9,890,67.2,147,11.1,233,17.6,DS,0.2,13,1,180,13.6,8,0.6,306,23.1,457,8,4,8
11th grade males,636,55.4,7,0.6,7,0.6,385,33.6,70,6.1,144,12.6,DS,0.2,21,1.8,66,5.8,12,1,119,10.4,454,8,4,8
11th grade females,511,44.6,6,0.5,5,0.4,348,30.3,49,4.3,90,7.8,0,0,13,1.1,44,3.8,DS,0.2,114,9.9,454,8,4,8
11th grade total,"1,147",100,13,1.1,12,1,733,63.9,119,10.4,234,20.4,DS,0.2,34,3,110,9.6,14,1.2,233,20.3,454,8,4,8
12th grade males,"3,931",57.3,69,1,82,1.2,"1,701",24.8,271,3.9,"1,719",25.1,9,0.1,80,1.2,"1,094",15.9,62,0.9,477,7,452,8,4,8
12th grade females,"2,930",42.7,47,0.7,64,0.9,"1,332",19.4,183,2.7,"1,195",17.4,9,0.1,100,1.5,607,8.8,41,0.6,341,5,452,8,4,8
12th grade total,"6,861",100,116,1.7,146,2.1,"3,033",44.2,454,6.6,"2,914",42.5,18,0.3,180,2.6,"1,701",24.8,103,1.5,818,11.9,452,8,4,8
