Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools 	State_ID	Region_ID	Division_ID
Corporal punishment on males	136	69	DS	1	134	68	5	2.6	0	0	49	25.1	14	7.2	64	32.8	0	0	DS	1	15	7.6	"1,122"	9	1	1
Corporal punishment on females	61	31	0	0	61	31	DS	1	0	0	25	12.8	8	4.1	24	12.3	0	0	DS	1	10	5.1	"1,122"	9	1	1
Corporal punishment total	197	100	DS	1	195	99	7	3.6	0	0	74	37.9	22	11.3	88	45.1	0	0	4	2.1	25	12.7	"1,122"	9	1	1
One or more in-school suspensions on males	"24,980"	67.4	629	1.7	"24,351"	65.7	121	0.3	320	0.9	"6,428"	17.8	"6,273"	17.3	"10,696"	29.5	16	0	497	1.4	"1,251"	3.4	"1,122"	9	1	1
One or more in-school suspensions on females	"12,067"	32.6	204	0.6	"11,863"	32	87	0.2	116	0.3	"3,695"	10.2	"3,471"	9.6	"4,231"	11.7	15	0	248	0.7	675	1.8	"1,122"	9	1	1
One or more in-school suspensions total	"37,047"	100	833	2.2	"36,214"	97.8	208	0.6	436	1.2	"10,123"	28	"9,744"	26.9	"14,927"	41.2	31	0.1	745	2.1	"1,926"	5.2	"1,122"	9	1	1
Only one out-of-school suspension on males	"10,152"	65.1	174	1.1	"9,978"	64	49	0.3	121	0.8	"3,145"	20.5	"3,065"	20	"3,383"	22	9	0.1	206	1.3	556	3.6	"1,122"	9	1	1
Only one out-of-school suspension on females	"5,436"	34.9	63	0.4	"5,373"	34.5	36	0.2	31	0.2	"1,981"	12.9	"1,915"	12.5	"1,295"	8.4	6	0	109	0.7	372	2.4	"1,122"	9	1	1
Only one out-of-school suspension total	"15,588"	100	237	1.5	"15,351"	98.5	85	0.6	152	1	"5,126"	33.4	"4,980"	32.4	"4,678"	30.5	15	0.1	315	2.1	928	6	"1,122"	9	1	1
More than one out-of-school suspension on males	"7,135"	69.2	139	1.3	"6,996"	67.9	33	0.3	44	0.4	"2,349"	23.2	"2,498"	24.7	"1,914"	18.9	DS	0	156	1.5	387	3.8	"1,122"	9	1	1
More than one out-of-school suspension on females	"3,175"	30.8	39	0.4	"3,136"	30.4	17	0.2	10	0.1	"1,116"	11	"1,232"	12.2	687	6.8	DS	0	72	0.7	187	1.8	"1,122"	9	1	1
More than one out-of-school suspension total	"10,310"	100	178	1.7	"10,132"	98.3	50	0.5	54	0.5	"3,465"	34.2	"3,730"	36.8	"2,601"	25.7	4	0	228	2.3	574	5.6	"1,122"	9	1	1
One or more out-of-school suspensions on males	"17,273"	66.7	309	1.2	"16,964"	65.5	82	0.3	165	0.6	"5,489"	21.5	"5,565"	21.8	"5,293"	20.8	11	0	359	1.4	947	3.7	"1,122"	9	1	1
One or more out-of-school suspensions on females	"8,617"	33.3	102	0.4	"8,515"	32.9	53	0.2	41	0.2	"3,098"	12.2	"3,144"	12.3	"1,991"	7.8	7	0	181	0.7	561	2.2	"1,122"	9	1	1
One or more out-of-school suspensions total	"25,890"	100	411	1.6	"25,479"	98.4	135	0.5	206	0.8	"8,587"	33.7	"8,709"	34.2	"7,284"	28.6	18	0.1	540	2.1	"1,508"	5.8	"1,122"	9	1	1
Expulsions with educational services on males	944	76.3	16	1.3	928	75	DS	0.2	8	0.7	254	20.8	268	22	385	31.6	0	0	11	0.9	36	2.9	"1,122"	9	1	1
Expulsions with educational services on females	293	23.7	DS	0.2	291	23.5	4	0.3	DS	0.2	100	8.2	74	6.1	101	8.3	0	0	10	0.8	15	1.2	"1,122"	9	1	1
Expulsions with educational services total	"1,237"	100	18	1.5	"1,219"	98.5	6	0.5	10	0.8	354	29	342	28.1	486	39.9	0	0	21	1.7	51	4.1	"1,122"	9	1	1
Expulsions without educational services on males	80	73.4	0	0	80	73.4	0	0	0	0	22	20.2	27	24.8	29	26.6	0	0	DS	1.8	DS	1.8	"1,122"	9	1	1
Expulsions without educational services on females	29	26.6	0	0	29	26.6	0	0	0	0	11	10.1	11	10.1	7	6.4	0	0	0	0	DS	1.8	"1,122"	9	1	1
Expulsions without educational services total	109	100	0	0	109	100	0	0	0	0	33	30.3	38	34.9	36	33	0	0	DS	1.8	4	3.7	"1,122"	9	1	1
Expulsions with or without educational services on males	"1,024"	76	15	1.1	"1,009"	74.9	DS	0.2	8	0.6	273	20.5	299	22.5	415	31.2	0	0	12	0.9	40	3	"1,122"	9	1	1
Expulsions with or without educational services on females	323	24	DS	0.1	321	23.8	4	0.3	DS	0.2	110	8.3	86	6.5	109	8.2	0	0	10	0.8	17	1.3	"1,122"	9	1	1
Expulsions with or without educational services total	"1,347"	100	17	1.3	"1,330"	98.7	6	0.5	10	0.8	383	28.8	385	28.9	524	39.4	0	0	22	1.7	57	4.2	"1,122"	9	1	1
Expulsions under zero-tolerance policies on males	450	81.8	4	0.7	446	81.1	DS	0.4	DS	0.4	113	20.8	129	23.7	192	35.3	0	0	8	1.5	12	2.2	"1,122"	9	1	1
Expulsions under zero-tolerance policies on females	100	18.2	DS	0.4	98	17.8	0	0	DS	0.4	25	4.6	24	4.4	43	7.9	0	0	4	0.7	4	0.7	"1,122"	9	1	1
Expulsions under zero-tolerance policies total	550	100	6	1.1	544	98.9	DS	0.4	4	0.7	138	25.4	153	28.1	235	43.2	0	0	12	2.2	16	2.9	"1,122"	9	1	1
Referral to law enforcement on males	"1,780"	68.1	50	1.9	"1,730"	66.2	10	0.4	24	0.9	441	17.3	421	16.5	810	31.7	DS	0.1	22	0.9	76	2.9	"1,122"	9	1	1
Referral to law enforcement on females	833	31.9	8	0.3	825	31.6	9	0.4	7	0.3	266	10.4	248	9.7	280	11	DS	0.1	13	0.5	54	2.1	"1,122"	9	1	1
Referral to law enforcement total	"2,613"	100	58	2.2	"2,555"	97.8	19	0.7	31	1.2	707	27.7	669	26.2	"1,090"	42.7	4	0.2	35	1.4	130	5	"1,122"	9	1	1
School-related arrests on males	"1,108"	66.8	31	1.9	"1,077"	65	4	0.2	20	1.2	303	18.7	307	18.9	424	26.1	0	0	19	1.2	56	3.4	"1,122"	9	1	1
