Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students  With Disabilities Served Under  IDEA	Percent of Students  With Disabilities Served Under  IDEA	Number of American Indian or Alaka Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number Native Hawaiian of other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities  	Number of Schools 	State_ID	Region_ID	Division_ID
Corporal punishment on males	51	75	DS	2.9	49	72.1	0	0	0	0	32	48.5	6	9.1	9	13.6	0	0	DS	3	10	14.7	"1,122"	9	1	1
Corporal punishment on females	17	25	0	0	17	25	0	0	0	0	11	16.7	DS	3	DS	3	0	0	DS	3	6	8.8	"1,122"	9	1	1
Corporal punishment total	68	100	DS	2.9	66	97.1	0	0	0	0	43	65.2	8	12.1	11	16.7	0	0	4	6.1	16	23.5	"1,122"	9	1	1
One or more in-school suspensions on males	"7,011"	77.5	629	7	"6,382"	70.6	25	0.3	28	0.3	"1,773"	21.6	"1,525"	18.6	"2,893"	35.2	DS	0	136	1.7	353	3.9	"1,122"	9	1	1
One or more in-school suspensions on females	"2,035"	22.5	204	2.3	"1,831"	20.2	13	0.2	DS	0	567	6.9	471	5.7	739	9	4	0	35	0.4	121	1.3	"1,122"	9	1	1
One or more in-school suspensions total	"9,046"	100	833	9.2	"8,213"	90.8	38	0.5	30	0.4	"2,340"	28.5	"1,996"	24.3	"3,632"	44.2	6	0.1	171	2.1	474	5.2	"1,122"	9	1	1
Only one out-of-school suspension on males	"2,838"	75.2	174	4.6	"2,664"	70.6	11	0.3	15	0.4	833	23.6	728	20.6	"1,023"	28.9	DS	0.1	52	1.5	166	4.4	"1,122"	9	1	1
Only one out-of-school suspension on females	935	24.8	63	1.7	872	23.1	5	0.1	DS	0.1	338	9.6	260	7.4	244	6.9	DS	0.1	21	0.6	84	2.2	"1,122"	9	1	1
Only one out-of-school suspension total	"3,773"	100	237	6.3	"3,536"	93.7	16	0.5	17	0.5	"1,171"	33.1	988	27.9	"1,267"	35.8	4	0.1	73	2.1	250	6.6	"1,122"	9	1	1
More than one out-of-school suspension on males	"2,540"	78.4	139	4.3	"2,401"	74.1	5	0.2	7	0.2	839	27.4	763	24.9	720	23.5	0	0	67	2.2	141	4.4	"1,122"	9	1	1
More than one out-of-school suspension on females	699	21.6	39	1.2	660	20.4	DS	0.1	0	0	246	8	219	7.2	173	5.7	0	0	20	0.7	50	1.5	"1,122"	9	1	1
More than one out-of-school suspension total	"3,239"	100	178	5.5	"3,061"	94.5	7	0.2	7	0.2	"1,085"	35.4	982	32.1	893	29.2	0	0	87	2.8	191	5.9	"1,122"	9	1	1
One or more out-of-school suspensions on males	"5,365"	76.6	309	4.4	"5,056"	72.2	16	0.2	22	0.3	"1,673"	25.4	"1,491"	22.6	"1,736"	26.3	DS	0	116	1.8	309	4.4	"1,122"	9	1	1
One or more out-of-school suspensions on females	"1,635"	23.4	102	1.5	"1,533"	21.9	7	0.1	DS	0	585	8.9	479	7.3	417	6.3	DS	0	41	0.6	136	1.9	"1,122"	9	1	1
