Advanced Placement Course Enrollment by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"12,613"	42.6	30	0.1	"1,073"	3.6	993	3.4	674	2.3	"9,738"	32.9	8	0	97	0.3	137	0.5	76	0.3	156	9	1	1
At least one AP course females	"17,027"	57.4	73	0.2	"1,232"	4.2	"1,443"	4.9	"1,261"	4.3	"12,836"	43.3	16	0.1	166	0.6	76	0.3	110	0.4	156	9	1	1
At least one AP course total	"29,640"	100	103	0.3	"2,305"	7.8	"2,436"	8.2	"1,935"	6.5	"22,574"	76.2	24	0.1	263	0.9	213	0.7	186	0.6	156	9	1	1
AP mathematics males	"3,819"	50	12	0.2	398	5.2	244	3.2	166	2.2	"2,974"	38.9	DS	0	23	0.3	23	0.3	17	0.2	156	9	1	1
AP mathematics females	"3,818"	50	19	0.2	399	5.2	241	3.2	211	2.8	"2,916"	38.2	5	0.1	27	0.4	8	0.1	16	0.2	156	9	1	1
AP mathematics total	"7,637"	100	31	0.4	797	10.4	485	6.4	377	4.9	"5,890"	77.1	7	0.1	50	0.7	31	0.4	33	0.4	156	9	1	1
AP science males	"4,109"	49.1	6	0.1	477	5.7	243	2.9	132	1.6	"3,217"	38.4	DS	0	32	0.4	36	0.4	8	0.1	156	9	1	1
AP science females	"4,260"	50.9	13	0.2	507	6.1	226	2.7	198	2.4	"3,276"	39.1	DS	0	38	0.5	8	0.1	13	0.2	156	9	1	1
AP science total	"8,369"	100	19	0.2	984	11.8	469	5.6	330	3.9	"6,493"	77.6	4	0	70	0.8	44	0.5	21	0.3	156	9	1	1
AP foreign language males	973	34.8	DS	0.1	70	2.5	166	5.9	17	0.6	707	25.3	DS	0.1	9	0.3	DS	0.1	20	0.7	156	9	1	1
AP foreign language females	"1,822"	65.2	14	0.5	113	4	310	11.1	47	1.7	"1,319"	47.2	0	0	19	0.7	5	0.2	47	1.7	156	9	1	1
AP foreign language total	"2,795"	100	16	0.6	183	6.5	476	17	64	2.3	"2,026"	72.5	DS	0.1	28	1	7	0.3	67	2.4	156	9	1	1
Other AP subjects males	"8,317"	40.3	22	0.1	669	3.2	614	3	463	2.2	"6,490"	31.4	4	0	55	0.3	85	0.4	17	0.1	156	9	1	1
Other AP subjects females	"12,338"	59.7	55	0.3	839	4.1	943	4.6	940	4.6	"9,444"	45.7	9	0	108	0.5	50	0.2	25	0.1	156	9	1	1
Other AP subjects total	"20,655"	100	77	0.4	"1,508"	7.3	"1,557"	7.5	"1,403"	6.8	"15,934"	77.1	13	0.1	163	0.8	135	0.7	42	0.2	156	9	1	1
