Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,923,61.2,5,0.3,24,1.6,332,22,179,11.9,341,22.6,DS,0.1,40,2.7,132,8.8,5,0.3,120,8,579,9,1,1
Kindergarten females,584,38.8,DS,0.1,8,0.5,233,15.5,127,8.4,190,12.6,DS,0.1,22,1.5,72,4.8,DS,0.1,94,6.2,579,9,1,1
Kindergarten total,"1,507",100,7,0.5,32,2.1,565,37.5,306,20.3,531,35.2,4,0.3,62,4.1,204,13.5,7,0.5,214,14.2,579,9,1,1
1st grade males,607,57.5,DS,0.2,15,1.4,231,21.9,150,14.2,196,18.6,0,0,13,1.2,81,7.7,DS,0.2,96,9.1,589,9,1,1
1st grade females,449,42.5,DS,0.2,8,0.8,197,18.7,91,8.6,143,13.5,DS,0.2,6,0.6,26,2.5,4,0.4,83,7.9,589,9,1,1
1st grade total,"1,056",100,4,0.4,23,2.2,428,40.5,241,22.8,339,32.1,DS,0.2,19,1.8,107,10.1,6,0.6,179,17,589,9,1,1
2nd grade males,259,54.5,DS,0.4,11,2.3,96,20.2,68,14.3,77,16.2,0,0,5,1.1,34,7.2,5,1.1,36,7.6,586,9,1,1
2nd grade females,216,45.5,DS,0.4,DS,0.4,90,18.9,53,11.2,67,14.1,0,0,DS,0.4,24,5.1,DS,0.4,36,7.6,586,9,1,1
2nd grade total,475,100,4,0.8,13,2.7,186,39.2,121,25.5,144,30.3,0,0,7,1.5,58,12.2,7,1.5,72,15.2,586,9,1,1
3rd grade males,134,51,0,0,DS,0.8,55,20.9,42,16,30,11.4,0,0,5,1.9,13,4.9,DS,0.8,28,10.6,589,9,1,1
3rd grade females,129,49,0,0,DS,0.8,56,21.3,45,17.1,22,8.4,0,0,4,1.5,6,2.3,DS,0.8,27,10.3,589,9,1,1
3rd grade total,263,100,0,0,4,1.5,111,42.2,87,33.1,52,19.8,0,0,9,3.4,19,7.2,4,1.5,55,20.9,589,9,1,1
4th grade males,43,48.9,0,0,DS,2.3,17,19.3,13,14.8,11,12.5,0,0,0,0,7,8,DS,2.3,8,9.1,583,9,1,1
4th grade females,45,51.1,0,0,0,0,18,20.5,17,19.3,10,11.4,0,0,0,0,7,8,0,0,5,5.7,583,9,1,1
4th grade total,88,100,0,0,DS,2.3,35,39.8,30,34.1,21,23.9,0,0,0,0,14,15.9,DS,2.3,13,14.8,583,9,1,1
5th grade males,56,65.1,0,0,0,0,23,26.7,19,22.1,14,16.3,0,0,0,0,9,10.5,DS,2.3,11,12.8,539,9,1,1
5th grade females,30,34.9,0,0,0,0,7,8.1,15,17.4,8,9.3,0,0,0,0,5,5.8,0,0,DS,2.3,539,9,1,1
5th grade total,86,100,0,0,0,0,30,34.9,34,39.5,22,25.6,0,0,0,0,14,16.3,DS,2.3,13,15.1,539,9,1,1
6th grade males,83,70.9,0,0,0,0,26,22.2,33,28.2,22,18.8,0,0,DS,1.7,11,9.4,4,3.4,7,6,372,9,1,1
6th grade females,34,29.1,DS,1.7,DS,1.7,14,12,12,10.3,4,3.4,0,0,0,0,4,3.4,0,0,DS,1.7,372,9,1,1
6th grade total,117,100,DS,1.7,DS,1.7,40,34.2,45,38.5,26,22.2,0,0,DS,1.7,15,12.8,4,3.4,9,7.7,372,9,1,1
7th grade males,134,69.1,0,0,4,2.1,40,20.6,43,22.2,45,23.2,0,0,DS,1,25,12.9,DS,1,7,3.6,321,9,1,1
7th grade females,60,30.9,0,0,DS,1,19,9.8,24,12.4,15,7.7,0,0,0,0,10,5.2,DS,1,7,3.6,321,9,1,1
7th grade total,194,100,0,0,6,3.1,59,30.4,67,34.5,60,30.9,0,0,DS,1,35,18,4,2.1,14,7.2,321,9,1,1
8th grade males,102,65.4,0,0,DS,1.3,20,12.8,43,27.6,37,23.7,0,0,0,0,23,14.7,6,3.8,4,2.6,317,9,1,1
8th grade females,54,34.6,0,0,DS,1.3,19,12.2,18,11.5,13,8.3,0,0,DS,1.3,10,6.4,DS,1.3,DS,1.3,317,9,1,1
8th grade total,156,100,0,0,4,2.6,39,25,61,39.1,50,32.1,0,0,DS,1.3,33,21.2,8,5.1,6,3.8,317,9,1,1
9th grade males,"1,849",59.1,9,0.3,18,0.6,665,21.2,491,15.7,637,20.3,0,0,29,0.9,344,11,56,1.8,215,6.9,245,9,1,1
9th grade females,"1,282",40.9,5,0.2,12,0.4,496,15.8,322,10.3,425,13.6,DS,0.1,20,0.6,187,6,27,0.9,172,5.5,245,9,1,1
9th grade total,"3,131",100,14,0.4,30,1,"1,161",37.1,813,26,"1,062",33.9,DS,0.1,49,1.6,531,17,83,2.7,387,12.4,245,9,1,1
10th grade males,868,60.4,4,0.3,10,0.7,251,17.5,210,14.6,367,25.6,0,0,26,1.8,187,13,35,2.4,71,4.9,244,9,1,1
10th grade females,568,39.6,5,0.3,7,0.5,197,13.7,120,8.4,222,15.5,DS,0.1,15,1,76,5.3,18,1.3,55,3.8,244,9,1,1
10th grade total,"1,436",100,9,0.6,17,1.2,448,31.2,330,23,589,41,DS,0.1,41,2.9,263,18.3,53,3.7,126,8.8,244,9,1,1
11th grade males,820,62.8,9,0.7,14,1.1,217,16.6,229,17.5,335,25.7,0,0,16,1.2,150,11.5,34,2.6,59,4.5,243,9,1,1
11th grade females,485,37.2,DS,0.2,DS,0.2,160,12.3,120,9.2,194,14.9,0,0,7,0.5,45,3.4,13,1,50,3.8,243,9,1,1
11th grade total,"1,305",100,11,0.8,16,1.2,377,28.9,349,26.7,529,40.5,0,0,23,1.8,195,14.9,47,3.6,109,8.4,243,9,1,1
12th grade males,659,61.5,DS,0.2,18,1.7,165,15.4,117,10.9,340,31.7,DS,0.2,15,1.4,272,25.4,19,1.8,40,3.7,246,9,1,1
12th grade females,413,38.5,DS,0.2,13,1.2,113,10.5,85,7.9,191,17.8,0,0,9,0.8,166,15.5,8,0.7,38,3.5,246,9,1,1
12th grade total,"1,072",100,4,0.4,31,2.9,278,25.9,202,18.8,531,49.5,DS,0.2,24,2.2,438,40.9,27,2.5,78,7.3,246,9,1,1
