Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students  With Disabilities Served Under  IDEA	Percent of Students  With Disabilities Served Under  IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Number Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	6	50	0	0	6	50	0	0	0	0	0	0	6	50	0	0	0	0	0	0	0	0	211	11	3	5
Corporal punishment on females	6	50	0	0	6	50	0	0	DS	16.7	DS	16.7	DS	16.7	0	0	0	0	0	0	DS	16.7	211	11	3	5
Corporal punishment total	12	100	0	0	12	100	0	0	DS	16.7	DS	16.7	8	66.7	0	0	0	0	0	0	DS	16.7	211	11	3	5
One or more in-school suspensions on males	385	77.2	DS	0.4	383	76.8	0	0	DS	0.4	22	4.4	350	70.7	7	1.4	0	0	DS	0.4	21	4.2	211	11	3	5
One or more in-school suspensions on females	114	22.8	DS	0.4	112	22.4	0	0	0	0	5	1	105	21.2	DS	0.4	0	0	0	0	5	1	211	11	3	5
One or more in-school suspensions total	499	100	4	0.8	495	99.2	0	0	DS	0.4	27	5.5	455	91.9	9	1.8	0	0	DS	0.4	26	5.2	211	11	3	5
Only one out-of-school suspension on males	799	69.8	4	0.3	795	69.4	0	0	0	0	43	3.8	746	65.5	4	0.4	0	0	DS	0.2	32	2.8	211	11	3	5
Only one out-of-school suspension on females	346	30.2	DS	0.2	344	30	DS	0.2	DS	0.2	9	0.8	327	28.7	DS	0.2	0	0	DS	0.2	9	0.8	211	11	3	5
Only one out-of-school suspension total	"1,145"	100	6	0.5	"1,139"	99.5	DS	0.2	DS	0.2	52	4.6	"1,073"	94.2	6	0.5	0	0	4	0.4	41	3.6	211	11	3	5
More than one out-of-school suspension on males	930	75.8	5	0.4	925	75.4	0	0	0	0	37	3	880	72.1	6	0.5	0	0	DS	0.2	24	2	211	11	3	5
More than one out-of-school suspension on females	297	24.2	DS	0.2	295	24	0	0	DS	0.2	5	0.4	288	23.6	0	0	0	0	0	0	DS	0.2	211	11	3	5
More than one out-of-school suspension total	"1,227"	100	7	0.6	"1,220"	99.4	0	0	DS	0.2	42	3.4	"1,168"	95.7	6	0.5	0	0	DS	0.2	26	2.1	211	11	3	5
One or more out-of-school suspensions on males	"1,723"	72.8	8	0.3	"1,715"	72.5	0	0	0	0	76	3.2	"1,624"	69	10	0.4	0	0	5	0.2	57	2.4	211	11	3	5
One or more out-of-school suspensions on females	644	27.2	4	0.2	640	27	DS	0.1	DS	0.1	15	0.6	617	26.2	DS	0.1	0	0	DS	0.1	12	0.5	211	11	3	5
One or more out-of-school suspensions total	"2,367"	100	12	0.5	"2,355"	99.5	DS	0.1	DS	0.1	91	3.9	"2,241"	95.2	12	0.5	0	0	7	0.3	69	2.9	211	11	3	5
