Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaka Native Students Without Disabilities\	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Pacific Islander Students Without Disabilities	Percent of Hawaiian or other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools 	State_ID	Region_ID	Division_ID
Corporal punishment on males	19	65.5	0	0	0	0	DS	6.9	17	58.6	0	0	0	0	0	0	DS	6.9	211	11	3	5
Corporal punishment on females	10	34.5	0	0	0	0	DS	6.9	8	27.6	0	0	0	0	0	0	DS	6.9	211	11	3	5
Corporal punishment total	29	100	0	0	0	0	4	13.8	25	86.2	0	0	0	0	0	0	4	13.8	211	11	3	5
One or more in-school suspensions on males	798	55.7	DS	0.1	DS	0.1	42	2.9	741	51.7	9	0.6	0	0	DS	0.1	20	1.4	211	11	3	5
One or more in-school suspensions on females	634	44.3	DS	0.1	DS	0.1	26	1.8	600	41.9	DS	0.1	0	0	DS	0.1	12	0.8	211	11	3	5
One or more in-school suspensions total	"1,432"	100	4	0.3	4	0.3	68	4.7	"1,341"	93.6	11	0.8	0	0	4	0.3	32	2.2	211	11	3	5
Only one out-of-school suspension on males	"2,389"	56.7	DS	0	11	0.3	178	4.2	"2,171"	51.5	23	0.5	0	0	4	0.1	84	2	211	11	3	5
Only one out-of-school suspension on females	"1,826"	43.3	0	0	4	0.1	92	2.2	"1,714"	40.7	10	0.2	DS	0	4	0.1	45	1.1	211	11	3	5
Only one out-of-school suspension total	"4,215"	100	DS	0	15	0.4	270	6.4	"3,885"	92.2	33	0.8	DS	0	8	0.2	129	3.1	211	11	3	5
More than one out-of-school suspension on males	"1,871"	61.6	0	0	0	0	81	2.7	"1,786"	58.8	DS	0.1	0	0	DS	0.1	40	1.3	211	11	3	5
More than one out-of-school suspension on females	"1,167"	38.4	0	0	0	0	21	0.7	"1,140"	37.5	DS	0.1	DS	0.1	DS	0.1	7	0.2	211	11	3	5
More than one out-of-school suspension total	"3,038"	100	0	0	0	0	102	3.4	"2,926"	96.3	4	0.1	DS	0.1	4	0.1	47	1.5	211	11	3	5
One or more out-of-school suspensions on males	"4,256"	58.8	DS	0	11	0.2	256	3.5	"3,954"	54.6	26	0.4	0	0	7	0.1	127	1.8	211	11	3	5
One or more out-of-school suspensions on females	"2,987"	41.2	0	0	4	0.1	112	1.5	"2,852"	39.4	11	0.2	DS	0	6	0.1	51	0.7	211	11	3	5
One or more out-of-school suspensions total	"7,243"	100	DS	0	15	0.2	368	5.1	"6,806"	94	37	0.5	DS	0	13	0.2	178	2.5	211	11	3	5
Expulsions with educational services on males	47	67.1	0	0	0	0	DS	2.9	45	64.3	0	0	0	0	0	0	0	0	211	11	3	5
Expulsions with educational services on females	23	32.9	0	0	0	0	0	0	21	30	DS	2.9	0	0	0	0	0	0	211	11	3	5
Expulsions with educational services total	70	100	0	0	0	0	DS	2.9	66	94.3	DS	2.9	0	0	0	0	0	0	211	11	3	5
Expulsions without educational services on males	37	63.8	0	0	0	0	0	0	37	63.8	0	0	0	0	0	0	0	0	211	11	3	5
Expulsions without educational services on females	21	36.2	0	0	0	0	0	0	21	36.2	0	0	0	0	0	0	0	0	211	11	3	5
Expulsions without educational services total	58	100	0	0	0	0	0	0	58	100	0	0	0	0	0	0	0	0	211	11	3	5
Expulsions with or without educational services on males	84	65.6	0	0	0	0	DS	1.6	82	64.1	0	0	0	0	0	0	0	0	211	11	3	5
Expulsions with or without educational services on females	44	34.4	0	0	0	0	0	0	42	32.8	DS	1.6	0	0	0	0	0	0	211	11	3	5
Expulsions with or without educational services total	128	100	0	0	0	0	DS	1.6	124	96.9	DS	1.6	0	0	0	0	0	0	211	11	3	5
Expulsions under zero-tolerance policies on males	13	61.9	0	0	0	0	0	0	13	61.9	0	0	0	0	0	0	0	0	211	11	3	5
Expulsions under zero-tolerance policies on females	8	38.1	0	0	0	0	0	0	8	38.1	0	0	0	0	0	0	0	0	211	11	3	5
Expulsions under zero-tolerance policies total	21	100	0	0	0	0	0	0	21	100	0	0	0	0	0	0	0	0	211	11	3	5
Referral to law enforcement on males	33	55.9	0	0	0	0	DS	3.4	31	52.5	0	0	0	0	0	0	DS	3.4	211	11	3	5
Referral to law enforcement on females	26	44.1	0	0	0	0	0	0	24	40.7	DS	3.4	0	0	0	0	0	0	211	11	3	5
Referral to law enforcement total	59	100	0	0	0	0	DS	3.4	55	93.2	DS	3.4	0	0	0	0	DS	3.4	211	11	3	5
School-related arrests on males	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	11	3	5
School-related arrests on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	11	3	5
School-related arrests total	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	11	3	5
