Advanced Placement Course Enrollment by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"1,326"	39.5	DS	0.1	31	0.9	239	7.1	858	25.5	167	5	4	0.1	25	0.7	59	1.8	67	2	30	11	3	5
At least one AP course females	"2,033"	60.5	DS	0.1	51	1.5	334	9.9	"1,402"	41.7	200	6	DS	0.1	42	1.3	38	1.1	85	2.5	30	11	3	5
At least one AP course total	"3,359"	100	4	0.1	82	2.4	573	17.1	"2,260"	67.3	367	10.9	6	0.2	67	2	97	2.9	152	4.5	30	11	3	5
AP mathematics males	149	45	DS	0.6	8	2.4	16	4.8	74	22.4	42	12.7	DS	0.6	5	1.5	DS	0.6	0	0	30	11	3	5
AP mathematics females	182	55	DS	0.6	10	3	16	4.8	108	32.6	42	12.7	0	0	4	1.2	DS	0.6	6	1.8	30	11	3	5
AP mathematics total	331	100	4	1.2	18	5.4	32	9.7	182	55	84	25.4	DS	0.6	9	2.7	4	1.2	6	1.8	30	11	3	5
AP science males	202	41	DS	0.4	8	1.6	13	2.6	135	27.4	42	8.5	0	0	DS	0.4	DS	0.4	DS	0.4	30	11	3	5
AP science females	291	59	0	0	18	3.7	24	4.9	195	39.6	50	10.1	0	0	4	0.8	DS	0.4	6	1.2	30	11	3	5
AP science total	493	100	DS	0.4	26	5.3	37	7.5	330	66.9	92	18.7	0	0	6	1.2	4	0.8	8	1.6	30	11	3	5
AP foreign language males	117	46.8	0	0	DS	0.8	87	34.8	6	2.4	18	7.2	DS	0.8	DS	0.8	DS	0.8	27	10.8	30	11	3	5
AP foreign language females	133	53.2	0	0	0	0	92	36.8	16	6.4	21	8.4	0	0	4	1.6	DS	0.8	25	10	30	11	3	5
AP foreign language total	250	100	0	0	DS	0.8	179	71.6	22	8.8	39	15.6	DS	0.8	6	2.4	4	1.6	52	20.8	30	11	3	5
Other AP subjects males	"1,164"	38.8	DS	0.1	29	1	209	7	738	24.6	158	5.3	4	0.1	24	0.8	56	1.9	51	1.7	30	11	3	5
Other AP subjects females	"1,837"	61.2	DS	0.1	44	1.5	302	10.1	"1,258"	41.9	187	6.2	DS	0.1	42	1.4	33	1.1	67	2.2	30	11	3	5
Other AP subjects total	"3,001"	100	4	0.1	73	2.4	511	17	"1,996"	66.5	345	11.5	6	0.2	66	2.2	89	3	118	3.9	30	11	3	5
